Title: Nd3

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 97.842955 50.0735 1.04668 16.0066 2.2463 0.0178858 8.46541 0.177734 6.54682 11.3656 2.18227 0.69121 0.158008 1.02205
500.00 1513.15 97.843526 50.0732 1.04667 16.0065 2.25212 0.0178857 8.46012 0.177733 6.54678 11.3655 2.18226 0.691206 0.158007 1.02204
500.00 1503.15 97.844133 50.0729 1.04666 16.0064 2.25829 0.0178856 8.4545 0.177732 6.54674 11.3654 2.18225 0.691201 0.158006 1.02203
500.00 1493.15 97.844776 50.0726 1.04666 16.0063 2.26483 0.0178855 8.44854 0.17773 6.5467 11.3653 2.18223 0.691197 0.158005 1.02203
500.00 1483.15 97.845456 50.0722 1.04665 16.0062 2.27176 0.0178853 8.44224 0.177729 6.54665 11.3653 2.18222 0.691192 0.158004 1.02202
500.00 1473.15 97.846175 50.0719 1.04664 16.006 2.27907 0.0178852 8.43558 0.177728 6.5466 11.3652 2.1822 0.691187 0.158003 1.02201
500.00 1463.15 97.846934 50.0715 1.04663 16.0059 2.28679 0.0178851 8.42855 0.177727 6.54655 11.3651 2.18218 0.691182 0.158002 1.022
500.00 1453.15 97.847733 50.0711 1.04663 16.0058 2.29493 0.0178849 8.42114 0.177725 6.5465 11.365 2.18217 0.691176 0.158001 1.022
500.00 1443.15 97.848575 50.0706 1.04662 16.0056 2.3035 0.0178848 8.41334 0.177724 6.54644 11.3649 2.18215 0.69117 0.157999 1.02199
500.00 1433.15 97.849461 50.0702 1.04661 16.0055 2.31251 0.0178846 8.40514 0.177722 6.54638 11.3648 2.18213 0.691164 0.157998 1.02198
500.00 1423.15 97.850391 50.0697 1.0466 16.0054 2.32198 0.0178844 8.39651 0.17772 6.54632 11.3647 2.18211 0.691157 0.157996 1.02197
500.00 1413.15 92.508284 50.1155 1.08517 16.2132 2.35993 0.0189172 8.63778 0.187983 6.26379 10.8648 2.27476 0.730081 0.16712 1.08098
500.00 1403.15 85.991968 50.2249 1.13918 16.2494 2.42061 0.0148762 8.99048 0.202228 6.00782 10.2386 2.38576 0.783356 0.179784 1.1629
500.00 1393.15 80.221956 50.3789 1.19121 16.2713 2.47513 0.00874025 9.29972 0.216014 5.71855 9.66885 2.49476 0.837528 0.192715 1.24654
500.00 1383.15 74.742878 50.6479 1.24968 16.2168 2.53001 0.00373805 9.55362 0.227803 5.30769 9.21801 2.60383 0.896186 0.206842 1.33792
500.00 1373.15 69.858927 50.9796 1.29652 16.172 2.56844 0.000478204 9.72487 0.239616 4.91172 8.78499 2.71296 0.956078 0.221303 1.43146
500.00 1363.15 64.064749 52.0106 1.24282 16.2935 2.46053 2.39983e-007 9.20865 0.258184 4.47484 8.33065 2.87841 1.03958 0.241318 1.56092
500.00 1353.15 58.401462 53.4555 1.1289 16.469 2.2612 0 8.28792 0.281116 4.05438 7.87744 3.07037 1.13719 0.264719 1.71229
500.00 1343.15 53.915665 54.7397 1.03433 16.5592 2.08867 0 7.51027 0.302294 3.6976 7.46072 3.2372 1.22849 0.286744 1.85475
500.00 1333.15 50.122964 55.8665 0.955765 16.5832 1.94027 0 6.84603 0.325182 3.37996 7.09284 3.38877 1.31788 0.308441 1.99509
500.00 1323.15 46.801907 56.8903 0.894953 16.5147 1.81459 0 6.27342 0.348257 3.06377 6.80075 3.52496 1.40728 0.330328 2.13667
500.00 1313.15 43.996054 57.8346 0.84125 16.4109 1.7005 0 5.76567 0.370467 2.78734 6.52681 3.64525 1.49283 0.351395 2.27293
500.00 1303.15 40.895767 58.928 0.79701 16.1543 1.59371 0 5.28739 0.398552 2.50494 6.23295 3.76905 1.59959 0.378034 2.35653
500.00 1293.15 37.624176 60.1757 0.761371 15.743 1.49202 0 4.83236 0.433208 2.2242 5.92884 3.88674 1.72935 0.410906 2.3823
500.00 1283.15 34.882273 61.3435 0.729477 15.3223 1.39685 0 4.4208 0.46726 1.98437 5.65474 3.97859 1.85526 0.443205 2.40365
500.00 1273.15 32.544562 62.4409 0.700828 14.8971 1.3075 0 4.04697 0.500824 1.77765 5.40658 4.04746 1.97776 0.475041 2.42138
500.00 1263.15 30.524986 63.475 0.675006 14.4716 1.22342 0 3.7063 0.533959 1.59815 5.18099 4.09586 2.09707 0.50647 2.43609
500.00 1253.15 28.762094 64.4514 0.651659 14.0494 1.14419 0 3.39511 0.566687 1.44129 4.97514 4.12604 2.21327 0.537513 2.44827
500.00 1243.15 27.210443 65.3747 0.630486 13.6331 1.0695 0 3.11032 0.599002 1.30345 4.78662 4.14007 2.32632 0.568164 2.45831
500.00 1233.15 25.835372 66.2486 0.611228 13.2247 0.99908 0 2.84935 0.630883 1.18174 4.61339 4.13986 2.43618 0.598404 2.46655
500.00 1223.15 24.609737 67.0764 0.593663 12.8261 0.932714 0 2.60996 0.662303 1.07383 4.45366 4.12715 2.54274 0.628207 2.47327
500.00 1213.15 23.511800 67.8612 0.577595 12.4382 0.870207 0 2.39023 0.693231 0.977762 4.30594 4.10353 2.6459 0.657542 2.47869
500.00 1203.15 22.523843 68.6054 0.562854 12.0619 0.811382 0 2.18845 0.723638 0.891952 4.16891 4.07044 2.74558 0.686384 2.48303
500.00 1193.15 21.631213 69.3117 0.549292 11.6978 0.756071 0 2.00308 0.753499 0.815056 4.04146 4.02917 2.84169 0.714708 2.48644
500.00 1183.15 20.821651 69.9822 0.536776 11.3461 0.704114 0 1.83277 0.782796 0.745947 3.92261 3.98088 2.93417 0.742496 2.48909
500.00 1173.15 20.084803 70.6192 0.52519 11.0069 0.655356 0 1.67627 0.811514 0.68367 3.81153 3.9266 3.02296 0.769736 2.49108
500.00 1163.15 19.411850 71.2247 0.51443 10.68 0.609644 0 1.53249 0.839647 0.62741 3.70752 3.86724 3.10801 0.796421 2.49254
500.00 1153.15 18.795228 71.8005 0.504404 10.3653 0.56683 0 1.40039 0.867194 0.576468 3.60996 3.80361 3.1893 0.822549 2.49355
500.00 1143.15 18.228397 72.3486 0.49503 10.0624 0.526768 0 1.27905 0.89416 0.530243 3.51832 3.73639 3.26676 0.848127 2.49418
500.00 1133.15 17.705663 72.8706 0.486234 9.77098 0.489315 0 1.16762 0.920559 0.488214 3.43216 3.6662 3.34037 0.873167 2.49453
500.00 1123.15 17.220049 73.3761 0.478021 9.49137 0.454273 0 1.06536 0.946519 0.449855 3.34612 3.59387 3.41043 0.893479 2.49463
500.00 1113.15 16.764007 73.88 0.470453 9.22434 0.42142 0 0.971572 0.972268 0.414674 3.25117 3.52039 3.47748 0.901713 2.49457
500.00 1103.15 16.330261 74.3707 0.439727 8.96374 0.39646 0 0.898463 0.996604 0.378193 3.16466 3.44422 3.54169 0.910191 2.49536
500.00 1093.15 15.924449 74.8398 0.406899 8.71143 0.373866 0 0.832536 1.02027 0.344179 3.08624 3.36656 3.60127 0.920711 2.49619
500.00 1083.15 15.540834 75.2951 0.376409 8.46637 0.352358 0 0.770677 1.03777 0.313026 3.01506 3.2875 3.65594 0.93331 2.49644
