Title: Nd3

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 97.842955 97.842955 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.843526 97.843526 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.844133 97.844133 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.844776 97.844776 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.845456 97.845456 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.846175 97.846175 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.846934 97.846934 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.847733 97.847733 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 97.848575 97.848575 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 97.849461 97.849461 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 97.850391 97.850391 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 97.852110 92.508284 0.000000 0.000000 3.999271 1.344554 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 92.512662 85.991968 0.000000 0.000000 4.089683 2.391741 0.000000 0.039270 0.000000 0.000000 0.000000 
500.00 1393.15 85.997533 80.221956 0.145620 0.000000 3.370473 2.189541 0.000000 0.069943 0.000000 0.000000 0.000000 
500.00 1383.15 80.227071 74.742878 0.661386 0.000000 2.343748 2.391697 0.000000 0.087362 0.000000 0.000000 0.000000 
500.00 1373.15 74.750809 69.858927 0.574736 0.000000 2.050611 2.104343 0.000000 0.162192 0.000000 0.000000 0.000000 
500.00 1363.15 69.898215 64.064749 0.352683 0.000000 2.463030 1.956159 0.000000 1.061593 0.000000 0.000000 0.000000 
500.00 1353.15 64.115155 58.401462 0.190704 0.000000 2.302127 1.829575 0.000000 1.391286 0.000000 0.000000 0.000000 
500.00 1343.15 58.439146 53.915665 0.163908 0.000000 1.686472 1.643294 0.000000 1.029807 0.000000 0.000000 0.000000 
500.00 1333.15 53.945349 50.122964 0.000000 0.284061 1.198269 1.544218 0.000000 0.795836 0.000000 0.000000 0.000000 
