Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 99.936792 48.2439 1.38036 15.2622 2.48959 0.0203178 9.82083 0.195795 7.14653 10.8568 2.25165 0.342642 0.156636 1.83263
500.00 1513.15 99.941693 48.2416 1.38029 15.2615 2.49595 0.0203168 9.81451 0.195786 7.14618 10.8563 2.25153 0.342625 0.156629 1.83679
500.00 1503.15 99.946714 48.2392 1.38022 15.2607 2.50271 0.0203157 9.80783 0.195776 7.14582 10.8558 2.25142 0.342608 0.156621 1.84103
500.00 1493.15 99.951857 48.2367 1.38015 15.2599 2.50987 0.0203147 9.80076 0.195766 7.14545 10.8552 2.25131 0.34259 0.156613 1.84535
500.00 1483.15 99.957126 48.2341 1.38008 15.2591 2.51746 0.0203136 9.7933 0.195755 7.14507 10.8546 2.25119 0.342572 0.156604 1.84975
500.00 1473.15 99.962525 48.2315 1.38 15.2583 2.52548 0.0203125 9.78543 0.195745 7.14469 10.8541 2.25107 0.342553 0.156596 1.85424
500.00 1463.15 99.968057 48.2289 1.37992 15.2575 2.53395 0.0203114 9.77715 0.195734 7.14429 10.8535 2.25094 0.342535 0.156587 1.85881
500.00 1453.15 99.973726 48.2261 1.37985 15.2566 2.54288 0.0203103 9.76843 0.195723 7.14389 10.8528 2.25081 0.342515 0.156578 1.86346
500.00 1443.15 99.979535 48.2233 1.37977 15.2557 2.55229 0.0203091 9.75926 0.195712 7.14347 10.8522 2.25068 0.342495 0.156569 1.86821
500.00 1433.15 99.985489 48.2205 1.37968 15.2548 2.56219 0.0203079 9.74963 0.1957 7.14305 10.8516 2.25055 0.342475 0.15656 1.87304
500.00 1423.15 99.991592 48.2175 1.3796 15.2539 2.5726 0.0203066 9.73953 0.195688 7.14261 10.8509 2.25041 0.342454 0.15655 1.87797
500.00 1413.15 99.997848 48.2145 1.37951 15.2529 2.58354 0.0203054 9.72893 0.195676 7.14216 10.8502 2.25027 0.342432 0.156541 1.883
500.00 1403.15 99.340102 48.2722 1.38865 15.3539 2.59365 0.0204398 9.68683 0.195051 6.90494 10.9193 2.26517 0.3447 0.157577 1.89757
500.00 1393.15 98.539952 48.3448 1.39992 15.4786 2.60311 0.0206058 9.63324 0.194223 6.61644 11.0045 2.28356 0.347499 0.158857 1.91459
500.00 1383.15 94.115771 48.4364 1.4142 15.9519 2.60455 0.00939107 9.71769 0.202641 6.18692 10.6129 2.38434 0.363834 0.166324 1.94894
500.00 1373.15 89.062882 48.5635 1.41817 16.5183 2.59784 0.00258472 9.81597 0.214023 5.73055 10.0784 2.51068 0.384476 0.17576 1.98973
500.00 1363.15 81.910906 49.0949 1.40476 16.8374 2.57539 3.43736e-005 9.78846 0.230967 5.24893 9.48985 2.68284 0.417333 0.191107 2.03794
500.00 1353.15 69.763172 51.0118 1.27778 16.8053 2.40599 5.51407e-010 8.98341 0.265673 4.65698 8.764 2.99514 0.487245 0.224384 2.12231
500.00 1343.15 60.702429 52.8972 1.15354 16.7049 2.23076 0 8.16296 0.29968 4.14997 8.10993 3.27992 0.556992 0.257876 2.1963
500.00 1333.15 53.929013 54.6181 1.05013 16.5281 2.07515 0 7.44472 0.33141 3.72489 7.53195 3.5246 0.623775 0.290265 2.25683
500.00 1323.15 47.740040 56.2281 0.97411 16.1869 1.94875 0 6.81658 0.374389 3.28072 7.08503 3.76729 0.700301 0.327895 2.30992
500.00 1313.15 42.754919 57.7383 0.913478 15.7606 1.83688 0 6.25848 0.418042 2.88016 6.72018 3.97611 0.777003 0.366127 2.35455
500.00 1303.15 38.798989 59.142 0.859537 15.3121 1.73237 0 5.75588 0.460665 2.54545 6.39604 4.14942 0.850959 0.403457 2.39216
500.00 1293.15 35.569326 60.4545 0.811226 14.8499 1.63419 0 5.30042 0.502493 2.26216 6.10628 4.2919 0.922605 0.44009 2.42422
500.00 1283.15 32.875165 61.6877 0.767697 14.3807 1.54154 0 4.88552 0.543673 2.01984 5.84579 4.40737 0.992216 0.476156 2.45181
500.00 1273.15 30.590061 62.8504 0.728274 13.9096 1.45382 0 4.50599 0.584286 1.81074 5.6104 4.49906 1.05995 0.511726 2.47574
500.00 1263.15 28.626723 63.9495 0.692403 13.4407 1.37059 0 4.15767 0.624359 1.62894 5.39667 4.56977 1.12587 0.546822 2.49665
500.00 1253.15 26.922362 64.9905 0.659634 12.9772 1.29152 0 3.83719 0.663885 1.46988 5.20171 4.622 1.18999 0.581439 2.51504
500.00 1243.15 25.430262 65.9777 0.62959 12.5216 1.21636 0 3.54174 0.702838 1.32993 5.02307 4.65797 1.2523 0.615555 2.53132
