Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.101174 99.936792 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.164381 
500.00 1513.15 100.101823 99.941693 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.160129 
500.00 1503.15 100.102512 99.946714 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.155798 
500.00 1493.15 100.103242 99.951857 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.151385 
500.00 1483.15 100.104015 99.957126 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.146888 
500.00 1473.15 100.104832 99.962525 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.142306 
500.00 1463.15 100.105694 99.968057 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.137637 
500.00 1453.15 100.106603 99.973726 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.132877 
500.00 1443.15 100.107560 99.979535 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.128025 
500.00 1433.15 100.108567 99.985489 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.123078 
500.00 1423.15 100.109626 99.991592 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.118034 
500.00 1413.15 100.110738 99.997848 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.112891 
500.00 1403.15 100.110042 99.340102 0.659143 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.110797 
500.00 1393.15 99.450753 98.539952 0.801589 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.109213 
500.00 1383.15 98.656851 94.115771 0.210555 0.000000 4.006522 0.000000 0.000000 0.162410 0.000000 0.000000 0.161593 
500.00 1373.15 94.289687 89.062882 0.030143 0.000000 4.774861 0.000000 0.000000 0.198058 0.000000 0.000000 0.223742 
500.00 1363.15 89.312612 81.910906 0.361275 0.000000 4.290611 1.755884 0.000000 0.667386 0.000000 0.000000 0.326550 
500.00 1353.15 82.312619 69.763172 0.772720 0.000000 4.088641 4.908204 0.000000 2.264624 0.000000 0.000000 0.515258 
500.00 1343.15 70.334750 60.702429 0.559246 0.000000 2.755757 3.953898 0.000000 1.700779 0.000000 0.000000 0.662641 
500.00 1333.15 61.405085 53.929013 0.431554 0.000000 1.838598 3.224513 0.000000 1.202644 0.000000 0.000000 0.778763 
500.00 1323.15 54.738588 47.740040 0.000000 1.000737 0.865043 3.309414 0.000000 0.930262 0.000000 0.000000 0.893092 
500.00 1313.15 48.656077 42.754919 0.000000 0.928847 0.411502 2.882307 0.000000 0.689338 0.000000 0.000000 0.989164 
500.00 1303.15 43.762109 38.798989 0.000000 0.715276 0.260475 2.394054 0.000000 0.525597 0.000000 0.000000 1.067717 
500.00 1293.15 39.881390 35.569326 0.000000 0.563148 0.170990 2.032210 0.000000 0.412144 0.000000 0.000000 1.133572 
500.00 1283.15 36.715219 32.875165 0.000000 0.450293 0.117276 1.752482 0.000000 0.330189 0.000000 0.000000 1.189814 
500.00 1273.15 34.075574 30.590061 0.000000 0.363976 0.085018 1.528993 0.000000 0.269008 0.000000 0.000000 1.238519 
500.00 1263.15 31.837882 28.626723 0.000000 0.296361 0.065949 1.345593 0.000000 0.222116 0.000000 0.000000 1.281139 
500.00 1253.15 29.916176 26.922362 0.000000 0.242492 0.054997 1.192161 0.000000 0.185424 0.000000 0.000000 1.318740 
500.00 1243.15 28.248647 25.430262 0.000000 0.199041 0.049005 1.061976 0.000000 0.156234 0.000000 0.000000 1.352129 
500.00 1233.15 26.789329 24.114668 0.000000 0.163671 0.045992 0.950367 0.000000 0.132695 0.000000 0.000000 1.381937 
500.00 1223.15 25.503061 22.947569 0.000000 0.134677 0.044706 0.853936 0.000000 0.113500 0.000000 0.000000 1.408673 
500.00 1213.15 24.362308 21.906602 0.000000 0.110778 0.044367 0.770114 0.000000 0.097699 0.000000 0.000000 1.432749 
500.00 1203.15 23.345102 20.973638 0.000000 0.090989 0.044491 0.696890 0.000000 0.084583 0.000000 0.000000 1.454510 
500.00 1193.15 22.433640 20.133798 0.000000 0.074539 0.044789 0.632653 0.000000 0.073617 0.000000 0.000000 1.474244 
500.00 1183.15 21.613320 19.374745 0.000000 0.060816 0.045092 0.576084 0.000000 0.064389 0.000000 0.000000 1.492194 
500.00 1173.15 20.872041 18.686163 0.000000 0.049334 0.045307 0.526089 0.000000 0.056579 0.000000 0.000000 1.508568 
500.00 1163.15 20.199677 18.053014 0.000000 0.040760 0.044450 0.482654 0.000000 0.049970 0.000000 0.005223 1.523605 
500.00 1153.15 19.582429 17.466308 0.000000 0.033954 0.043109 0.444113 0.000000 0.044298 0.000000 0.013175 1.537472 
500.00 1143.15 19.009489 16.930408 0.000000 0.026641 0.043179 0.408309 0.000000 0.039370 0.000000 0.011385 1.550197 
500.00 1133.15 18.486230 16.439535 0.000000 0.020471 0.043089 0.376338 0.000000 0.035130 0.000000 0.009765 1.561902 
500.00 1123.15 18.006991 15.988747 0.000000 0.015251 0.042859 0.347694 0.000000 0.031468 0.000000 0.008280 1.572693 
500.00 1113.15 17.566932 15.573796 0.000000 0.010823 0.042512 0.321950 0.000000 0.028293 0.000000 0.006900 1.582658 
500.00 1103.15 17.161896 15.191021 0.000000 0.007056 0.042068 0.298741 0.000000 0.025531 0.000000 0.005600 1.591879 
500.00 1093.15 16.788085 14.832121 0.000000 0.008751 0.038683 0.281381 0.000000 0.014778 0.006964 0.004950 1.600457 
500.00 1083.15 16.437972 14.459663 0.044938 0.000000 0.017144 0.288591 0.000000 0.000000 0.010745 0.006923 1.609968 
500.00 1073.15 16.074126 14.120843 0.037700 0.000000 0.018083 0.263992 0.000000 0.000000 0.009422 0.005480 1.618606 
500.00 1063.15 15.743989 13.810155 0.033254 0.000000 0.017983 0.243304 0.000000 0.000000 0.008475 0.004276 1.626542 
500.00 1053.15 15.441278 13.524946 0.029350 0.000000 0.017700 0.224675 0.000000 0.000000 0.007655 0.003113 1.633839 
500.00 1043.15 15.163404 13.262896 0.025925 0.000000 0.017266 0.207845 0.000000 0.000000 0.006941 0.001974 1.640556 
500.00 1033.15 14.908105 13.021979 0.022922 0.000000 0.016712 0.192593 0.000000 0.000000 0.006318 0.000842 1.646739 
500.00 1023.15 14.672993 11.982443 0.034307 0.000000 0.032920 0.380157 0.540393 0.000000 0.008456 0.021090 1.673226 
