Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.106980 49.1438 1.40612 15.5469 2.55343 0.0206917 9.98827 0.199476 7.27981 11.0594 2.29362 0.349007 0.15952 0
500.00 1513.15 98.107636 49.1435 1.40611 15.5468 2.56008 0.0206916 9.9822 0.199475 7.27976 11.0593 2.2936 0.349004 0.159519 0
500.00 1503.15 98.108333 49.1431 1.4061 15.5467 2.56715 0.0206914 9.97575 0.199473 7.27971 11.0592 2.29359 0.349002 0.159518 0
500.00 1493.15 98.109071 49.1428 1.40609 15.5466 2.57464 0.0206913 9.96892 0.199472 7.27965 11.0591 2.29357 0.348999 0.159516 0
500.00 1483.15 98.109785 49.1424 1.40608 15.5465 2.58188 0.0206911 9.96231 0.19947 7.2796 11.059 2.29355 0.348997 0.159515 0
500.00 1473.15 98.109410 49.1426 1.40608 15.5465 2.57809 0.0206912 9.96578 0.199471 7.27963 11.0591 2.29356 0.348998 0.159516 0
500.00 1463.15 98.108994 49.1428 1.40609 15.5466 2.57386 0.0206913 9.96963 0.199472 7.27966 11.0591 2.29357 0.349 0.159516 0
500.00 1453.15 98.105258 49.1447 1.40614 15.5472 2.53595 0.0206921 10.0042 0.19948 7.27994 11.0596 2.29366 0.349013 0.159523 0
500.00 1443.15 98.099662 49.1475 1.40622 15.5481 2.47916 0.0206932 10.056 0.199491 7.28035 11.0602 2.29379 0.349033 0.159532 0
500.00 1433.15 98.093271 49.1507 1.40631 15.5491 2.41429 0.0206946 10.1152 0.199504 7.28083 11.0609 2.29394 0.349056 0.159542 0
500.00 1423.15 98.087094 49.1538 1.4064 15.5501 2.35159 0.0206959 10.1724 0.199517 7.28128 11.0616 2.29408 0.349078 0.159552 0
500.00 1413.15 98.080606 49.157 1.4065 15.5511 2.28572 0.0206973 10.2325 0.19953 7.28177 11.0623 2.29424 0.349101 0.159563 0
500.00 1403.15 98.072849 49.1609 1.40661 15.5523 2.20695 0.0206989 10.3043 0.199546 7.28234 11.0632 2.29442 0.349128 0.159575 0
500.00 1393.15 98.062648 49.166 1.40675 15.5539 2.10336 0.0207011 10.3988 0.199566 7.2831 11.0644 2.29466 0.349165 0.159592 0
500.00 1383.15 98.054276 49.1702 1.40687 15.5553 2.01831 0.0207028 10.4764 0.199583 7.28372 11.0653 2.29485 0.349194 0.159605 0
500.00 1373.15 98.051445 49.1716 1.40691 15.5557 1.98955 0.0207034 10.5026 0.199589 7.28393 11.0656 2.29492 0.349204 0.15961 0
500.00 1363.15 98.052060 49.1713 1.40691 15.5556 1.99581 0.0207033 10.4969 0.199588 7.28389 11.0656 2.2949 0.349202 0.159609 0
500.00 1353.15 98.235415 49.0796 1.40428 15.5266 3.85504 0.0206646 8.801 0.199215 7.27029 11.0449 2.29062 0.34855 0.159311 0
500.00 1343.15 98.227016 49.0837 1.4044 15.5279 3.77002 0.0206664 8.87855 0.199232 7.27091 11.0458 2.29082 0.34858 0.159325 0
500.00 1333.15 98.210893 49.0918 1.40463 15.5305 3.60679 0.0206698 9.02744 0.199265 7.27211 11.0477 2.29119 0.348638 0.159351 0
500.00 1323.15 98.196834 49.0988 1.40483 15.5327 3.4644 0.0206728 9.15732 0.199294 7.27315 11.0492 2.29152 0.348687 0.159374 0
500.00 1313.15 98.183497 49.1055 1.40502 15.5348 3.32929 0.0206756 9.28056 0.199321 7.27414 11.0507 2.29183 0.348735 0.159395 0
500.00 1303.15 98.170920 49.1118 1.4052 15.5368 3.20185 0.0206782 9.39681 0.199346 7.27507 11.0522 2.29212 0.348779 0.159416 0
500.00 1293.15 98.159077 49.1177 1.40537 15.5387 3.08181 0.0206807 9.5063 0.19937 7.27594 11.0535 2.2924 0.348822 0.159435 0
500.00 1283.15 98.147918 49.1233 1.40553 15.5404 2.96868 0.0206831 9.60949 0.199393 7.27677 11.0547 2.29266 0.348861 0.159453 0
500.00 1273.15 98.137382 49.1286 1.40568 15.5421 2.86184 0.0206853 9.70695 0.199414 7.27755 11.0559 2.29291 0.348899 0.15947 0
500.00 1263.15 98.124183 49.1352 1.40587 15.5442 2.72796 0.0206881 9.82907 0.199441 7.27853 11.0574 2.29322 0.348946 0.159492 0
500.00 1253.15 98.109418 49.1426 1.40608 15.5465 2.57817 0.0206912 9.9657 0.199471 7.27963 11.0591 2.29356 0.348998 0.159516 0
500.00 1243.15 98.095019 49.1498 1.40629 15.5488 2.43203 0.0206942 10.099 0.1995 7.2807 11.0607 2.2939 0.349049 0.159539 0
500.00 1233.15 98.088949 49.1528 1.40638 15.5498 2.37042 0.0206955 10.1552 0.199513 7.28115 11.0614 2.29404 0.349071 0.159549 0
500.00 1223.15 98.089323 49.1526 1.40637 15.5497 2.37421 0.0206954 10.1517 0.199512 7.28112 11.0613 2.29403 0.34907 0.159548 0
500.00 1213.15 98.089718 49.1525 1.40637 15.5496 2.37822 0.0206953 10.1481 0.199511 7.28109 11.0613 2.29402 0.349068 0.159548 0
500.00 1203.15 98.090132 49.1522 1.40636 15.5496 2.38243 0.0206953 10.1442 0.19951 7.28106 11.0613 2.29401 0.349067 0.159547 0
500.00 1193.15 98.091090 49.1518 1.40635 15.5494 2.39215 0.0206951 10.1354 0.199508 7.28099 11.0611 2.29399 0.349063 0.159546 0
500.00 1183.15 98.091519 49.1515 1.40634 15.5494 2.3965 0.020695 10.1314 0.199508 7.28096 11.0611 2.29398 0.349062 0.159545 0
