Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.106980 98.106980 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.107636 98.107636 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.108333 98.108333 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.109071 98.109071 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.109785 97.878509 0.000000 0.000000 0.000000 0.231275 0.000000 0.000000 0.000000 
500.00 1473.15 98.109410 93.999136 0.000000 0.000000 0.000000 4.110274 0.000000 0.000000 0.000000 
500.00 1463.15 98.108994 90.312276 0.000000 0.000000 0.000000 7.796718 0.000000 0.000000 0.000000 
500.00 1453.15 98.105258 83.435467 0.835141 1.265179 0.000000 12.569472 0.000000 0.000000 0.000000 
500.00 1443.15 98.099662 69.107469 0.000000 5.067766 4.756447 19.167981 0.000000 0.000000 0.000000 
500.00 1433.15 98.093271 58.049712 0.000000 8.280705 7.207007 24.555847 0.000000 0.000000 0.000000 
500.00 1423.15 98.087094 48.932366 0.000000 10.943274 9.118561 29.092893 0.000000 0.000000 0.000000 
500.00 1413.15 98.080606 41.067545 0.000000 13.240492 10.654233 33.118336 0.000000 0.000000 0.000000 
500.00 1403.15 98.072849 33.914707 0.000000 15.316505 11.902101 36.939536 0.000000 0.000000 0.000000 
500.00 1393.15 98.062648 27.167482 0.000000 17.277357 12.939220 40.678589 0.000000 0.000000 0.000000 
500.00 1383.15 98.054276 22.077618 0.000000 18.878506 13.923468 43.174683 0.000000 0.000000 0.000000 
500.00 1373.15 98.051445 18.933056 0.000000 20.017189 14.872532 44.228668 0.000000 0.000000 0.000000 
500.00 1363.15 98.052060 16.656854 0.000000 20.968751 15.766594 44.659862 0.000000 0.000000 0.000000 
500.00 1353.15 98.235415 9.128038 0.000000 18.080432 21.525427 42.770252 6.699747 0.000000 0.031520 
500.00 1343.15 98.227016 7.872833 0.000000 18.538581 21.616006 43.415743 6.716655 0.000000 0.067197 
500.00 1333.15 98.210893 6.616031 0.334846 18.750644 21.683083 44.090625 6.621255 0.000000 0.114409 
500.00 1323.15 98.196834 5.648913 0.529512 19.048219 21.673017 44.626012 6.522580 0.000000 0.148581 
500.00 1313.15 98.183497 4.849860 0.677864 19.359722 21.624366 45.079267 6.415875 0.000000 0.176543 
500.00 1303.15 98.170920 4.176948 0.792245 19.673775 21.552759 45.468795 6.306503 0.000000 0.199894 
500.00 1293.15 98.159077 3.600824 0.881173 19.984308 21.467834 45.808017 6.197193 0.000000 0.219730 
500.00 1283.15 98.147918 3.100364 0.950684 20.288257 21.375681 46.106857 6.089246 0.000000 0.236829 
500.00 1273.15 98.137382 2.660023 1.005157 20.584294 21.280222 46.372747 5.983172 0.000000 0.251767 
500.00 1263.15 98.124183 1.934186 1.057541 21.168062 21.145495 46.776716 5.532241 0.233055 0.276888 
500.00 1253.15 98.109418 1.088631 1.098981 21.899064 20.985398 47.246287 4.914258 0.571118 0.305682 
500.00 1243.15 98.095019 0.320210 1.126878 22.588214 20.826702 47.685692 4.348104 0.867854 0.331364 
500.00 1233.15 98.088949 0.000000 1.142192 22.848607 20.759827 47.882499 4.108913 1.004922 0.341990 
500.00 1223.15 98.089323 0.000000 1.153446 22.792638 20.762317 47.900454 4.102560 1.035919 0.341990 
500.00 1213.15 98.089718 0.000000 1.164847 22.737967 20.762871 47.918938 4.095914 1.067191 0.341990 
500.00 1203.15 98.090132 0.000000 1.176379 22.684513 20.761580 47.937957 4.089047 1.098665 0.341990 
500.00 1193.15 98.091090 0.365077 1.143718 22.649760 20.756515 47.956196 4.095273 1.124551 0.000000 
500.00 1183.15 98.091519 0.364305 1.156962 22.597731 20.751967 47.976410 4.087456 1.156688 0.000000 
