Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.106980 36.156248 36.156248 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.107636 36.132754 36.132754 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.108333 36.109292 36.109292 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.109071 36.085863 36.085863 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.109785 36.058606 35.971903 0.000000 0.000000 0.000000 0.086703 0.000000 0.000000 0.000000 
500.00 1473.15 98.109410 35.969725 34.427328 0.000000 0.000000 0.000000 1.542397 0.000000 0.000000 0.000000 
500.00 1463.15 98.108994 35.882712 32.954039 0.000000 0.000000 0.000000 2.928673 0.000000 0.000000 0.000000 
500.00 1453.15 98.105258 35.690453 30.319309 0.252817 0.391117 0.000000 4.727209 0.000000 0.000000 0.000000 
500.00 1443.15 98.099662 35.139499 24.895848 0.000000 1.555837 1.465845 7.221969 0.000000 0.000000 0.000000 
500.00 1433.15 98.093271 34.733228 20.719251 0.000000 2.532145 2.214240 9.267592 0.000000 0.000000 0.000000 
500.00 1423.15 98.087094 34.395353 17.271218 0.000000 3.333312 2.793139 10.997684 0.000000 0.000000 0.000000 
500.00 1413.15 98.080606 34.102283 14.291499 0.000000 4.017626 3.254056 12.539102 0.000000 0.000000 0.000000 
500.00 1403.15 98.072849 33.836060 11.573104 0.000000 4.630072 3.625121 14.007763 0.000000 0.000000 0.000000 
500.00 1393.15 98.062648 33.585628 9.003814 0.000000 5.203162 3.930646 15.448005 0.000000 0.000000 0.000000 
500.00 1383.15 98.054276 33.386986 7.096580 0.000000 5.664277 4.218179 16.407950 0.000000 0.000000 0.000000 
500.00 1373.15 98.051445 33.250339 5.960545 0.000000 5.985568 4.492977 16.811249 0.000000 0.000000 0.000000 
500.00 1363.15 98.052060 33.142393 5.167960 0.000000 6.250282 4.748904 16.975248 0.000000 0.000000 0.000000 
500.00 1353.15 98.235415 33.089646 3.493044 0.000000 5.404273 6.515627 16.238202 1.428579 0.000000 0.009920 
500.00 1343.15 98.227016 33.033731 3.027259 0.000000 5.533640 6.539080 16.482443 1.430162 0.000000 0.021148 
500.00 1333.15 98.210893 32.981155 2.568334 0.091443 5.587318 6.553831 16.736100 1.408123 0.000000 0.036007 
500.00 1323.15 98.196834 32.935407 2.208819 0.143905 5.667492 6.546267 16.936441 1.385722 0.000000 0.046761 
500.00 1313.15 98.183497 32.894206 1.908518 0.183423 5.752115 6.527508 17.105228 1.361851 0.000000 0.055561 
500.00 1303.15 98.170920 32.856589 1.653106 0.213528 5.837700 6.502189 17.249562 1.337594 0.000000 0.062910 
500.00 1293.15 98.159077 32.821834 1.432425 0.236634 5.922370 6.473146 17.374618 1.313488 0.000000 0.069153 
500.00 1283.15 98.147918 32.789318 1.239090 0.254441 6.005167 6.442157 17.484150 1.289780 0.000000 0.074534 
500.00 1273.15 98.137382 32.758665 1.067619 0.268172 6.085659 6.410356 17.581070 1.266555 0.000000 0.079235 
500.00 1263.15 98.124183 32.711011 0.780176 0.281062 6.247166 6.365205 17.730769 1.168954 0.050537 0.087141 
500.00 1253.15 98.109418 32.655185 0.441337 0.290895 6.449563 6.311863 17.905797 1.035833 0.123694 0.096203 
500.00 1243.15 98.095019 32.602525 0.130394 0.297172 6.639471 6.259463 18.069573 0.914406 0.187758 0.104286 
500.00 1233.15 98.088949 32.574632 0.000000 0.300640 6.708412 6.237660 18.140378 0.862634 0.217276 0.107630 
500.00 1223.15 98.089323 32.564907 0.000000 0.303414 6.688483 6.238835 18.142487 0.860156 0.223902 0.107630 
500.00 1213.15 98.089718 32.555250 0.000000 0.306219 6.668951 6.239456 18.144800 0.857612 0.230583 0.107630 
500.00 1203.15 98.090132 32.545662 0.000000 0.309049 6.649792 6.239552 18.147318 0.855018 0.237302 0.107630 
500.00 1193.15 98.091090 32.547464 0.125446 0.300244 6.635867 6.238416 18.149548 0.855140 0.242803 0.000000 
500.00 1183.15 98.091519 32.537991 0.125214 0.303512 6.617149 6.237595 18.152526 0.852343 0.249653 0.000000 
