Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 apatite water 
500.00 1523.15 98.119589 37.699407 37.699407 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.120232 37.663019 37.663019 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.120915 37.626692 37.626692 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.121638 37.590426 37.590426 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.122403 37.554225 37.554225 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.123212 37.518088 37.518088 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.124066 37.482018 37.482018 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.124965 37.446016 37.446016 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.125913 37.410085 37.410085 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.126910 37.374225 37.374225 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.127957 37.338438 37.338438 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.127139 37.287994 37.090404 0.197590 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.125999 37.042055 35.026911 0.372933 0.000000 1.046486 0.595724 0.000000 0.000000 0.000000 
500.00 1393.15 98.123349 36.790046 32.503213 0.624749 0.000000 1.977492 1.684592 0.000000 0.000000 0.000000 
500.00 1383.15 98.120754 36.565939 30.288092 0.854065 0.000000 2.785911 2.637871 0.000000 0.000000 0.000000 
500.00 1373.15 98.118197 36.364096 28.318765 1.068399 0.000000 3.495953 3.480978 0.000000 0.000000 0.000000 
500.00 1363.15 98.115649 36.180353 26.548011 1.274443 0.000000 4.124816 4.233083 0.000000 0.000000 0.000000 
500.00 1353.15 98.113066 36.011627 24.939717 1.478545 0.000000 4.684324 4.909042 0.000000 0.000000 0.000000 
500.00 1343.15 98.288278 35.661509 20.882762 0.463310 1.086357 6.139608 5.903611 1.185863 0.000000 0.000000 
500.00 1333.15 98.319616 35.457897 19.073452 0.000000 1.961186 6.434962 6.595770 1.392526 0.000000 0.000000 
500.00 1323.15 98.333426 35.602965 17.499733 0.000000 2.244690 6.584829 7.438583 1.516595 0.000000 0.318535 
500.00 1313.15 98.340285 36.768465 15.036791 0.000000 2.674187 6.655611 8.916641 1.622272 0.000000 1.862962 
500.00 1303.15 98.341253 37.728470 13.005811 0.000000 3.026848 6.691088 10.172986 1.688082 0.000000 3.143657 
500.00 1293.15 98.338171 38.513566 11.321362 0.000000 3.322268 6.707160 11.235288 1.725758 0.000000 4.201730 
500.00 1283.15 98.332297 39.147393 9.923845 0.000000 3.574805 6.711004 12.126419 1.743257 0.000000 5.068063 
500.00 1273.15 98.324543 39.651804 8.764867 0.000000 3.795067 6.705948 12.869097 1.746332 0.000000 5.770493 
500.00 1263.15 98.315580 40.047525 7.802614 0.000000 3.990763 6.693861 13.485894 1.739227 0.000000 6.335166 
500.00 1253.15 98.305894 40.353628 7.000750 0.000000 4.167428 6.676140 13.998170 1.725051 0.000000 6.786089 
500.00 1243.15 98.295828 40.586782 6.328524 0.000000 4.329018 6.654020 14.424923 1.706034 0.000000 7.144263 
500.00 1233.15 98.285197 40.765237 5.741002 0.000000 4.482955 6.627368 14.788283 1.682807 0.008332 7.434489 
500.00 1223.15 98.274456 40.895762 5.235564 0.000000 4.627673 6.597976 15.095266 1.657019 0.018313 7.663951 
