Title: Hr

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 0.179821 -2.00841e-011 6.32038e-012 2.14182e-011 -3.7127e-011 9.21542e-010 1.19757e-013 0 -5.70613e-011 7.17487e-013 -4.54387e-014 8.0448e-013 100
500.00 1513.15 0.175675 3.23353e-012 0 -7.80291e-013 0 0 0 0 3.32257e-013 0 0 0 100
500.00 1503.15 0.171452 3.73873e-012 0 5.93186e-013 0 0 0 0 -9.92954e-014 0 0 0 100
500.00 1493.15 0.167150 5.92392e-013 0 3.96818e-013 0 0 0 0 2.76453e-013 0 0 0 100
500.00 1483.15 0.162767 3.10576e-012 0 1.35835e-013 0 0 0 0 -1.94246e-013 0 0 0 100
500.00 1473.15 0.158300 9.87644e-014 0 -2.79334e-014 0 0 0 0 1.07545e-013 0 0 0 100
500.00 1463.15 0.153749 2.37272e-013 0 -3.73883e-013 0 0 0 0 -2.8473e-013 0 0 0 100
500.00 1453.15 0.149111 -3.73969e-012 0 -6.82063e-013 0 0 0 0 2.28346e-013 0 0 0 100
500.00 1443.15 0.144383 -1.04675e-012 0 9.49404e-013 0 0 0 0 -2.86356e-013 0 0 0 100
500.00 1433.15 0.139564 6.60941e-012 0 6.65354e-013 0 0 0 0 2.61392e-013 0 0 0 100
500.00 1423.15 0.134650 7.35374e-013 0 4.92595e-013 0 0 0 0 -5.238e-013 0 0 0 100
500.00 1413.15 0.129640 4.42195e-013 0 -8.52719e-013 0 0 0 0 -5.06521e-013 0 0 0 100
500.00 1403.15 0.860734 33.4844 0 1.07884e-013 0 14.801 0.245157 36.2407 0.333061 0 0 0 14.8957
500.00 1393.15 0.934225 33.901 0 4.25987e-014 0 15.5266 0.255403 36.3789 0.344096 0 0 0 13.594
500.00 1383.15 0.908731 33.7167 0 -1.02185e-013 0 16.0072 0.261454 35.8548 0.349324 0 0 0 13.8106
