Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 99.919920 47.7555 1.39893 15.4146 2.54171 9.99734 0.197249 7.01166 11.1169 2.23156 0.350647 0.158905 1.82503
500.00 1513.15 99.924849 47.7532 1.39886 15.4138 2.54819 9.99089 0.197239 7.01131 11.1163 2.23145 0.350629 0.158898 1.82921
500.00 1503.15 99.929900 47.7508 1.39879 15.413 2.55508 9.98407 0.197229 7.01096 11.1158 2.23134 0.350612 0.15889 1.83347
500.00 1493.15 99.935075 47.7483 1.39872 15.4122 2.56239 9.97686 0.197219 7.0106 11.1152 2.23122 0.350593 0.158881 1.83781
500.00 1483.15 99.940376 47.7457 1.39864 15.4114 2.57013 9.96925 0.197209 7.01022 11.1146 2.2311 0.350575 0.158873 1.84222
500.00 1473.15 99.945809 47.7432 1.39857 15.4106 2.57831 9.96122 0.197198 7.00984 11.114 2.23098 0.350556 0.158864 1.84673
500.00 1463.15 99.951376 47.7405 1.39849 15.4097 2.58695 9.95276 0.197187 7.00945 11.1134 2.23086 0.350536 0.158855 1.85131
500.00 1453.15 99.957082 47.7378 1.39841 15.4088 2.59606 9.94386 0.197176 7.00905 11.1128 2.23073 0.350516 0.158846 1.85599
500.00 1443.15 99.962929 47.735 1.39833 15.4079 2.60566 9.93451 0.197164 7.00864 11.1121 2.2306 0.350496 0.158837 1.86075
500.00 1433.15 99.968923 47.7321 1.39824 15.407 2.61576 9.92468 0.197152 7.00822 11.1114 2.23047 0.350475 0.158828 1.86561
500.00 1423.15 99.975067 47.7292 1.39816 15.4061 2.62638 9.91437 0.19714 7.00779 11.1108 2.23033 0.350453 0.158818 1.87056
500.00 1413.15 99.981365 47.7262 1.39807 15.4051 2.63754 9.90356 0.197128 7.00735 11.1101 2.23019 0.350431 0.158808 1.87561
500.00 1403.15 99.955121 47.7259 1.39843 15.4091 2.64921 9.89077 0.197085 6.99525 11.1128 2.23078 0.350523 0.158849 1.88122
500.00 1393.15 99.146161 47.7943 1.40984 15.5349 2.65962 9.83872 0.196268 6.70568 11.2 2.24898 0.353383 0.160146 1.89826
500.00 1383.15 94.047478 47.7795 1.43266 16.0788 2.67772 10.0512 0.206459 6.24864 10.6871 2.36275 0.372541 0.168828 1.93368
500.00 1373.15 89.260706 47.7923 1.44684 16.6221 2.69164 10.254 0.217142 5.80163 10.1525 2.4807 0.39252 0.177881 1.97071
500.00 1363.15 82.163964 47.9737 1.51183 16.65 2.77476 10.704 0.232283 5.35219 9.55453 2.63035 0.425249 0.193245 1.99786
500.00 1353.15 74.616446 48.2554 1.6118 16.3355 2.89936 11.296 0.249342 4.91608 8.9514 2.7894 0.466087 0.212792 2.01673
500.00 1343.15 57.728576 52.795 1.1104 16.727 2.24305 8.16835 0.318595 4.11611 8.08386 3.35983 0.597715 0.275043 2.20503
500.00 1333.15 51.304590 54.498 1.00969 16.5428 2.08903 7.45296 0.351927 3.69121 7.50867 3.61158 0.669109 0.309481 2.26557
500.00 1323.15 45.670326 56.06 0.928829 16.2489 1.95846 6.82303 0.395361 3.28685 7.0302 3.85511 0.7473 0.347662 2.31836
500.00 1313.15 40.879755 57.5491 0.869483 15.8215 1.84788 6.26648 0.441692 2.88533 6.66509 4.07218 0.829469 0.388403 2.36338
500.00 1303.15 37.073231 58.9333 0.816709 15.3708 1.74444 5.76493 0.487043 2.54974 6.34149 4.25306 0.908853 0.428282 2.40135
