Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.116088 48.1472 1.41037 15.541 2.57025 10.0723 0.198846 7.06918 11.208 2.24989 0.353561 0.160218 1.0192
500.00 1513.15 98.116748 48.1468 1.41036 15.5409 2.57696 10.0662 0.198845 7.06913 11.208 2.24987 0.353558 0.160217 1.01919
500.00 1503.15 98.117450 48.1465 1.41035 15.5408 2.58407 10.0597 0.198843 7.06908 11.2079 2.24985 0.353556 0.160216 1.01919
500.00 1493.15 98.118193 48.1461 1.41034 15.5406 2.59161 10.0528 0.198842 7.06903 11.2078 2.24984 0.353553 0.160215 1.01918
500.00 1483.15 98.118979 48.1457 1.41033 15.5405 2.59959 10.0455 0.19884 7.06897 11.2077 2.24982 0.35355 0.160214 1.01917
500.00 1473.15 98.119810 48.1453 1.41032 15.5404 2.60802 10.0379 0.198839 7.06891 11.2076 2.2498 0.353547 0.160212 1.01916
500.00 1463.15 98.120687 48.1449 1.4103 15.5403 2.61692 10.0297 0.198837 7.06885 11.2075 2.24978 0.353544 0.160211 1.01915
500.00 1453.15 98.121612 48.1444 1.41029 15.5401 2.6263 10.0212 0.198835 7.06878 11.2074 2.24976 0.353541 0.160209 1.01914
500.00 1443.15 98.122585 48.144 1.41028 15.5399 2.63618 10.0122 0.198833 7.06871 11.2073 2.24974 0.353537 0.160208 1.01913
500.00 1433.15 98.123610 48.1435 1.41026 15.5398 2.64657 10.0027 0.198831 7.06864 11.2072 2.24971 0.353534 0.160206 1.01912
500.00 1423.15 98.124686 48.1429 1.41025 15.5396 2.65749 9.99273 0.198829 7.06856 11.2071 2.24969 0.35353 0.160204 1.01911
500.00 1413.15 98.126090 48.1422 1.41023 15.5394 2.67173 9.97973 0.198826 7.06846 11.2069 2.24966 0.353525 0.160202 1.0191
500.00 1403.15 98.125461 48.1426 1.41024 15.5395 2.66535 9.98556 0.198827 7.0685 11.207 2.24967 0.353527 0.160203 1.0191
500.00 1393.15 98.123731 48.1434 1.41026 15.5398 2.6478 10.0016 0.198831 7.06863 11.2072 2.24971 0.353533 0.160206 1.01912
500.00 1383.15 98.122110 48.1442 1.41028 15.54 2.63135 10.0166 0.198834 7.06874 11.2074 2.24975 0.353539 0.160209 1.01914
500.00 1373.15 98.120585 48.1449 1.41031 15.5403 2.61589 10.0307 0.198837 7.06885 11.2075 2.24978 0.353545 0.160211 1.01915
500.00 1363.15 98.119128 48.1457 1.41033 15.5405 2.6011 10.0442 0.19884 7.06896 11.2077 2.24982 0.35355 0.160213 1.01917
500.00 1353.15 98.117686 48.1464 1.41035 15.5407 2.58647 10.0575 0.198843 7.06906 11.2079 2.24985 0.353555 0.160216 1.01918
500.00 1343.15 98.307698 48.0533 1.40762 15.5107 4.51066 8.30217 0.198459 7.0554 11.1862 2.2455 0.352872 0.159906 1.01721
500.00 1333.15 98.328254 48.0433 1.40733 15.5074 4.71837 8.11268 0.198417 7.05392 11.1839 2.24503 0.352798 0.159873 1.017
500.00 1323.15 98.351479 48.0319 1.40699 15.5038 4.95295 7.89869 0.19837 7.05226 11.1812 2.2445 0.352715 0.159835 1.01676
500.00 1313.15 98.376704 48.0196 1.40663 15.4998 5.20761 7.66638 0.198319 7.05045 11.1784 2.24393 0.352624 0.159794 1.0165
500.00 1303.15 98.378796 48.0186 1.4066 15.4995 5.22873 7.64711 0.198315 7.0503 11.1781 2.24388 0.352617 0.159791 1.01648
500.00 1293.15 98.376489 48.0197 1.40664 15.4998 5.20545 7.66835 0.19832 7.05046 11.1784 2.24393 0.352625 0.159794 1.0165
500.00 1283.15 98.371475 48.0222 1.40671 15.5006 5.15484 7.71452 0.19833 7.05082 11.179 2.24404 0.352643 0.159802 1.01655
