Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 water 
500.00 1523.15 98.116088 98.116088 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.116748 98.116748 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.117450 98.117450 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.118193 98.118193 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.118979 98.118979 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.119810 98.119810 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.120687 98.120687 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.121612 98.121612 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.122585 98.122585 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.123610 98.123610 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.124686 98.124686 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.126090 95.500579 0.000000 0.000000 2.033349 0.592162 0.000000 0.000000 
500.00 1403.15 98.125461 88.192954 0.585599 0.000000 5.828768 3.518140 0.000000 0.000000 
500.00 1393.15 98.123731 81.532540 1.464564 0.000000 8.797482 6.329145 0.000000 0.000000 
500.00 1383.15 98.122110 75.677626 2.285132 0.000000 11.382762 8.776589 0.000000 0.000000 
500.00 1373.15 98.120585 70.455579 3.072669 0.000000 13.663242 10.929096 0.000000 0.000000 
500.00 1363.15 98.119128 65.734216 3.849951 0.000000 15.696010 12.838952 0.000000 0.000000 
500.00 1353.15 98.117686 61.410023 4.638443 0.000000 17.521655 14.547566 0.000000 0.000000 
500.00 1343.15 98.307698 49.277838 3.275552 0.000000 22.642591 17.078613 6.033104 0.000000 
500.00 1333.15 98.328254 45.346511 3.420046 0.000000 23.970922 18.792674 6.798101 0.000000 
500.00 1323.15 98.351479 39.053167 2.413781 2.020990 25.076220 22.046882 7.644536 0.095903 
500.00 1313.15 98.376704 31.166487 0.064127 6.545031 25.457653 26.398774 8.482509 0.262122 
500.00 1303.15 98.378796 26.177087 0.000000 7.746738 25.536726 29.740096 8.805331 0.372819 
500.00 1293.15 98.376489 22.135501 0.000000 8.684136 25.558236 32.539868 8.993359 0.465390 
500.00 1283.15 98.371475 18.851838 0.000000 9.487144 25.542186 34.858765 9.089205 0.542337 
