Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 water 
500.00 1523.15 98.116088 37.548960 37.548960 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.116748 37.512112 37.512112 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.117450 37.475325 37.475325 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.118193 37.438602 37.438602 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.118979 37.401943 37.401943 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.119810 37.365350 37.365350 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.120687 37.328824 37.328824 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.121612 37.292368 37.292368 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.122585 37.255983 37.255983 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.123610 37.219671 37.219671 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.124686 37.183433 37.183433 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.126090 37.034578 36.187587 0.000000 0.000000 0.626214 0.220777 0.000000 0.000000 
500.00 1403.15 98.125461 36.749089 33.469568 0.176149 0.000000 1.791098 1.312274 0.000000 0.000000 
500.00 1393.15 98.123731 36.502514 31.005986 0.438225 0.000000 2.696507 2.361797 0.000000 0.000000 
500.00 1383.15 98.122110 36.283650 28.847438 0.680025 0.000000 3.479712 3.276475 0.000000 0.000000 
500.00 1373.15 98.120585 36.086799 26.930525 0.909201 0.000000 4.165318 4.081755 0.000000 0.000000 
500.00 1363.15 98.119128 35.907703 25.207056 1.132467 0.000000 4.771148 4.797031 0.000000 0.000000 
500.00 1353.15 98.117686 35.743155 23.639621 1.355990 0.000000 5.309873 5.437670 0.000000 0.000000 
500.00 1343.15 98.307698 35.501504 19.929777 0.963376 0.000000 6.906257 6.390596 1.311498 0.000000 
500.00 1333.15 98.328254 35.381536 18.558703 1.003799 0.000000 7.309453 7.035807 1.473774 0.000000 
500.00 1323.15 98.351479 36.175346 16.141377 0.706262 0.612254 7.643932 8.265388 1.651858 1.154276 
500.00 1313.15 98.376704 37.599659 12.975274 0.018670 1.980093 7.756991 9.916749 1.825959 3.125922 
500.00 1303.15 98.378796 38.558354 10.963179 0.000000 2.338762 7.775045 11.189351 1.887350 4.404668 
500.00 1293.15 98.376489 39.332498 9.314864 0.000000 2.616355 7.775667 12.258625 1.920473 5.446513 
500.00 1283.15 98.371475 39.947000 7.962674 0.000000 2.852527 7.765050 13.145762 1.934641 6.286348 
