Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.116088 1.0000000000000000 1.000000 274.763675 -1162031.825761 37.548960 -368.526809 3744.735979 147.478019 -7.007 0.000 2.613017 0.000000 1.759 0.389033 0.000
500.00 1513.15 98.116748 1.0000000000000000 1.000000 273.793555 -1163516.211498 37.512112 -367.406411 3742.067243 147.477989 -7.116 0.000 2.615602 0.000000 1.798 0.388068 0.000
500.00 1503.15 98.117450 1.0000000000000000 1.000000 272.817049 -1165001.224461 37.475325 -366.289033 3739.341325 147.478162 -7.225 0.000 2.618188 0.000000 1.838 0.387093 0.000
500.00 1493.15 98.118193 1.0000000000000000 1.000000 271.834068 -1166486.889045 37.438602 -365.174747 3736.558503 147.478545 -7.336 0.000 2.620776 0.000000 1.878 0.386108 0.000
500.00 1483.15 98.118979 1.0000000000000000 1.000000 270.844524 -1167973.230677 37.401943 -364.063631 3733.719070 147.479144 -7.449 0.000 2.623366 0.000000 1.918 0.385114 0.000
500.00 1473.15 98.119810 1.0000000000000000 1.000000 269.862932 -1169438.705113 37.365350 -362.955764 3730.823330 144.328427 -7.563 0.000 2.625957 0.000000 1.959 0.384109 0.000
500.00 1463.15 98.120687 1.0000000000000000 1.000000 268.881480 -1170894.920456 37.328824 -361.851229 3727.871599 144.321304 -7.679 0.000 2.628550 0.000000 2.001 0.383095 0.000
500.00 1453.15 98.121612 1.0000000000000000 1.000000 267.893390 -1172351.806523 37.292368 -360.750113 3724.864211 144.313886 -7.796 0.000 2.631145 0.000000 2.043 0.382071 0.000
500.00 1443.15 98.122585 1.0000000000000000 1.000000 266.898571 -1173809.387530 37.255983 -359.652507 3721.801509 144.306172 -7.915 0.000 2.633740 0.000000 2.086 0.381036 0.000
500.00 1433.15 98.123610 1.0000000000000000 1.000000 265.896931 -1175267.688890 37.219671 -358.558505 3718.683857 144.298160 -8.035 0.000 2.636337 0.000000 2.129 0.379992 0.000
500.00 1423.15 98.124686 1.0000000000000000 1.000000 264.888374 -1176726.737283 37.183433 -357.468205 3715.511630 144.289848 -8.157 0.000 2.638936 0.000000 2.173 0.378937 0.000
500.00 1413.15 98.126090 0.9732434979522341 0.977130 263.172030 -1179182.919385 37.034578 -352.903951 3677.844704 143.371766 -8.281 0.000 2.639042 3.099811 2.216 0.393208 0.000
500.00 1403.15 98.125461 0.8987774783987071 0.910759 260.283791 -1183239.487940 36.749089 -341.436064 3574.879035 140.907556 -8.407 0.000 2.635019 3.028646 2.251 0.443654 0.000
500.00 1393.15 98.123731 0.8309156101584033 0.849421 257.584668 -1186984.235255 36.502514 -330.886806 3476.860967 138.636414 -8.535 0.000 2.629574 3.018485 2.294 0.497875 0.000
500.00 1383.15 98.122110 0.7712596707874978 0.795053 255.103187 -1190401.783400 36.283650 -321.449379 3388.432461 136.637518 -8.664 0.000 2.623374 3.018268 2.340 0.553748 0.000
500.00 1373.15 98.120585 0.7180509403482959 0.746271 252.790970 -1193562.933103 36.086799 -312.898265 3307.202633 134.850741 -8.795 0.000 2.616198 3.021426 2.389 0.611303 0.000
500.00 1363.15 98.119128 0.6699429257353736 0.701996 250.610494 -1196521.912915 35.907703 -305.062816 3231.273417 133.229863 -8.929 0.000 2.607770 3.026445 2.443 0.670612 0.000
500.00 1353.15 98.117686 0.6258812784412804 0.661375 248.531845 -1199321.086370 35.743155 -297.810847 3159.095129 131.738619 -9.064 0.000 2.597758 3.032806 2.503 0.731802 0.000
500.00 1343.15 98.307698 0.5012612293146945 0.561378 244.553030 -1207955.979452 35.501504 -283.899912 2875.630350 127.676668 -9.201 0.000 2.472573 3.148646 3.064 0.877739 0.000
500.00 1333.15 98.328254 0.4611747844699317 0.524531 242.610041 -1210904.745952 35.381536 -277.295543 2801.180405 126.393920 -9.340 0.000 2.443409 3.149395 3.205 0.961506 0.000
500.00 1323.15 98.351479 0.3970775764334616 0.446198 240.257532 -1214420.995600 36.175346 -2580.609428 3643.060490 124.728758 -9.481 0.000 2.419445 2.959888 3.362 0.999927 0.000
500.00 1313.15 98.376704 0.3168075973410668 0.345090 237.671833 -1218256.476474 37.599659 -6528.300386 5178.547905 122.931935 -9.625 0.000 2.401991 2.729417 3.499 0.999965 0.000
500.00 1303.15 98.378796 0.2660846482252685 0.284327 235.639293 -1220950.914456 38.558354 -9100.131343 6212.462410 121.678623 -9.771 0.000 2.387728 2.616461 3.668 1.00001 0.000
500.00 1293.15 98.376489 0.2250080351165183 0.236824 233.818817 -1223275.417737 39.332498 -11204.762236 7093.036433 120.677440 -9.919 0.000 2.376363 2.539873 3.826 1.00006 0.000
500.00 1283.15 98.371475 0.1916392717698786 0.199331 232.164453 -1225322.168475 39.947000 -12910.543761 7845.328078 120.059627 -10.069 0.000 2.367526 2.486206 3.969 1.0001 0.000
500.00 1273.15 98.364652 0.1646481546370532 0.169707 230.644366 -1227150.416736 40.423402 -14270.627579 8473.398005 119.422184 -10.221 0.000 2.360829 2.448184 4.100 1.00013 0.000
