Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 
500.00 1523.15 98.131533 98.131533 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.132185 98.132185 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.132876 98.132876 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.133609 98.133609 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.134385 98.134385 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.135163 97.997965 0.000000 0.000000 0.137198 0.000000 0.000000 
500.00 1463.15 97.998671 94.382184 0.000000 0.000000 3.616487 0.000000 0.000000 
500.00 1453.15 94.382347 90.157983 0.516731 0.000000 3.707633 0.000000 0.000000 
500.00 1443.15 90.152874 76.475592 4.453386 2.741704 6.482192 0.000000 0.000000 
500.00 1433.15 76.473010 66.379968 3.069594 2.289426 4.734022 0.000000 0.000000 
500.00 1423.15 66.378381 58.668015 2.366190 1.692612 3.651563 0.000000 0.000000 
500.00 1413.15 58.667149 52.569014 1.884265 1.300296 2.913575 0.000000 0.000000 
500.00 1403.15 52.568693 47.612049 1.539654 1.030702 2.386288 0.000000 0.000000 
500.00 1393.15 47.612157 43.493029 1.285143 0.838829 1.995155 0.000000 0.000000 
500.00 1383.15 43.493483 40.006639 1.092504 0.698371 1.695968 0.000000 0.000000 
500.00 1373.15 40.007379 37.009027 0.943985 0.593195 1.461173 0.000000 0.000000 
500.00 1363.15 37.010010 34.396161 0.827956 0.513008 1.272884 0.000000 0.000000 
500.00 1353.15 34.588518 21.930535 4.639986 0.000000 1.645768 6.372229 0.000000 
500.00 1343.15 21.942692 20.409734 0.508118 0.000000 0.676610 0.348231 0.000000 
500.00 1333.15 20.419538 19.166663 0.397456 0.000000 0.588357 0.267063 0.000000 
500.00 1323.15 19.174869 18.126504 0.320115 0.000000 0.517370 0.210880 0.000000 
500.00 1313.15 18.133575 17.240619 0.263694 0.000000 0.459086 0.170177 0.000000 
500.00 1303.15 17.246854 16.475603 0.221160 0.000000 0.410435 0.139655 0.000000 
500.00 1293.15 16.481206 15.807544 0.188249 0.000000 0.369272 0.116141 0.000000 
500.00 1283.15 15.812658 15.218717 0.162232 0.000000 0.334081 0.097629 0.000000 
500.00 1273.15 15.223447 14.695625 0.141292 0.000000 0.303739 0.082791 0.000000 
500.00 1263.15 14.700048 14.227856 0.124181 0.000000 0.277298 0.070713 0.000000 
500.00 1253.15 14.232031 13.807185 0.110016 0.000000 0.254078 0.060751 0.000000 
500.00 1243.15 13.811157 13.427006 0.098159 0.000000 0.233550 0.052441 0.000000 
500.00 1233.15 13.430810 13.081942 0.088138 0.000000 0.215291 0.045439 0.000000 
500.00 1223.15 13.085606 12.767561 0.079601 0.000000 0.198959 0.039484 0.000000 
500.00 1213.15 12.771046 12.477912 0.073730 0.000000 0.184872 0.030663 0.003870 
