Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 feldspar_0 water 
500.00 1523.15 100.113762 99.919920 0.000000 0.000000 0.000000 0.193843 
500.00 1513.15 100.114424 99.924849 0.000000 0.000000 0.000000 0.189575 
500.00 1503.15 100.115127 99.929900 0.000000 0.000000 0.000000 0.185227 
500.00 1493.15 100.115872 99.935075 0.000000 0.000000 0.000000 0.180798 
500.00 1483.15 100.116661 99.940376 0.000000 0.000000 0.000000 0.176284 
500.00 1473.15 100.117494 99.945809 0.000000 0.000000 0.000000 0.171685 
500.00 1463.15 100.118373 99.951376 0.000000 0.000000 0.000000 0.166997 
500.00 1453.15 100.119300 99.957082 0.000000 0.000000 0.000000 0.162219 
500.00 1443.15 100.120277 99.962929 0.000000 0.000000 0.000000 0.157348 
500.00 1433.15 100.121304 99.968923 0.000000 0.000000 0.000000 0.152381 
500.00 1423.15 100.122384 99.975067 0.000000 0.000000 0.000000 0.147317 
500.00 1413.15 100.123519 99.981365 0.000000 0.000000 0.000000 0.142153 
500.00 1403.15 100.124618 99.955121 0.032462 0.000000 0.000000 0.137035 
500.00 1393.15 100.123500 99.145745 0.842392 0.000000 0.000000 0.135364 
500.00 1383.15 100.126173 94.013788 0.990420 4.922744 0.000000 0.199220 
500.00 1373.15 100.129953 89.017821 1.149316 9.701644 0.000000 0.261172 
500.00 1363.15 100.130168 81.468600 2.012012 13.435549 2.829210 0.384798 
500.00 1353.15 100.127199 73.117578 3.262551 16.154774 7.058115 0.534181 
