Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.131533 98.131533 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.132185 98.132185 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.132876 98.132876 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.133609 98.133609 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.134385 98.134385 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.135163 97.997965 0.000000 0.000000 0.000000 0.137198 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.134868 94.379422 0.000000 0.000000 0.000000 3.755446 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.133957 90.051175 0.000000 0.532999 0.000000 7.549783 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.126560 76.011158 0.000000 4.974492 2.877643 14.263267 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.120006 64.924400 0.000000 8.292155 5.409227 19.494224 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.114039 55.890455 0.000000 11.061500 7.417386 23.744698 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.108519 48.289149 0.000000 13.458526 9.080350 27.280494 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.103351 41.730465 0.000000 15.600074 10.505430 30.267382 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.098462 35.962463 0.000000 17.565685 11.758691 32.811624 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 98.093794 30.825642 0.000000 19.407353 12.880616 34.980183 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 98.089301 26.229945 0.000000 21.153016 13.895207 36.811134 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1363.15 98.084981 22.140293 0.000000 22.807522 14.816904 38.320261 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1353.15 98.212640 15.616150 0.000000 19.119116 19.604315 38.641096 0.000000 0.000000 5.231962 0.000000 0.000000 
500.00 1343.15 98.205439 13.947444 0.000000 19.563736 19.923847 39.451047 0.000000 0.000000 5.319366 0.000000 0.000000 
500.00 1333.15 98.197280 12.620132 0.000000 19.959871 20.146215 40.118309 0.000000 0.000000 5.352753 0.000000 0.000000 
500.00 1323.15 98.188752 11.537745 0.000000 20.315520 20.304493 40.677449 0.000000 0.000000 5.353545 0.000000 0.000000 
500.00 1313.15 98.180168 10.637202 0.000000 20.637336 20.418688 41.152920 0.000000 0.000000 5.334022 0.000000 0.000000 
