Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.254690 49.108 1.38965 15.612 2.54877 10.0858 0.201517 7.42998 10.8481 2.26351 0.356828 0.15582 0
500.00 1513.15 98.255347 49.1077 1.38964 15.6119 2.55543 10.0798 0.201516 7.42993 10.8481 2.26349 0.356825 0.155818 0
500.00 1503.15 98.256045 49.1073 1.38963 15.6118 2.5625 10.0733 0.201514 7.42987 10.848 2.26347 0.356823 0.155817 0
500.00 1493.15 98.256784 49.1069 1.38962 15.6116 2.56999 10.0665 0.201513 7.42982 10.8479 2.26346 0.35682 0.155816 0
500.00 1483.15 98.257567 49.1065 1.38961 15.6115 2.57792 10.0592 0.201511 7.42976 10.8478 2.26344 0.356817 0.155815 0
500.00 1473.15 94.737815 49.1123 1.44124 14.9747 2.6702 10.4361 0.208998 7.70579 10.6713 2.24977 0.367943 0.161604 0
500.00 1463.15 91.020048 49.0866 1.50011 14.2706 2.77382 10.8673 0.217534 8.02054 10.4957 2.21963 0.379935 0.168205 0
500.00 1453.15 83.919222 49.2041 1.62704 13.4337 2.93815 11.4948 0.226366 7.84606 10.4448 2.19661 0.40596 0.182437 0
500.00 1443.15 68.563175 48.2926 1.95678 12.7655 3.24801 12.9676 0.288785 7.45966 10.0372 2.28015 0.480466 0.223298 0
500.00 1433.15 57.533250 47.5585 2.29332 12.0844 3.52572 14.3741 0.344149 7.01259 9.71636 2.2769 0.547852 0.266107 0
500.00 1423.15 48.441551 46.6097 2.67538 11.3494 3.80646 15.8862 0.40874 6.65553 9.48171 2.19999 0.610767 0.316051 0
500.00 1413.15 40.600365 45.3428 3.13259 10.5035 4.10439 17.6153 0.48768 6.39622 9.34649 2.03242 0.661554 0.37709 0
500.00 1403.15 33.472510 43.5339 3.72898 9.42042 4.44644 19.8005 0.59153 6.26075 9.3418 1.73831 0.680029 0.45739 0
500.00 1393.15 26.814747 40.8645 4.57003 7.92776 4.85841 22.7946 0.7384 6.27528 9.48348 1.29527 0.621354 0.570954 0
500.00 1383.15 21.919551 38.1968 5.4555 6.54535 5.20493 25.6899 0.903303 6.29539 9.56314 0.93266 0.514562 0.698463 0
500.00 1373.15 18.881360 36.392 6.11365 5.71603 5.40903 27.5741 1.04865 6.23615 9.49784 0.7569 0.444724 0.810853 0
500.00 1363.15 16.652930 35.1108 6.6056 5.19549 5.54059 28.8426 1.18898 6.14604 9.38058 0.666136 0.403787 0.919358 0
500.00 1353.15 14.744102 34.1111 6.9812 4.82971 5.63762 29.7719 1.34291 6.04315 9.25416 0.612231 0.377666 1.03838 0
500.00 1343.15 12.920545 33.2752 7.24759 4.54559 5.71767 30.4908 1.53244 5.93123 9.13987 0.576087 0.35858 1.18493 0
