Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
500.00 1523.15 98.254690 98.254690 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.255347 98.255347 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.256045 98.256045 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.256784 98.256784 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.257567 98.257567 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.257235 94.737815 0.000000 0.000000 0.000000 3.519420 
500.00 1463.15 98.256738 91.020048 0.000000 0.000000 0.000000 7.236690 
500.00 1453.15 98.250822 83.919222 1.695538 0.000000 0.000000 12.636061 
500.00 1443.15 98.245732 68.563175 0.000000 7.554915 2.470962 19.656680 
500.00 1433.15 98.239106 57.533250 0.000000 10.756177 4.938261 25.011417 
500.00 1423.15 98.232723 48.441551 0.000000 13.393689 6.878800 29.518683 
500.00 1413.15 98.226056 40.600365 0.000000 15.657212 8.449647 33.518832 
500.00 1403.15 98.218155 33.472510 0.000000 17.694588 9.733365 37.317693 
500.00 1393.15 98.208061 26.814747 0.000000 19.595054 10.810908 40.987352 
500.00 1383.15 98.200310 21.919551 0.000000 21.075536 11.856975 43.348248 
500.00 1373.15 98.197910 18.881360 0.000000 22.094501 12.880665 44.341384 
500.00 1363.15 98.198790 16.652930 0.000000 22.945016 13.853513 44.747331 
500.00 1353.15 98.201826 14.744102 0.000000 23.796340 14.788329 44.873055 
500.00 1343.15 98.206587 12.920545 0.000000 24.753447 15.703378 44.829217 
