Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 100.116359 49.5849 1.34296 14.6016 2.46693 9.76183 0.192431 6.81197 10.5631 2.20933 0.329214 0.151523 1.98414
500.00 1513.15 100.117003 49.5846 1.34295 14.6015 2.47334 9.75598 0.19243 6.81193 10.5631 2.20932 0.329211 0.151522 1.98413
500.00 1503.15 100.117688 49.5843 1.34294 14.6014 2.48015 9.74977 0.192428 6.81188 10.563 2.2093 0.329209 0.151521 1.98412
500.00 1493.15 100.118413 49.5839 1.34293 14.6013 2.48736 9.74319 0.192427 6.81183 10.5629 2.20929 0.329207 0.15152 1.9841
500.00 1483.15 100.119181 49.5835 1.34292 14.6012 2.495 9.73623 0.192425 6.81178 10.5628 2.20927 0.329204 0.151519 1.98409
500.00 1473.15 100.119993 49.5831 1.34291 14.6011 2.50307 9.72887 0.192424 6.81173 10.5627 2.20925 0.329202 0.151518 1.98407
500.00 1463.15 100.120849 49.5827 1.3429 14.601 2.51159 9.72111 0.192422 6.81167 10.5627 2.20923 0.329199 0.151516 1.98406
500.00 1453.15 100.121752 49.5822 1.34289 14.6008 2.52057 9.71292 0.192421 6.81161 10.5626 2.20921 0.329196 0.151515 1.98404
500.00 1443.15 100.122703 49.5818 1.34287 14.6007 2.53002 9.70429 0.192419 6.81154 10.5625 2.20919 0.329193 0.151514 1.98402
500.00 1433.15 100.123704 49.5813 1.34286 14.6006 2.53997 9.69522 0.192417 6.81147 10.5624 2.20917 0.329189 0.151512 1.984
500.00 1423.15 100.124756 49.5808 1.34285 14.6004 2.55043 9.68569 0.192415 6.8114 10.5622 2.20915 0.329186 0.151511 1.98398
500.00 1413.15 100.125861 49.5802 1.34283 14.6002 2.56142 9.67567 0.192413 6.81133 10.5621 2.20912 0.329182 0.151509 1.98396
500.00 1403.15 100.126580 49.5799 1.34282 14.6001 2.56857 9.66915 0.192411 6.81128 10.5621 2.20911 0.32918 0.151508 1.98394
500.00 1393.15 100.125282 49.5805 1.34284 14.6003 2.55567 9.68091 0.192414 6.81137 10.5622 2.20914 0.329184 0.15151 1.98397
500.00 1383.15 100.125324 49.5805 1.34284 14.6003 2.55608 9.68054 0.192414 6.81136 10.5622 2.20914 0.329184 0.15151 1.98397
500.00 1373.15 100.127099 49.5796 1.34281 14.6001 2.57373 9.66444 0.19241 6.81124 10.562 2.2091 0.329178 0.151507 1.98393
500.00 1363.15 100.129551 49.5784 1.34278 14.5997 2.5981 9.64221 0.192406 6.81108 10.5617 2.20904 0.32917 0.151503 1.98388
500.00 1353.15 100.131904 49.5772 1.34275 14.5994 2.6215 9.62089 0.192401 6.81092 10.5615 2.20899 0.329162 0.1515 1.98384
500.00 1343.15 100.127986 49.5792 1.3428 14.5999 2.58254 9.6564 0.192409 6.81118 10.5619 2.20908 0.329175 0.151506 1.98391
500.00 1333.15 100.293788 49.4972 1.34058 14.5758 4.22832 8.15571 0.19209 6.79992 10.5444 2.20542 0.328631 0.151255 1.98063
500.00 1323.15 100.313965 49.4872 1.34031 14.5729 4.42823 7.97342 0.192052 6.79855 10.5423 2.20498 0.328565 0.151225 1.98024
500.00 1313.15 100.324182 49.4822 1.34018 14.5714 4.52943 7.88115 0.192032 6.79786 10.5413 2.20476 0.328532 0.151209 1.98003
500.00 1303.15 100.327766 49.4804 1.34013 14.5709 4.56492 7.84878 0.192025 6.79762 10.5409 2.20468 0.32852 0.151204 1.97996
500.00 1293.15 100.326741 49.4809 1.34014 14.571 4.55478 7.85803 0.192027 6.79769 10.541 2.2047 0.328523 0.151205 1.97998
