Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 99.979990 49.6525 1.34479 14.6215 2.47029 9.77514 0.192693 6.82126 10.5775 2.21235 0.329663 0.15173 1.85045
500.00 1513.15 99.984822 49.6501 1.34472 14.6208 2.47661 9.76888 0.192684 6.82093 10.577 2.21224 0.329647 0.151723 1.85455
500.00 1503.15 99.989773 49.6477 1.34466 14.6201 2.48332 9.76225 0.192675 6.8206 10.5765 2.21213 0.32963 0.151715 1.85873
500.00 1493.15 99.994844 49.6452 1.34459 14.6194 2.49044 9.75523 0.192665 6.82025 10.576 2.21202 0.329614 0.151707 1.86298
500.00 1483.15 100.000039 49.6426 1.34452 14.6186 2.49797 9.74783 0.192655 6.8199 10.5754 2.2119 0.329597 0.151699 1.86731
500.00 1473.15 100.005362 49.6399 1.34445 14.6178 2.50594 9.74002 0.192645 6.81953 10.5749 2.21179 0.329579 0.151691 1.87172
500.00 1463.15 100.010816 49.6372 1.34438 14.617 2.51435 9.7318 0.192634 6.81916 10.5743 2.21166 0.329561 0.151683 1.87622
500.00 1453.15 100.016404 49.6345 1.3443 14.6162 2.52322 9.72315 0.192623 6.81878 10.5737 2.21154 0.329543 0.151675 1.8808
500.00 1443.15 100.022131 49.6316 1.34422 14.6154 2.53257 9.71405 0.192612 6.81839 10.5731 2.21141 0.329524 0.151666 1.88546
500.00 1433.15 100.028000 49.6287 1.34414 14.6145 2.5424 9.7045 0.192601 6.81799 10.5725 2.21128 0.329504 0.151657 1.89022
500.00 1423.15 100.034015 49.6257 1.34406 14.6136 2.55274 9.69447 0.192589 6.81758 10.5718 2.21115 0.329485 0.151648 1.89507
500.00 1413.15 100.040181 49.6227 1.34398 14.6127 2.56361 9.68396 0.192577 6.81716 10.5712 2.21102 0.329464 0.151639 1.90001
500.00 1403.15 99.895103 49.6356 1.34593 14.634 2.57452 9.66518 0.192413 6.76323 10.5859 2.21423 0.329943 0.151859 1.90716
500.00 1393.15 99.078362 49.7219 1.35703 14.7546 2.58267 9.60636 0.19149 6.47386 10.6699 2.23248 0.332663 0.153111 1.92396
500.00 1383.15 95.955888 49.7775 1.37945 15.0995 2.59317 9.67896 0.196313 6.0979 10.4246 2.301 0.343488 0.158093 1.95016
500.00 1373.15 91.245318 49.8487 1.40193 15.6101 2.59989 9.82916 0.205898 5.66027 9.92009 2.41149 0.36122 0.166255 1.98495
500.00 1363.15 86.866417 49.9781 1.41122 16.1009 2.59785 9.93086 0.215464 5.23961 9.42687 2.52375 0.379429 0.174635 2.02128
500.00 1353.15 82.375191 50.1973 1.41456 16.5023 2.5959 10.0127 0.22553 4.83225 8.93567 2.64177 0.399955 0.184157 2.05788
500.00 1343.15 74.845101 50.7188 1.48729 16.238 2.66787 10.3356 0.240265 4.41514 8.38661 2.78721 0.4382 0.202685 2.0823
500.00 1333.15 56.530738 54.6902 1.08738 16.4973 2.07198 7.52147 0.340797 3.7715 7.62784 3.31068 0.573432 0.268349 2.23905
500.00 1323.15 48.267297 56.3167 1.03205 16.1487 1.93787 6.8518 0.399142 3.2936 7.2439 3.50828 0.663661 0.314291 2.29002
500.00 1313.15 41.656507 57.7928 0.988837 15.7812 1.81043 6.24954 0.462484 2.90384 6.92613 3.63273 0.758204 0.364168 2.32963
500.00 1303.15 36.244775 59.1365 0.956099 15.4121 1.68839 5.70391 0.531538 2.58114 6.6664 3.68821 0.857278 0.418542 2.35996
500.00 1293.15 31.763878 60.3602 0.93215 15.0536 1.57126 5.20705 0.606522 2.31057 6.45611 3.68177 0.960389 0.477585 2.38278
