Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.116359 99.979990 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.136369 
500.00 1513.15 100.117003 99.984822 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.132181 
500.00 1503.15 100.117688 99.989773 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.127915 
500.00 1493.15 100.118413 99.994844 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.123569 
500.00 1483.15 100.119181 100.000039 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.119142 
500.00 1473.15 100.119993 100.005362 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.114631 
500.00 1463.15 100.120849 100.010816 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.110034 
500.00 1453.15 100.121752 100.016404 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.105348 
500.00 1443.15 100.122703 100.022131 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.100572 
500.00 1433.15 100.123704 100.028000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.095704 
500.00 1423.15 100.124756 100.034015 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.090741 
500.00 1413.15 100.125861 100.040181 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.085680 
500.00 1403.15 100.126580 99.895103 0.150186 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.081292 
500.00 1393.15 100.125282 99.078362 0.966698 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.080222 
500.00 1383.15 100.125324 95.955888 1.334900 0.000000 2.719375 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.115161 
500.00 1373.15 100.127099 91.245318 1.374811 0.000000 7.331694 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.175276 
500.00 1363.15 100.129551 86.866417 1.454285 0.000000 11.578207 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.230642 
500.00 1353.15 100.131904 82.375191 1.669732 0.000000 15.393254 0.402454 0.000000 0.000000 0.000000 0.000000 0.000000 0.291274 
500.00 1343.15 100.127986 74.845101 2.738777 0.000000 17.844552 4.271601 0.000000 0.000000 0.000000 0.000000 0.000000 0.427954 
500.00 1333.15 100.293788 56.530738 0.000000 3.476653 22.871945 11.335085 0.000000 0.000000 5.358665 0.000000 0.000000 0.720701 
500.00 1323.15 100.313965 48.267297 0.000000 5.332644 23.448124 16.105116 0.000000 0.000000 6.279664 0.000000 0.000000 0.881120 
500.00 1313.15 100.324182 41.656507 0.000000 6.844561 23.755004 20.152215 0.000000 0.000000 6.899884 0.000000 0.000000 1.016011 
500.00 1303.15 100.327766 36.244775 0.000000 8.102470 23.923509 23.611358 0.000000 0.000000 7.314565 0.000000 0.000000 1.131089 
500.00 1293.15 100.326741 31.763878 0.000000 9.168864 24.017902 26.564708 0.000000 0.000000 7.581800 0.000000 0.000000 1.229590 
500.00 1283.15 100.322460 28.035662 0.000000 10.089880 24.068503 29.074155 0.000000 0.000000 7.740555 0.000000 0.000000 1.313704 
500.00 1273.15 100.315889 24.926108 0.000000 10.900280 24.089226 31.196070 0.000000 0.000000 7.818930 0.000000 0.000000 1.385275 
500.00 1263.15 100.307743 22.326330 0.000000 11.625987 24.086851 32.984620 0.000000 0.000000 7.837939 0.000000 0.000000 1.446016 
500.00 1253.15 100.298553 20.144735 0.000000 12.286076 24.065491 34.491280 0.000000 0.000000 7.813422 0.000000 0.000000 1.497550 
500.00 1243.15 100.288706 18.304470 0.000000 12.894441 24.028421 35.762799 0.000000 0.000000 7.757211 0.000000 0.000000 1.541365 
500.00 1233.15 100.278481 16.742002 0.000000 13.461212 23.978651 36.839835 0.000000 0.000000 7.678014 0.000000 0.000000 1.578767 
500.00 1223.15 100.268072 15.405595 0.000000 13.993881 23.918997 37.756591 0.000000 0.000000 7.582138 0.000000 0.000000 1.610869 
500.00 1213.15 100.257459 14.236611 0.000000 14.503676 23.850630 38.545783 0.000000 0.000000 7.472344 0.000000 0.009615 1.638800 
500.00 1203.15 100.246617 13.192816 0.000000 14.998778 23.774613 39.231681 0.000000 0.000000 7.350219 0.000000 0.035107 1.663403 
500.00 1193.15 100.235909 12.282230 0.000000 15.471550 23.695758 39.823218 0.000000 0.000000 7.221436 0.000000 0.056844 1.684873 
500.00 1183.15 100.225367 11.481364 0.000000 15.925440 23.615785 40.336075 0.000000 0.000000 7.087460 0.000000 0.075495 1.703749 
500.00 1173.15 100.215003 10.771488 0.000000 16.363450 23.536157 40.782718 0.000000 0.000000 6.949150 0.000000 0.091578 1.720463 
500.00 1163.15 100.204818 10.137559 0.000000 16.788304 23.458134 41.173056 0.000000 0.000000 6.806903 0.000000 0.105497 1.735365 
500.00 1153.15 100.190685 9.265066 0.000000 17.412245 23.385375 41.689638 0.000000 0.000000 6.312891 0.243555 0.125855 1.756060 
500.00 1143.15 100.172990 8.352879 0.084255 18.046408 23.301856 42.214866 0.000000 0.000000 5.739248 0.505741 0.149246 1.778493 
500.00 1133.15 100.152695 7.449310 0.219806 18.685740 23.211106 42.719831 0.000000 0.000000 5.135938 0.756268 0.173486 1.801209 
500.00 1123.15 100.131957 6.605882 0.336884 19.337986 23.121640 43.177642 0.000000 0.000000 4.546951 0.987107 0.195502 1.822363 
