Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.116359 41.687867 39.755709 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.932158 
500.00 1513.15 100.117003 41.574733 39.715640 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.859094 
500.00 1503.15 100.117688 41.461465 39.675684 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.785781 
500.00 1493.15 100.118413 41.348066 39.635846 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.712220 
500.00 1483.15 100.119181 41.234538 39.596127 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.638411 
500.00 1473.15 100.119993 41.120885 39.556532 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.564353 
500.00 1463.15 100.120849 41.007109 39.517061 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.490047 
500.00 1453.15 100.121752 40.893215 39.477720 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.415495 
500.00 1443.15 100.122703 40.779206 39.438510 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.340696 
500.00 1433.15 100.123704 40.665088 39.399435 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.265653 
500.00 1423.15 100.124756 40.550867 39.360498 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.190368 
500.00 1413.15 100.125861 40.436547 39.321703 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.114844 
500.00 1403.15 100.126580 40.327450 39.233029 0.045370 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.049051 
500.00 1393.15 100.125282 40.241409 38.923572 0.291197 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.026640 
500.00 1383.15 100.125324 40.425506 37.727547 0.400498 0.000000 0.836093 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.461367 
500.00 1373.15 100.127099 40.792119 35.928964 0.410383 0.000000 2.247484 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.205288 
500.00 1363.15 100.129551 41.116039 34.269000 0.431799 0.000000 3.538345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.876896 
500.00 1353.15 100.131904 41.501331 32.567564 0.492909 0.000000 4.689462 0.149894 0.000000 0.000000 0.000000 0.000000 0.000000 3.601503 
500.00 1343.15 100.127986 42.685044 29.626889 0.802061 0.000000 5.418520 1.592787 0.000000 0.000000 0.000000 0.000000 0.000000 5.244788 
500.00 1333.15 100.293788 45.273312 23.093573 0.000000 1.053849 6.972731 4.238660 0.000000 0.000000 1.160942 0.000000 0.000000 8.753558 
500.00 1323.15 100.313965 46.650560 19.906369 0.000000 1.612308 7.140846 6.033250 0.000000 0.000000 1.352722 0.000000 0.000000 10.605065 
500.00 1313.15 100.324182 47.767020 17.317772 0.000000 2.064346 7.227181 7.562086 0.000000 0.000000 1.479274 0.000000 0.000000 12.116361 
500.00 1303.15 100.327766 48.677856 15.169676 0.000000 2.437899 7.271627 8.873559 0.000000 0.000000 1.561836 0.000000 0.000000 13.363259 
500.00 1293.15 100.326741 49.415778 13.369852 0.000000 2.752317 7.293731 9.996617 0.000000 0.000000 1.613239 0.000000 0.000000 14.390022 
500.00 1283.15 100.322460 50.004112 11.857098 0.000000 3.021867 7.302714 10.952999 0.000000 0.000000 1.642002 0.000000 0.000000 15.227432 
500.00 1273.15 100.315889 50.462980 10.584475 0.000000 3.257283 7.302815 11.762901 0.000000 0.000000 1.654196 0.000000 0.000000 15.901311 
500.00 1263.15 100.307743 50.811021 9.512695 0.000000 3.466567 7.296112 12.446109 0.000000 0.000000 1.654309 0.000000 0.000000 16.435229 
500.00 1253.15 100.298553 51.065577 8.607698 0.000000 3.655605 7.283870 13.021718 0.000000 0.000000 1.645685 0.000000 0.000000 16.851001 
500.00 1243.15 100.288706 51.242222 7.840184 0.000000 3.828683 7.267090 13.507273 0.000000 0.000000 1.630793 0.000000 0.000000 17.168200 
500.00 1233.15 100.278481 51.354420 7.185462 0.000000 3.988925 7.246682 13.918152 0.000000 0.000000 1.611433 0.000000 0.000000 17.403767 
500.00 1223.15 100.268072 51.413453 6.623129 0.000000 4.138636 7.223491 14.267370 0.000000 0.000000 1.588890 0.000000 0.000000 17.571936 
500.00 1213.15 100.257459 51.429819 6.129959 0.000000 4.281146 7.197802 14.567432 0.000000 0.000000 1.563711 0.000000 0.003140 17.686630 
500.00 1203.15 100.246617 51.411332 5.689104 0.000000 4.418859 7.169879 14.827640 0.000000 0.000000 1.536199 0.000000 0.011464 17.758188 
500.00 1193.15 100.235909 51.361460 5.303260 0.000000 4.549662 7.141251 15.051446 0.000000 0.000000 1.507518 0.000000 0.018561 17.789761 
500.00 1183.15 100.225367 51.285327 4.962875 0.000000 4.674600 7.112406 15.244893 0.000000 0.000000 1.477944 0.000000 0.024652 17.787959 
500.00 1173.15 100.215003 51.187013 4.660295 0.000000 4.794569 7.083749 15.412792 0.000000 0.000000 1.447634 0.000000 0.029903 17.758072 
500.00 1163.15 100.204818 51.069770 4.389343 0.000000 4.910380 7.055619 15.558977 0.000000 0.000000 1.416651 0.000000 0.034448 17.704351 
