Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 100.110556 47.2229 1.42123 15.6448 2.50917 9.84818 0.198707 7.21453 11.0044 2.33877 0.347648 0.159939 2.08975
500.00 1513.15 100.111211 47.2226 1.42122 15.6447 2.51568 9.84225 0.198705 7.21449 11.0043 2.33875 0.347646 0.159938 2.08974
500.00 1503.15 100.111905 47.2222 1.42121 15.6446 2.52258 9.83595 0.198704 7.21444 11.0043 2.33874 0.347643 0.159937 2.08972
500.00 1493.15 100.112642 47.2219 1.4212 15.6445 2.52991 9.82927 0.198702 7.21438 11.0042 2.33872 0.347641 0.159936 2.08971
500.00 1483.15 100.113421 47.2215 1.42118 15.6443 2.53766 9.8222 0.198701 7.21433 11.0041 2.3387 0.347638 0.159935 2.08969
500.00 1473.15 100.114245 47.2211 1.42117 15.6442 2.54585 9.81473 0.198699 7.21427 11.004 2.33868 0.347635 0.159934 2.08967
500.00 1463.15 100.115114 47.2207 1.42116 15.6441 2.55449 9.80685 0.198698 7.21421 11.0039 2.33866 0.347632 0.159932 2.08965
500.00 1453.15 100.116030 47.2203 1.42115 15.6439 2.56361 9.79853 0.198696 7.21414 11.0038 2.33864 0.347629 0.159931 2.08964
500.00 1443.15 100.116996 47.2198 1.42113 15.6438 2.57321 9.78978 0.198694 7.21407 11.0037 2.33862 0.347626 0.159929 2.08962
500.00 1433.15 100.118011 47.2194 1.42112 15.6436 2.5833 9.78057 0.198692 7.214 11.0036 2.3386 0.347622 0.159928 2.08959
500.00 1423.15 100.119079 47.2189 1.4211 15.6435 2.59392 9.77089 0.19869 7.21392 11.0035 2.33857 0.347618 0.159926 2.08957
500.00 1413.15 100.120200 47.2183 1.42109 15.6433 2.60507 9.76072 0.198687 7.21384 11.0034 2.33854 0.347615 0.159924 2.08955
500.00 1403.15 100.119474 47.2187 1.4211 15.6434 2.59785 9.76731 0.198689 7.21389 11.0034 2.33856 0.347617 0.159925 2.08956
500.00 1393.15 99.428983 47.2728 1.43097 15.752 2.60531 9.72916 0.198065 6.96481 11.0769 2.3548 0.350031 0.161036 2.10407
500.00 1383.15 98.639415 47.3348 1.44242 15.8781 2.65724 9.64089 0.19727 6.67748 11.162 2.37365 0.352833 0.162325 2.12092
500.00 1373.15 93.899912 47.2902 1.4592 16.388 2.68363 9.81201 0.206558 6.2285 10.6772 2.48563 0.370642 0.170518 2.22797
500.00 1363.15 89.092028 47.2689 1.46607 16.931 2.63008 10.0631 0.217252 5.7746 10.1199 2.61056 0.390644 0.17972 2.3482
500.00 1353.15 80.373045 47.4028 1.56209 16.6322 2.74674 10.6634 0.235042 5.29729 9.43689 2.79038 0.431034 0.199216 2.60294
500.00 1343.15 73.290426 47.4319 1.65171 16.2376 5.32751 8.98681 0.251187 4.83844 8.78083 2.95055 0.470455 0.218468 2.85448
500.00 1333.15 56.276938 51.8897 1.09638 16.5228 2.7619 7.36848 0.322708 3.99934 7.85665 3.57261 0.607415 0.284515 3.71744
500.00 1323.15 50.212559 53.3228 0.991182 16.2459 2.5011 6.76284 0.354561 3.57058 7.26141 3.82725 0.677097 0.318877 4.16641
500.00 1313.15 45.458750 54.6159 0.902728 15.9127 2.29902 6.2006 0.383971 3.20684 6.73772 4.04224 0.743889 0.352223 4.60211
500.00 1303.15 40.907955 55.7618 0.83604 15.4229 2.11518 5.70758 0.426685 2.81707 6.33292 4.25334 0.821079 0.391406 5.11407
500.00 1293.15 37.201165 56.8029 0.779197 14.8915 1.95937 5.25383 0.469201 2.4784 5.98678 4.42816 0.896692 0.430407 5.62364
500.00 1283.15 34.167519 57.7498 0.728408 14.3502 1.82074 4.83791 0.51086 2.19241 5.67934 4.5692 0.969604 0.468621 6.12295
500.00 1273.15 31.632643 58.6142 0.682759 13.8059 1.69548 4.45604 0.551798 1.94844 5.40482 4.68076 1.04007 0.506174 6.61361
500.00 1263.15 29.480789 59.4053 0.641521 13.264 1.58105 4.10487 0.592075 1.73851 5.15851 4.76649 1.1082 0.543121 7.09635
500.00 1253.15 27.631821 60.1305 0.604106 12.7291 1.47567 3.7815 0.631693 1.5566 4.93656 4.82959 1.17402 0.579463 7.5712
500.00 1243.15 26.027797 60.7962 0.570032 12.2046 1.37808 3.48342 0.670622 1.398 4.73571 4.87294 1.2375 0.615174 8.03779
500.00 1233.15 24.625329 61.4076 0.5389 11.6931 1.28737 3.20843 0.708816 1.25899 4.55323 4.89914 1.2986 0.65021 8.49556
500.00 1223.15 23.390972 61.9696 0.510374 11.1968 1.20283 2.95463 0.746221 1.13658 4.38681 4.91051 1.35725 0.684522 8.94388
500.00 1213.15 22.298340 62.4864 0.484168 10.7169 1.1239 2.72031 0.782786 1.02835 4.23447 4.90912 1.41342 0.718064 9.38213
500.00 1203.15 21.326234 62.9618 0.460033 10.2543 1.05014 2.50392 0.818467 0.93229 4.09453 4.89682 1.46707 0.750795 9.8098
500.00 1193.15 20.457351 63.3994 0.437755 9.80959 0.979861 2.30526 0.85323 0.846746 3.96555 4.87526 1.51818 0.782683 10.2264
500.00 1183.15 19.658109 63.8505 0.417441 9.387 0.914189 2.1211 0.88792 0.769005 3.81073 4.84917 1.56822 0.783758 10.6409
500.00 1173.15 18.933637 64.2838 0.398678 8.98351 0.853081 1.95087 0.921895 0.699262 3.65395 4.81734 1.61611 0.775081 11.0464
500.00 1163.15 18.280561 64.6833 0.381197 8.59703 0.796069 1.79367 0.95483 0.636823 3.50823 4.77958 1.66136 0.768244 11.4396
500.00 1153.15 17.689716 65.0518 0.364875 8.22724 0.742878 1.64852 0.986722 0.580774 3.37271 4.73692 1.70399 0.763185 11.8204
500.00 1143.15 17.153389 65.3914 0.349602 7.87371 0.693259 1.51452 1.01757 0.530337 3.24663 4.69023 1.74406 0.759869 12.1888
500.00 1133.15 16.665051 65.7042 0.335278 7.53594 0.646983 1.39083 1.04739 0.484848 3.1294 4.64028 1.7816 0.758285 12.545
500.00 1123.15 16.218928 65.9929 0.321819 7.21349 0.590483 1.28871 1.0762 0.443739 3.02053 4.58778 1.81668 0.758453 12.8892
500.00 1113.15 15.801984 66.2744 0.31187 6.90227 0.51584 1.21005 1.0906 0.405709 2.91846 4.53287 1.85008 0.759327 13.2285
500.00 1103.15 15.395118 66.5535 0.3104 6.58707 0.474091 1.10155 1.08052 0.361866 2.84013 4.47306 1.88312 0.757563 13.5772
500.00 1093.15 15.023377 66.8102 0.309644 6.28797 0.417618 1.01794 1.06934 0.321747 2.76923 4.41313 1.91368 0.757194 13.9123
500.00 1083.15 14.674901 67.0549 0.297318 6.00007 0.388665 0.927015 1.0503 0.282513 2.70551 4.3529 1.94256 0.756355 14.2419
500.00 1073.15 14.355314 67.2884 0.276673 5.72796 0.358763 0.840673 1.03369 0.248168 2.64748 4.29378 1.96907 0.757116 14.5583
500.00 1063.15 14.063780 67.5015 0.257731 5.47107 0.330455 0.760503 1.01755 0.217358 2.59604 4.23573 1.99299 0.7596 14.8595
500.00 1053.15 13.797503 67.6952 0.240318 5.22861 0.303738 0.686329 1.00196 0.189727 2.55108 4.17893 2.01439 0.76387 15.1458
500.00 1043.15 13.554017 67.8705 0.224285 4.99982 0.278587 0.617915 0.986975 0.164966 2.51256 4.12353 2.0333 0.77001 15.4176
500.00 1033.15 13.331139 68.0281 0.209503 4.78394 0.254962 0.554985 0.972622 0.142807 2.48045 4.06966 2.04973 0.778125 15.6751
500.00 1023.15 13.126916 68.1687 0.19586 4.58022 0.232814 0.497242 0.958915 0.123019 2.4548 4.01741 2.0637 0.788344 15.9189
