Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.097002 50.2892 1.38434 14.9653 2.53252 9.97327 0.192564 7.14089 10.852 2.17581 0.33528 0.158822 0
500.00 1513.15 98.097654 50.2889 1.38433 14.9652 2.53913 9.96724 0.192563 7.14084 10.8519 2.17579 0.335278 0.158821 0
500.00 1503.15 98.098345 50.2885 1.38433 14.9651 2.54615 9.96084 0.192562 7.14079 10.8519 2.17578 0.335276 0.15882 0
500.00 1493.15 98.099078 50.2881 1.38431 14.965 2.55358 9.95406 0.19256 7.14074 10.8518 2.17576 0.335273 0.158819 0
500.00 1483.15 98.099854 50.2877 1.3843 14.9649 2.56145 9.94688 0.192559 7.14068 10.8517 2.17574 0.335271 0.158818 0
500.00 1473.15 98.100516 50.2874 1.38429 14.9648 2.56818 9.94074 0.192558 7.14064 10.8516 2.17573 0.335268 0.158817 0
500.00 1463.15 98.100197 50.2876 1.3843 14.9648 2.56494 9.9437 0.192558 7.14066 10.8517 2.17573 0.335269 0.158817 0
500.00 1453.15 98.098024 50.2887 1.38433 14.9651 2.54288 9.96382 0.192562 7.14082 10.8519 2.17578 0.335277 0.158821 0
500.00 1443.15 98.090596 50.2925 1.38443 14.9663 2.4675 10.0326 0.192577 7.14136 10.8527 2.17595 0.335302 0.158833 0
500.00 1433.15 98.084007 50.2959 1.38453 14.9673 2.4006 10.0936 0.19259 7.14184 10.8535 2.17609 0.335325 0.158843 0
500.00 1423.15 98.077992 50.2989 1.38461 14.9682 2.33955 10.1493 0.192602 7.14228 10.8541 2.17623 0.335345 0.158853 0
500.00 1413.15 98.072403 50.3018 1.38469 14.969 2.28279 10.2011 0.192613 7.14268 10.8547 2.17635 0.335364 0.158862 0
500.00 1403.15 98.067124 50.3045 1.38477 14.9698 2.22918 10.2499 0.192623 7.14307 10.8553 2.17647 0.335383 0.158871 0
500.00 1393.15 98.062055 50.3071 1.38484 14.9706 2.17771 10.2969 0.192633 7.14344 10.8559 2.17658 0.3354 0.158879 0
500.00 1383.15 98.057096 50.3097 1.38491 14.9714 2.12734 10.3428 0.192643 7.1438 10.8564 2.17669 0.335417 0.158887 0
500.00 1373.15 98.052149 50.3122 1.38498 14.9721 2.07709 10.3887 0.192653 7.14416 10.857 2.1768 0.335434 0.158895 0
500.00 1363.15 98.047152 50.3148 1.38505 14.9729 2.02633 10.435 0.192662 7.14452 10.8575 2.17691 0.335451 0.158903 0
500.00 1353.15 98.042145 50.3173 1.38512 14.9737 1.97546 10.4814 0.192672 7.14489 10.8581 2.17702 0.335468 0.158911 0
500.00 1343.15 98.169565 50.252 1.38332 14.9542 3.26841 9.30205 0.192422 7.13561 10.844 2.1742 0.335033 0.158705 0
