Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.097002 1.0000000000000000 1.000000 264.977718 -1166878.212230 36.274223 -202.180393 2354.470873 145.809560 -7.007 0.000 2.704317 0.000000 2.220 0 0.000
500.00 1513.15 98.097654 1.0000000000000000 1.000000 264.018498 -1168345.860831 36.251256 -202.401152 2354.616818 145.812902 -7.116 0.000 2.706048 0.000000 2.263 0 0.000
500.00 1503.15 98.098345 1.0000000000000000 1.000000 263.052937 -1169814.165661 36.228321 -202.623157 2354.771746 145.816449 -7.225 0.000 2.707781 0.000000 2.306 0 0.000
500.00 1493.15 98.099078 1.0000000000000000 1.000000 262.080949 -1171283.150956 36.205419 -202.846483 2354.935932 145.820209 -7.336 0.000 2.709514 0.000000 2.350 0 0.000
500.00 1483.15 98.099854 1.0000000000000000 1.000000 261.102444 -1172752.841977 36.182551 -203.071205 2355.109665 145.824187 -7.449 0.000 2.711248 0.000000 2.395 0 0.000
500.00 1473.15 98.100516 0.9948066868718164 0.994712 260.018852 -1174365.652334 36.151134 -202.328427 2349.446543 142.217722 -7.563 0.000 2.713880 2.665188 2.434 0 0.000
500.00 1463.15 98.100197 0.9580503221085044 0.957148 258.244921 -1176964.724862 36.066875 -195.618968 2308.504992 141.370523 -7.679 0.000 2.722516 2.662697 2.434 0 0.000
500.00 1453.15 98.098024 0.8947195108597211 0.894952 255.882090 -1180370.441403 35.883548 -184.694186 2235.811752 139.748865 -7.796 0.000 2.733079 2.739832 2.434 0 0.000
500.00 1443.15 98.090596 0.7529556709820359 0.759703 251.686691 -1186318.988946 35.379602 -162.274022 2067.824981 135.719950 -7.915 0.000 2.747895 2.850365 2.452 0 0.000
500.00 1433.15 98.084007 0.6412277241014518 0.650645 248.200590 -1191220.063726 34.974758 -144.377166 1935.398740 132.585869 -8.035 0.000 2.763830 2.880023 2.460 0 0.000
500.00 1423.15 98.077992 0.5501714733239884 0.560112 245.209053 -1195389.909064 34.640347 -129.560896 1827.200696 130.070502 -8.157 0.000 2.781072 2.895307 2.459 0 0.000
500.00 1413.15 98.072403 0.4735474060351589 0.482849 242.561070 -1199050.006114 34.354864 -116.923967 1735.645491 127.982378 -8.281 0.000 2.799693 2.906035 2.447 0 0.000
500.00 1403.15 98.067124 0.4074447857705523 0.415494 240.161608 -1202339.106095 34.104920 -105.906151 1655.925737 126.200554 -8.407 0.000 2.819750 2.915050 2.426 0 0.000
500.00 1393.15 98.062055 0.3493573709640260 0.355867 237.949225 -1205346.358822 33.882036 -96.154323 1584.925441 124.646580 -8.535 0.000 2.841276 2.923470 2.394 0 0.000
500.00 1383.15 98.057096 0.2977302001881158 0.302628 235.884968 -1208127.853275 33.681065 -87.458158 1520.678575 123.269934 -8.664 0.000 2.864221 2.931790 2.353 0 0.000
500.00 1373.15 98.052149 0.2517340293615007 0.255104 233.946780 -1210715.273588 33.499392 -79.719173 1462.101563 122.040392 -8.795 0.000 2.888317 2.940225 2.301 0 0.000
500.00 1363.15 98.047152 0.2111114711857361 0.213166 232.125877 -1213122.094796 33.336368 -72.928104 1408.808982 120.943057 -8.929 0.000 2.912805 2.948825 2.241 0 0.000
500.00 1353.15 98.042145 0.1759470159629413 0.177006 230.421779 -1215351.992322 33.192443 -67.125215 1360.825571 119.972479 -9.064 0.000 2.936081 2.957549 2.179 0 0.000
500.00 1343.15 98.169565 0.1319074993173735 0.151235 228.140526 -1220667.677484 33.237702 -67.635239 1161.157146 117.875339 -9.201 0.000 2.576109 3.020816 4.609 0 0.000
