Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.091659 48.5773 1.40175 15.5817 2.47422 9.60047 0.19492 7.15127 11.2167 2.28919 0.336114 0.156996 1.01945
500.00 1513.15 98.092293 48.577 1.40174 15.5816 2.48066 9.59459 0.194918 7.15122 11.2166 2.28917 0.336112 0.156995 1.01945
500.00 1503.15 98.092967 48.5767 1.40173 15.5814 2.4875 9.58836 0.194917 7.15118 11.2165 2.28916 0.33611 0.156994 1.01944
500.00 1493.15 98.093681 48.5763 1.40172 15.5813 2.49475 9.58175 0.194916 7.15112 11.2164 2.28914 0.336107 0.156993 1.01943
500.00 1483.15 98.094437 48.5759 1.40171 15.5812 2.50242 9.57476 0.194914 7.15107 11.2163 2.28912 0.336105 0.156992 1.01943
500.00 1473.15 98.095235 48.5755 1.4017 15.5811 2.51052 9.56737 0.194913 7.15101 11.2162 2.2891 0.336102 0.15699 1.01942
500.00 1463.15 98.096077 48.5751 1.40169 15.5809 2.51907 9.55958 0.194911 7.15095 11.2161 2.28908 0.336099 0.156989 1.01941
500.00 1453.15 98.096965 48.5747 1.40167 15.5808 2.52808 9.55136 0.194909 7.15088 11.216 2.28906 0.336096 0.156988 1.0194
500.00 1443.15 98.097900 48.5742 1.40166 15.5807 2.53757 9.54271 0.194907 7.15082 11.2159 2.28904 0.336093 0.156986 1.01939
500.00 1433.15 98.098884 48.5737 1.40165 15.5805 2.54755 9.53361 0.194905 7.15074 11.2158 2.28902 0.336089 0.156984 1.01938
500.00 1423.15 98.099918 48.5732 1.40163 15.5803 2.55805 9.52404 0.194903 7.15067 11.2157 2.28899 0.336086 0.156983 1.01937
500.00 1413.15 98.101409 48.5725 1.40161 15.5801 2.57318 9.51024 0.1949 7.15056 11.2155 2.28896 0.336081 0.15698 1.01935
500.00 1403.15 94.666655 48.5448 1.43186 15.7824 2.56823 9.71431 0.201972 6.94285 10.891 2.35548 0.348059 0.162676 1.05634
500.00 1393.15 87.198095 48.6326 1.52343 15.6979 2.65676 10.1706 0.215568 6.53163 10.3948 2.4769 0.376427 0.176609 1.14681
500.00 1383.15 80.803329 48.738 1.61252 15.6029 2.74446 10.5962 0.228423 6.11755 9.93326 2.59382 0.404738 0.190586 1.23757
500.00 1373.15 75.324633 48.8506 1.69699 15.5065 2.82688 10.9955 0.240717 5.72081 9.49152 2.70579 0.432695 0.204448 1.32759
500.00 1363.15 70.574105 48.971 1.77679 15.4087 2.90454 11.3692 0.25245 5.34045 9.0683 2.81312 0.460331 0.21821 1.41695
500.00 1353.15 66.410561 49.1002 1.85173 15.3098 2.97785 11.7175 0.263614 4.97546 8.6624 2.91609 0.487689 0.231891 1.50578
500.00 1343.15 62.893956 49.108 1.91631 15.1693 5.7132 9.60176 0.27346 4.61237 8.25038 3.00698 0.513442 0.244857 1.58998
500.00 1333.15 50.788844 54.1531 1.21204 16.0619 2.70901 7.48458 0.338636 3.81125 7.75855 3.56586 0.632901 0.303216 1.96894
500.00 1323.15 47.241475 55.3297 1.09609 16.1253 2.45348 6.90163 0.364065 3.53436 7.32933 3.74461 0.678702 0.325985 2.11678
500.00 1313.15 44.089885 56.3878 1.0072 16.0847 2.28391 6.36063 0.390088 3.24075 6.99378 3.90863 0.725121 0.349286 2.26809
500.00 1303.15 40.384819 57.5724 0.939614 15.7789 2.13473 5.85734 0.425877 2.8921 6.66597 4.08776 0.787775 0.381331 2.47618
500.00 1293.15 36.691141 58.8357 0.88265 15.2894 1.97717 5.39962 0.468749 2.55225 6.3286 4.2591 0.861563 0.41972 2.72545
500.00 1283.15 33.675538 60.003 0.831644 14.7879 1.8371 4.97966 0.510725 2.26481 6.02743 4.39817 0.932811 0.457305 2.96951
500.00 1273.15 31.160428 61.0863 0.785698 14.2812 1.7107 4.59369 0.551949 2.01915 5.75711 4.50905 1.00179 0.494217 3.2092
500.00 1263.15 29.028042 62.0951 0.744099 13.7747 1.59533 4.23833 0.592494 1.80737 5.51325 4.59521 1.06864 0.530521 3.44494
500.00 1253.15 27.197000 63.037 0.706262 13.2726 1.48918 3.91068 0.632384 1.62348 5.29225 4.65967 1.13344 0.566239 3.67688
500.00 1243.15 25.608677 63.9179 0.67171 12.7783 1.39095 3.60819 0.671606 1.46278 5.09104 4.70511 1.19617 0.601359 3.90493
500.00 1233.15 24.219383 64.7429 0.640047 12.2943 1.29967 3.32868 0.710132 1.3216 4.90708 4.73394 1.25684 0.635854 4.12892
500.00 1223.15 22.995618 65.5165 0.610938 11.8226 1.21461 3.07021 0.747923 1.19697 4.7382 4.74831 1.31541 0.669693 4.34865
