Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.091659 1.0000000000000000 1.000000 274.883952 -1167877.160410 37.662903 -369.628367 3729.145945 147.650005 -7.007 0.000 2.604464 0.000000 1.801 0.384444 0.000
500.00 1513.15 98.092293 1.0000000000000000 1.000000 273.912639 -1169362.876558 37.626188 -368.522840 3726.471379 147.649841 -7.116 0.000 2.607022 0.000000 1.841 0.383493 0.000
500.00 1503.15 98.092967 1.0000000000000000 1.000000 272.934931 -1170849.193167 37.589533 -367.420282 3723.739269 147.649873 -7.225 0.000 2.609582 0.000000 1.880 0.382532 0.000
500.00 1493.15 98.093681 1.0000000000000000 1.000000 271.950739 -1172336.133638 37.552939 -366.320764 3720.949885 147.650105 -7.336 0.000 2.612144 0.000000 1.921 0.381561 0.000
500.00 1483.15 98.094437 1.0000000000000000 1.000000 270.959974 -1173823.722355 37.516409 -365.224359 3718.103507 147.650546 -7.449 0.000 2.614707 0.000000 1.962 0.380581 0.000
500.00 1473.15 98.095235 1.0000000000000000 1.000000 269.977474 -1175289.938917 37.479944 -364.131144 3715.200425 144.430250 -7.563 0.000 2.617273 0.000000 2.003 0.379591 0.000
500.00 1463.15 98.096077 1.0000000000000000 1.000000 268.995255 -1176746.645796 37.443544 -363.041199 3712.240944 144.422797 -7.679 0.000 2.619840 0.000000 2.045 0.37859 0.000
500.00 1453.15 98.096965 1.0000000000000000 1.000000 268.006393 -1178203.989812 37.407213 -361.954608 3709.225383 144.415029 -7.796 0.000 2.622408 0.000000 2.087 0.37758 0.000
500.00 1443.15 98.097900 1.0000000000000000 1.000000 267.010798 -1179661.993862 37.370951 -360.871456 3706.154073 144.406944 -7.915 0.000 2.624977 0.000000 2.131 0.37656 0.000
500.00 1433.15 98.098884 1.0000000000000000 1.000000 266.008377 -1181120.681988 37.334760 -359.791835 3703.027362 144.398541 -8.035 0.000 2.627548 0.000000 2.174 0.37553 0.000
