Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 100.082757 48.211 1.36431 15.3268 2.48661 9.91573 0.197881 7.29431 10.65 2.22218 0.350273 0.152956 1.82795
500.00 1513.15 100.087622 48.2086 1.36425 15.3261 2.49298 9.90941 0.197871 7.29395 10.6495 2.22207 0.350256 0.152949 1.83207
500.00 1503.15 100.092605 48.2062 1.36418 15.3253 2.49975 9.90272 0.197861 7.29359 10.649 2.22196 0.350238 0.152941 1.83626
500.00 1493.15 100.097710 48.2038 1.36411 15.3245 2.50692 9.89564 0.197851 7.29322 10.6484 2.22185 0.35022 0.152933 1.84054
500.00 1483.15 100.102941 48.2013 1.36404 15.3237 2.51452 9.88817 0.197841 7.29283 10.6479 2.22173 0.350202 0.152925 1.84489
500.00 1473.15 100.108300 48.1987 1.36397 15.3229 2.52255 9.88029 0.19783 7.29244 10.6473 2.22161 0.350183 0.152917 1.84933
500.00 1463.15 100.113792 48.196 1.36389 15.3221 2.53103 9.872 0.197819 7.29204 10.6467 2.22149 0.350164 0.152909 1.85385
500.00 1453.15 100.119420 48.1933 1.36381 15.3212 2.53998 9.86326 0.197808 7.29163 10.6461 2.22137 0.350144 0.1529 1.85846
500.00 1443.15 100.121828 48.1922 1.36378 15.3208 2.54951 9.85439 0.197804 7.29146 10.6459 2.22131 0.350136 0.152897 1.85986
500.00 1433.15 100.122842 48.1917 1.36377 15.3207 2.55959 9.8452 0.197802 7.29138 10.6457 2.22129 0.350132 0.152895 1.85984
500.00 1423.15 100.123907 48.1912 1.36375 15.3205 2.57019 9.83553 0.197799 7.29131 10.6456 2.22127 0.350129 0.152893 1.85982
500.00 1413.15 99.734794 48.2251 1.36907 15.3803 2.58075 9.80858 0.197459 7.15116 10.6856 2.22993 0.351495 0.15349 1.86707
500.00 1403.15 98.909051 48.2994 1.3805 15.5087 2.59034 9.75813 0.196669 6.85447 10.7714 2.24855 0.354429 0.154771 1.88266
500.00 1393.15 98.108362 48.3735 1.39177 15.6353 2.59963 9.70393 0.195827 6.56588 10.856 2.2669 0.357322 0.156034 1.89803
500.00 1383.15 95.255887 48.3987 1.40932 15.9641 2.61134 9.77413 0.200309 6.20256 10.6368 2.3309 0.368022 0.160707 1.94308
500.00 1373.15 90.498467 48.4244 1.42653 16.502 2.62351 9.96205 0.210587 5.75977 10.1104 2.44498 0.387368 0.169155 1.97925
500.00 1363.15 84.486367 48.5765 1.47075 16.7161 2.67462 10.2837 0.22342 5.32248 9.55064 2.57658 0.414257 0.181192 2.00981
