Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 feldspar_0 water 
500.00 1523.15 100.115421 100.082757 0.000000 0.000000 0.000000 0.032664 
500.00 1513.15 100.116071 100.087622 0.000000 0.000000 0.000000 0.028450 
500.00 1503.15 100.116762 100.092605 0.000000 0.000000 0.000000 0.024157 
500.00 1493.15 100.117495 100.097710 0.000000 0.000000 0.000000 0.019784 
500.00 1483.15 100.118270 100.102941 0.000000 0.000000 0.000000 0.015329 
500.00 1473.15 100.119089 100.108300 0.000000 0.000000 0.000000 0.010788 
500.00 1463.15 100.119953 100.113792 0.000000 0.000000 0.000000 0.006161 
500.00 1453.15 100.120865 100.119420 0.000000 0.000000 0.000000 0.001445 
500.00 1443.15 100.121828 100.121828 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 100.122842 100.122842 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 100.123907 100.123907 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 100.123960 99.734794 0.389167 0.000000 0.000000 0.000000 
500.00 1403.15 99.734609 98.909051 0.825559 0.000000 0.000000 0.000000 
500.00 1393.15 98.908885 98.108362 0.800523 0.000000 0.000000 0.000000 
500.00 1383.15 98.110035 95.255887 0.418699 2.424223 0.000000 0.011226 
500.00 1373.15 95.272108 90.498467 0.067541 4.635169 0.000000 0.070931 
500.00 1363.15 90.572273 84.486367 0.479912 3.741144 1.700747 0.164103 
