Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.113552 40.844380 39.671837 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.172543 
500.00 1513.15 100.114185 40.735593 39.631558 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.104035 
500.00 1503.15 100.114857 40.626675 39.591394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.035281 
500.00 1493.15 100.115569 40.517630 39.551348 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.966282 
500.00 1483.15 100.116323 40.408460 39.511421 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.897038 
500.00 1473.15 100.117119 40.299168 39.471618 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.827550 
500.00 1463.15 100.117960 40.189758 39.431941 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.757817 
500.00 1453.15 100.118846 40.080234 39.392394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.687841 
500.00 1443.15 100.119780 39.970601 39.352978 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.617622 
500.00 1433.15 100.120762 39.860862 39.313699 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.547163 
500.00 1423.15 100.121795 39.751025 39.274558 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.476467 
500.00 1413.15 100.122879 39.641094 39.235559 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.405535 
500.00 1403.15 100.122152 39.552364 38.976874 0.199804 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.375686 
500.00 1393.15 100.120887 39.467536 38.670616 0.443133 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.353787 
500.00 1383.15 100.123027 39.883609 36.699916 0.465930 0.000000 1.537578 0.000000 0.000000 0.000000 0.000000 1.180184 
500.00 1373.15 100.126022 40.258527 34.860733 0.497098 0.000000 2.963423 0.000000 0.000000 0.000000 0.000000 1.937273 
500.00 1363.15 100.127568 40.944602 32.567019 0.639117 0.000000 4.164953 0.532202 0.000000 0.000000 0.000000 3.041311 
500.00 1353.15 100.124173 42.272659 29.305191 0.987048 0.000000 4.981762 2.122456 0.000000 0.000000 0.000000 4.876202 
500.00 1343.15 100.250409 44.360959 23.959441 0.984155 0.000000 6.488922 4.341453 0.916505 0.000000 0.000000 7.670482 
500.00 1333.15 100.281318 45.683752 20.827111 1.070680 0.000000 7.192230 5.961904 1.181786 0.000000 0.000000 9.450041 
500.00 1323.15 100.320830 47.397730 16.740558 0.174949 1.677673 7.549578 7.936624 1.456997 0.000000 0.000000 11.861351 
500.00 1313.15 100.332563 48.543778 14.079033 0.000000 2.342026 7.624100 9.485519 1.580559 0.000000 0.000000 13.432540 
500.00 1303.15 100.334078 49.415824 12.036702 0.000000 2.685622 7.650025 10.769794 1.646084 0.000000 0.000000 14.627596 
500.00 1293.15 100.331554 50.108738 10.343667 0.000000 2.972604 7.658364 11.855037 1.683805 0.000000 0.000000 15.595260 
500.00 1283.15 100.326214 50.643568 8.945547 0.000000 3.217571 7.654905 12.761174 1.701396 0.000000 0.000000 16.362976 
500.00 1273.15 100.318975 51.041611 7.795551 0.000000 3.431338 7.642124 13.510295 1.704575 0.000000 0.000000 16.957728 
500.00 1263.15 100.310531 51.324506 6.850863 0.000000 3.621671 7.621538 14.126055 1.697667 0.000000 0.000000 17.406712 
500.00 1253.15 100.301390 51.512909 6.072891 0.000000 3.794008 7.594555 14.631703 1.683877 0.000000 0.000000 17.735875 
500.00 1243.15 100.291200 51.634266 5.391604 0.000000 3.960156 7.560681 15.060922 1.663942 0.000000 0.014109 17.982852 
500.00 1233.15 100.281009 51.690595 4.828285 0.000000 4.112922 7.523255 15.413515 1.641067 0.000000 0.025071 18.146479 
500.00 1223.15 100.270946 51.695864 4.356451 0.000000 4.254898 7.483490 15.705931 1.616368 0.000000 0.034039 18.244686 
500.00 1213.15 100.260930 51.662038 3.954947 0.002148 4.386503 7.442178 15.951973 1.590069 0.000000 0.041555 18.292664 
500.00 1203.15 100.247175 51.628000 3.567770 0.049497 4.487143 7.394134 16.190145 1.550852 0.000000 0.049977 18.338482 
500.00 1193.15 100.233786 51.564730 3.227361 0.088802 4.591660 7.346162 16.393770 1.511333 0.000000 0.057338 18.348305 
500.00 1183.15 100.220795 51.476758 2.925826 0.121433 4.698687 7.298892 16.568655 1.471713 0.000000 0.063804 18.327749 
500.00 1173.15 100.208207 51.367791 2.656642 0.148545 4.807284 7.252822 16.719475 1.432052 0.000000 0.069514 18.281458 
500.00 1163.15 100.195463 51.249431 2.392350 0.172230 4.923686 7.208026 16.862687 1.380599 0.008751 0.075065 18.226036 
500.00 1153.15 100.179734 51.160064 2.031264 0.197390 5.079319 7.162550 17.057713 1.265969 0.064157 0.082591 18.219112 
500.00 1143.15 100.164033 51.049981 1.699747 0.217623 5.233801 7.117971 17.232994 1.157754 0.114074 0.089303 18.186715 
500.00 1133.15 100.148422 50.921859 1.392947 0.233890 5.385981 7.074461 17.392415 1.055633 0.159076 0.095347 18.132109 
500.00 1123.15 100.132953 50.777973 1.106638 0.246956 5.535040 7.032140 17.539304 0.959287 0.199663 0.100851 18.058093 
