Title: Hr

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 0.082756 -7.72058e-011 1.30636e-011 4.37076e-011 -7.96689e-011 1.92772e-009 2.97395e-013 0 -1.29631e-010 1.55903e-012 -9.87336e-014 1.74805e-012 100
500.00 1513.15 0.078497 -5.3113e-013 0 -1.12664e-012 0 0 0 0 7.74575e-013 0 0 0 100
500.00 1503.15 0.074157 1.82719e-012 0 -1.55034e-012 0 0 0 0 -6.55921e-013 0 0 0 100
500.00 1493.15 0.069736 -3.43767e-012 0 1.90227e-012 0 0 0 0 2.09252e-013 0 0 0 100
500.00 1483.15 0.065231 -1.75764e-012 0 1.49133e-012 0 0 0 0 1.19308e-012 0 0 0 100
500.00 1473.15 0.060640 1.20317e-012 0 7.29197e-013 0 0 0 0 2.80744e-013 0 0 0 100
500.00 1463.15 0.055961 -1.04301e-011 0 3.16065e-013 0 0 0 0 1.17341e-012 0 0 0 100
500.00 1453.15 0.051193 1.05874e-011 0 -3.45509e-013 0 0 0 0 -5.22588e-013 0 0 0 100
500.00 1443.15 0.046331 1.21482e-011 0 -1.52705e-012 0 0 0 0 1.46981e-012 0 0 0 100
500.00 1433.15 0.041375 -2.26726e-012 0 -2.35123e-012 0 0 0 0 -9.99285e-013 0 0 0 100
500.00 1423.15 0.036321 -5.16547e-012 0 3.89585e-012 0 0 0 0 1.07137e-012 0 0 0 100
500.00 1413.15 0.031167 1.57179e-011 0 3.6888e-012 0 0 0 0 -2.26297e-012 0 0 0 100
500.00 1403.15 0.688609 37.7736 0 7.70573e-014 0 16.1474 0.278892 41.173 0.399433 0 0 0 4.22769
500.00 1393.15 1.494286 38.6079 0 -5.91837e-015 0 17.0886 0.293113 41.744 0.416377 0 0 0 1.85005
500.00 1383.15 6.648201 46.2568 0.690245 4.05228 2.1168 8.21447 0.0754573 20.965 16.1151 0.114926 0 0 1.39891
500.00 1373.15 11.492956 46.7134 0.897916 4.85964 2.53362 7.43811 0.0507995 18.1607 17.8672 0.138807 0 0 1.33973
500.00 1363.15 17.467184 46.3542 0.956145 7.51734 2.49607 7.10917 0.047826 15.9976 17.8412 0.281869 0.00270664 0 1.39589
