Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 100.113552 0.9991733741406405 0.971292 287.962856 -1192050.852796 40.844380 -2836.254791 5724.768126 151.798370 -7.007 0.000 2.521456 0.070579 1.601 0.999822 0.000
500.00 1513.15 100.114185 0.9992159300340218 0.972898 286.963219 -1193579.537189 40.735593 -2700.835677 5683.128026 151.795165 -7.116 0.000 2.524142 0.071100 1.637 0.999819 0.000
500.00 1503.15 100.114857 0.9992592811824576 0.974517 285.957000 -1195108.820568 40.626675 -2564.804341 5640.476458 151.792139 -7.225 0.000 2.526829 0.071630 1.674 0.999816 0.000
500.00 1493.15 100.115569 0.9993034474006552 0.976152 284.944109 -1196638.726830 40.517630 -2428.151146 5596.780813 151.789297 -7.336 0.000 2.529518 0.072169 1.711 0.999812 0.000
500.00 1483.15 100.116323 0.9993484490918282 0.977801 283.924453 -1198169.280860 40.408460 -2290.866368 5552.006941 151.786644 -7.449 0.000 2.532207 0.072718 1.749 0.999809 0.000
500.00 1473.15 100.117119 0.9993943073991183 0.979465 282.913415 -1199677.653762 40.299168 -2152.939849 5506.118941 148.445040 -7.563 0.000 2.534897 0.073277 1.787 0.999805 0.000
500.00 1463.15 100.117960 0.9994410443779482 0.981144 281.902717 -1201176.143123 40.189758 -2014.360609 5459.078920 148.434163 -7.679 0.000 2.537587 0.073846 1.826 0.999801 0.000
500.00 1453.15 100.118846 0.9994886823540380 0.982838 280.885184 -1202675.267656 40.080234 -1875.118640 5410.847496 148.422928 -7.796 0.000 2.540279 0.074425 1.865 0.999796 0.000
500.00 1443.15 100.119780 0.9995372442812787 0.984548 279.860720 -1204175.050548 39.970601 -1735.203995 5361.383381 148.411332 -7.915 0.000 2.542970 0.075015 1.905 0.999792 0.000
500.00 1433.15 100.120762 0.9995867537864125 0.986273 278.829231 -1205675.516116 39.860862 -1594.606732 5310.643242 148.399368 -8.035 0.000 2.545662 0.075616 1.945 0.999787 0.000
500.00 1423.15 100.121795 0.9996372351850094 0.988014 277.790618 -1207176.689867 39.751025 -1453.316946 5258.581573 148.387032 -8.157 0.000 2.548354 0.076229 1.986 0.999783 0.000
500.00 1413.15 100.122879 0.9996887134976966 0.989770 276.744781 -1208678.598562 39.641094 -1311.324791 5205.150569 148.374319 -8.281 0.000 2.551046 0.076854 2.027 0.999778 0.000
500.00 1403.15 100.122152 0.9931223075972367 0.985450 275.505099 -1210411.804726 39.552364 -1250.268647 5166.346376 148.014714 -8.407 0.000 2.551091 1.196562 2.089 0.999784 0.000
500.00 1393.15 100.120887 0.9850751870855602 0.979808 274.220289 -1212186.701618 39.467536 -1204.839751 5129.633675 147.579195 -8.535 0.000 2.550428 1.875076 2.157 0.999795 0.000
500.00 1383.15 100.123027 0.9335996793924446 0.920175 271.743368 -1215661.741706 39.883609 -2842.460631 5672.992523 145.638981 -8.664 0.000 2.547004 2.088205 2.237 0.999773 0.000
500.00 1373.15 100.126022 0.8852150966043026 0.865922 269.366493 -1218988.799533 40.258527 -4346.201878 6181.089617 143.810182 -8.795 0.000 2.542490 2.129195 2.323 0.99977 0.000
500.00 1363.15 100.127568 0.8255507013409982 0.795392 266.780460 -1222552.462538 40.944602 -6543.671852 6952.455692 141.693675 -8.929 0.000 2.538162 2.084991 2.416 0.99977 0.000
500.00 1353.15 100.124173 0.7422256998811121 0.693242 263.741038 -1226623.318956 42.272659 -10202.135046 8281.399510 138.987385 -9.064 0.000 2.535890 1.990322 2.512 0.999755 0.000
500.00 1343.15 100.250409 0.5903631340047458 0.540102 259.123181 -1235006.155946 44.360959 -15782.328192 10240.281219 134.174528 -9.201 0.000 2.470181 2.012902 2.943 0.999854 0.000
500.00 1333.15 100.281318 0.5074610001846969 0.455898 256.200236 -1239442.029066 45.683752 -19352.945951 11602.952711 131.696255 -9.340 0.000 2.443395 1.987093 3.184 0.999896 0.000
500.00 1323.15 100.320830 0.4039157770684661 0.353193 253.021176 -1244332.963950 47.397730 -24195.223357 13523.328536 129.211142 -9.481 0.000 2.420538 1.950593 3.357 0.999927 0.000
500.00 1313.15 100.332563 0.3371321376544428 0.290028 250.580163 -1247749.598213 48.543778 -27372.088098 14855.131983 127.518562 -9.625 0.000 2.402532 1.929718 3.540 0.99997 0.000
500.00 1303.15 100.334078 0.2864492213145413 0.243580 248.483557 -1250518.063271 49.415824 -29806.177350 15937.172314 126.221586 -9.771 0.000 2.387749 1.915333 3.721 1.00001 0.000
500.00 1293.15 100.331554 0.2449317649774555 0.206424 246.596356 -1252925.526441 50.108738 -31792.938080 16876.300521 125.179958 -9.919 0.000 2.375790 1.905118 3.889 1.00006 0.000
500.00 1283.15 100.326214 0.2109834671515865 0.176637 244.876349 -1255051.347295 50.643568 -33385.901506 17691.450570 124.518995 -10.069 0.000 2.366225 1.898388 4.045 1.00009 0.000
500.00 1273.15 100.318975 0.1832865368788643 0.152729 243.291232 -1256955.720680 51.041611 -34637.850798 18387.072648 123.848407 -10.221 0.000 2.358668 1.894551 4.190 1.00012 0.000
