Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.110556 99.842480 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.268077 
500.00 1513.15 100.111211 99.847477 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.263734 
500.00 1503.15 100.111905 99.852596 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.259309 
500.00 1493.15 100.112642 99.857840 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.254801 
500.00 1483.15 100.113421 99.863213 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.250207 
500.00 1473.15 100.114245 99.868719 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.245526 
500.00 1463.15 100.115114 99.874360 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.240754 
500.00 1453.15 100.116030 99.880140 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.235890 
500.00 1443.15 100.116996 99.886064 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.230931 
500.00 1433.15 100.118011 99.892136 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.225875 
500.00 1423.15 100.119079 99.898360 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.220719 
500.00 1413.15 100.120200 99.904739 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.215461 
500.00 1403.15 100.119474 99.215813 0.690437 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.213223 
500.00 1393.15 100.118326 98.415288 1.491697 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.211341 
500.00 1383.15 100.121075 93.555263 1.715381 0.000000 4.579886 0.000000 0.000000 0.000000 0.000000 0.270544 
500.00 1373.15 100.125289 88.465234 1.906222 0.000000 9.420595 0.000000 0.000000 0.000000 0.000000 0.333238 
500.00 1363.15 100.123215 78.978743 3.222431 0.000000 12.784704 4.636870 0.000000 0.000000 0.000000 0.500468 
500.00 1353.15 100.120306 70.641216 4.519287 0.000000 15.445162 8.864806 0.000000 0.000000 0.000000 0.649836 
500.00 1343.15 100.294477 52.611348 4.294379 0.000000 20.896065 15.791109 5.782328 0.000000 0.000000 0.919248 
500.00 1333.15 100.319922 44.747585 4.740375 0.000000 22.742106 20.156447 6.864436 0.000000 0.000000 1.068972 
500.00 1323.15 100.334987 38.117885 5.048369 0.000000 24.185437 24.139657 7.639754 0.000000 0.000000 1.203885 
500.00 1313.15 100.357296 30.255538 3.076684 3.805921 24.808385 28.589563 8.448857 0.000000 0.000000 1.372348 
500.00 1303.15 100.370085 24.125917 1.665909 6.768798 25.015313 32.315197 8.969807 0.000000 0.000000 1.509145 
500.00 1293.15 100.373380 19.602552 1.038168 8.466822 25.097821 35.304505 9.249634 0.000000 0.000000 1.613877 
500.00 1283.15 100.370597 16.123585 0.820770 9.504815 25.108589 37.739909 9.376091 0.000000 0.000000 1.696840 
500.00 1273.15 100.363378 13.282040 0.809339 10.234087 25.066578 39.777619 9.397725 0.000000 0.030520 1.765472 
500.00 1263.15 100.352771 10.896776 0.900014 10.825575 24.979276 41.493593 9.341364 0.000000 0.092962 1.823211 
500.00 1253.15 100.340671 8.981663 1.018340 11.349380 24.857968 42.882615 9.237776 0.000000 0.142886 1.870043 
500.00 1243.15 100.327906 7.428180 1.132952 11.848719 24.710930 44.009656 9.105769 0.000000 0.183487 1.908213 
500.00 1233.15 100.315010 6.153790 1.232141 12.338499 24.546023 44.930229 8.957819 0.000000 0.216967 1.939541 
500.00 1223.15 100.302305 5.094869 1.313123 12.822072 24.370116 45.689802 8.801902 0.000000 0.244922 1.965499 
500.00 1213.15 100.289970 4.202584 1.376795 13.298862 24.188776 46.324282 8.642876 0.000000 0.268545 1.987250 
500.00 1203.15 100.278091 3.439626 1.425332 13.767520 24.006279 46.861393 8.483493 0.000000 0.288745 2.005704 
500.00 1193.15 100.266695 2.777473 1.461158 14.227062 23.825801 47.322318 8.325100 0.000000 0.306222 2.021561 
500.00 1183.15 100.255771 2.194196 1.486534 14.677187 23.649655 47.723195 8.168106 0.000000 0.321528 2.035369 
500.00 1173.15 100.245284 1.672771 1.503432 15.118289 23.479521 48.076335 8.012283 0.000000 0.335102 2.047552 
500.00 1163.15 100.235187 1.199821 1.513514 15.551382 23.316632 48.391149 7.856940 0.000000 0.347302 2.058447 
500.00 1153.15 100.225423 0.764683 1.518165 15.978024 23.161935 48.674842 7.701031 0.000000 0.358423 2.068321 
500.00 1143.15 100.215720 0.149279 1.528212 16.457239 22.998547 49.106317 7.337504 0.182604 0.374007 2.082011 
500.00 1133.15 100.214948 0.000000 1.524457 16.640524 22.890001 49.209684 7.214752 0.272491 0.377752 2.085286 
