Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.110556 43.181302 39.383030 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.798272 
500.00 1513.15 100.111211 43.051927 39.342577 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.709350 
500.00 1503.15 100.111905 42.922370 39.302240 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.620130 
500.00 1493.15 100.112642 42.792633 39.262023 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.530610 
500.00 1483.15 100.113421 42.662716 39.221927 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.440789 
500.00 1473.15 100.114245 42.532622 39.181957 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.350665 
500.00 1463.15 100.115114 42.402352 39.142115 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.260237 
500.00 1453.15 100.116030 42.271908 39.102405 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.169503 
500.00 1443.15 100.116996 42.141293 39.062829 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.078465 
500.00 1433.15 100.118011 42.010511 39.023390 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.987120 
500.00 1423.15 100.119079 41.879564 38.984093 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.895471 
500.00 1413.15 100.120200 41.748457 38.944940 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.803517 
500.00 1403.15 100.119474 41.637000 38.676041 0.209363 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.751596 
500.00 1393.15 100.118326 41.527663 38.371913 0.451125 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.704624 
500.00 1383.15 100.121075 41.874789 36.521203 0.516478 0.000000 1.403947 0.000000 0.000000 0.000000 0.000000 3.433160 
500.00 1373.15 100.125289 42.239641 34.597721 0.571115 0.000000 2.878072 0.000000 0.000000 0.000000 0.000000 4.192733 
500.00 1363.15 100.123215 43.712230 30.893591 0.958513 0.000000 3.892078 1.725492 0.000000 0.000000 0.000000 6.242557 
500.00 1353.15 100.120306 45.002202 27.645857 1.333960 0.000000 4.684709 3.302681 0.000000 0.000000 0.000000 8.034996 
500.00 1343.15 100.294477 47.437524 21.364998 1.268565 0.000000 6.374469 5.900871 1.262792 0.000000 0.000000 11.265830 
500.00 1333.15 100.319922 48.718128 18.364667 1.394908 0.000000 6.936014 7.546915 1.491993 0.000000 0.000000 12.983631 
500.00 1323.15 100.334987 49.837285 15.784103 1.479996 0.000000 7.373859 9.055787 1.653721 0.000000 0.000000 14.489819 
500.00 1313.15 100.357296 51.171942 12.624241 0.898290 1.152492 7.561285 10.747593 1.822208 0.000000 0.000000 16.365834 
500.00 1303.15 100.370085 52.204841 10.124917 0.483977 2.046925 7.621252 12.170227 1.927744 0.000000 0.000000 17.829799 
500.00 1293.15 100.373380 52.944882 8.262087 0.299882 2.556478 7.642547 13.315341 1.981167 0.000000 0.000000 18.887380 
500.00 1283.15 100.370597 53.479909 6.817702 0.235606 2.865070 7.641402 14.249794 2.001900 0.000000 0.000000 19.668434 
500.00 1273.15 100.363378 53.873800 5.632073 0.230762 3.079289 7.623629 15.031963 2.000600 0.000000 0.009966 20.265518 
500.00 1263.15 100.352771 54.157341 4.633908 0.254795 3.250941 7.591591 15.690189 1.983184 0.000000 0.030355 20.722377 
500.00 1253.15 100.340671 54.333732 3.829072 0.286295 3.401613 7.549169 16.222069 1.956424 0.000000 0.046657 21.042434 
500.00 1243.15 100.327906 54.424753 3.173883 0.316402 3.544464 7.499021 16.652514 1.924288 0.000000 0.059915 21.254268 
500.00 1233.15 100.315010 54.448299 2.634707 0.341943 3.684065 7.443620 17.002956 1.889348 0.000000 0.070847 21.380813 
500.00 1223.15 100.302305 54.418792 2.185384 0.362268 3.821480 7.385090 17.291018 1.853211 0.000000 0.079975 21.440367 
500.00 1213.15 100.289970 54.347554 1.805712 0.377733 3.956572 7.325124 17.530646 1.816824 0.000000 0.087689 21.447254 
500.00 1203.15 100.278091 54.243310 1.480189 0.389021 4.088963 7.265002 17.732619 1.780699 0.000000 0.094285 21.412533 
500.00 1193.15 100.266695 54.112728 1.196932 0.396852 4.218368 7.205657 17.905177 1.745064 0.000000 0.099992 21.344686 
500.00 1183.15 100.255771 53.960890 0.946783 0.401884 4.344703 7.147748 18.054597 1.709959 0.000000 0.104990 21.250227 
500.00 1173.15 100.245284 53.791684 0.722622 0.404675 4.468077 7.091738 18.185670 1.675298 0.000000 0.109422 21.134181 
500.00 1163.15 100.235187 53.608091 0.518845 0.405692 4.588779 7.037949 18.302056 1.640906 0.000000 0.113406 21.000457 
500.00 1153.15 100.225423 53.412410 0.330977 0.405315 4.707250 6.986611 18.406560 1.606541 0.000000 0.117037 20.852120 
500.00 1143.15 100.215720 53.238268 0.064679 0.406320 4.839026 6.934197 18.567377 1.527448 0.039485 0.122126 20.737610 
500.00 1133.15 100.214948 52.993373 0.000000 0.404680 4.888393 6.900759 18.602470 1.499419 0.058886 0.123349 20.515416 
