Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.101379 49.722 1.43678 15.4313 2.5266 10.0472 0.197041 7.20398 10.7199 2.20609 0.348313 0.160752 0
500.00 1513.15 98.102030 49.7217 1.43677 15.4312 2.53321 10.0412 0.19704 7.20393 10.7199 2.20607 0.348311 0.160751 0
500.00 1503.15 98.102721 49.7214 1.43676 15.4311 2.54022 10.0348 0.197038 7.20388 10.7198 2.20606 0.348308 0.16075 0
500.00 1493.15 98.103454 49.721 1.43675 15.431 2.54765 10.028 0.197037 7.20382 10.7197 2.20604 0.348306 0.160749 0
500.00 1483.15 98.104229 49.7206 1.43674 15.4308 2.55552 10.0208 0.197035 7.20377 10.7196 2.20602 0.348303 0.160747 0
500.00 1473.15 96.039684 49.7367 1.46762 15.0585 2.61184 10.235 0.201271 7.35862 10.6149 2.19669 0.354641 0.164203 0
500.00 1463.15 92.416277 49.7513 1.52516 14.3758 2.70954 10.6405 0.209162 7.64714 10.4324 2.17221 0.366148 0.170641 0
500.00 1453.15 86.891416 49.6907 1.62102 13.6264 2.84807 11.1925 0.222418 7.7641 10.3106 2.15688 0.385773 0.181491 0
500.00 1443.15 72.988817 49.3841 1.91118 12.8534 3.11648 12.3098 0.264789 7.13123 10.1207 2.24202 0.45017 0.21606 0
500.00 1433.15 63.103256 49.0834 2.18553 12.27 3.34566 13.4002 0.306271 6.58363 9.7457 2.31783 0.511864 0.249908 0
500.00 1423.15 55.546668 48.7563 2.4587 11.6929 3.56207 14.4553 0.347936 6.08772 9.41254 2.37092 0.571759 0.283905 0
500.00 1413.15 49.563134 48.4022 2.7321 11.1196 3.7683 15.4841 0.38994 5.6356 9.11654 2.40349 0.629907 0.31818 0
500.00 1403.15 44.690803 48.02 3.00715 10.5483 3.9664 16.494 0.432453 5.22102 8.85426 2.41716 0.686291 0.352869 0
500.00 1393.15 40.631297 47.6081 3.2853 9.97728 4.15804 17.4915 0.47566 4.83891 8.62323 2.41306 0.740808 0.388124 0
500.00 1383.15 37.182793 47.1638 3.56817 9.40469 4.34465 18.4827 0.519775 4.48504 8.42178 2.39197 0.793245 0.424121 0
500.00 1373.15 34.203169 46.6839 3.85763 8.8285 4.52755 19.4738 0.565055 4.15586 8.24906 2.35428 0.843228 0.461068 0
500.00 1363.15 31.588314 46.1633 4.156 8.246 4.70805 20.4721 0.61183 3.84835 8.10508 2.29994 0.890134 0.499235 0
500.00 1353.15 29.258258 45.5941 4.46649 7.65303 4.88765 21.4871 0.660554 3.55994 7.99103 2.22821 0.932894 0.538993 0
500.00 1343.15 27.146697 44.9631 4.794 7.04218 5.06842 22.534 0.711935 3.28859 7.91019 2.13717 0.96954 0.580918 0
500.00 1333.15 15.256010 64.2151 1.87716 9.7217 1.9406 5.79514 1.26682 1.23395 7.62727 3.5714 1.71712 1.03369 0
500.00 1323.15 14.433778 65.3979 1.80992 9.42526 1.78754 5.22574 1.33899 1.08352 7.44617 3.58958 1.80281 1.09258 0
