Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 
500.00 1523.15 98.101379 98.101379 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.102030 98.102030 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.102721 98.102721 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.103454 98.103454 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.104229 98.104229 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.104362 96.039684 0.000000 0.000000 0.000000 0.000000 2.064678 0.000000 
500.00 1463.15 96.040249 92.416277 0.000000 0.000000 0.000000 0.000000 3.623971 0.000000 
500.00 1453.15 92.415560 86.891416 0.008165 1.103815 0.000000 0.000000 4.412164 0.000000 
500.00 1443.15 86.886573 72.988817 0.000000 0.000000 6.107040 0.765199 7.025517 0.000000 
500.00 1433.15 72.986366 63.103256 0.000000 0.000000 3.032601 2.209589 4.640919 0.000000 
500.00 1423.15 63.101702 55.546668 0.000000 0.000000 2.341968 1.618409 3.594658 0.000000 
500.00 1413.15 55.545751 49.563134 0.000000 0.000000 1.868880 1.228910 2.884827 0.000000 
500.00 1403.15 49.562685 44.690803 0.000000 0.000000 1.530581 0.960419 2.380882 0.000000 
500.00 1393.15 44.690705 40.631297 0.000000 0.000000 1.280699 0.768480 2.010229 0.000000 
500.00 1383.15 40.631465 37.182793 0.000000 0.000000 1.091581 0.627041 1.730050 0.000000 
500.00 1373.15 37.183160 34.203169 0.000000 0.000000 0.945938 0.520030 1.514023 0.000000 
500.00 1363.15 34.203679 31.588314 0.000000 0.000000 0.832598 0.437066 1.345702 0.000000 
500.00 1353.15 31.588913 29.258258 0.000000 0.000000 0.744282 0.371082 1.215290 0.000000 
500.00 1343.15 29.258884 27.146697 0.000000 0.000000 0.676547 0.316848 1.118793 0.000000 
500.00 1333.15 27.358089 15.256010 0.000000 0.000000 4.611458 0.000000 0.312854 7.177768 
500.00 1323.15 15.262954 14.433778 0.000000 0.000000 0.255262 0.000000 0.408761 0.165152 
