Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 
500.00 1523.15 98.101379 36.218228 36.218228 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.102030 36.195045 36.195045 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.102721 36.171894 36.171894 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.103454 36.148777 36.148777 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.104229 36.125694 36.125694 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.104362 36.067766 35.293011 0.000000 0.000000 0.000000 0.000000 0.774755 0.000000 
500.00 1463.15 96.040249 35.208894 33.847682 0.000000 0.000000 0.000000 0.000000 1.361212 0.000000 
500.00 1453.15 92.415560 33.694350 31.691941 0.002470 0.340866 0.000000 0.000000 1.659072 0.000000 
500.00 1443.15 86.886573 31.211766 26.456396 0.000000 0.000000 1.873522 0.235736 2.646111 0.000000 
500.00 1433.15 72.986366 26.096560 22.740307 0.000000 0.000000 0.926508 0.678566 1.751180 0.000000 
500.00 1423.15 63.101702 22.464492 19.897582 0.000000 0.000000 0.712561 0.495455 1.358893 0.000000 
500.00 1413.15 55.545751 19.678595 17.644719 0.000000 0.000000 0.566260 0.375033 1.092583 0.000000 
500.00 1403.15 49.562685 17.465921 15.808537 0.000000 0.000000 0.461802 0.292167 0.903415 0.000000 
500.00 1393.15 44.690705 15.659163 14.277167 0.000000 0.000000 0.384744 0.233027 0.764224 0.000000 
500.00 1383.15 40.631465 14.149928 12.974946 0.000000 0.000000 0.326481 0.189516 0.658984 0.000000 
500.00 1373.15 37.183160 12.864706 11.848579 0.000000 0.000000 0.281631 0.156648 0.577848 0.000000 
500.00 1363.15 34.203679 11.751580 10.858983 0.000000 0.000000 0.246718 0.131205 0.514674 0.000000 
500.00 1353.15 31.588913 10.772355 9.976052 0.000000 0.000000 0.219469 0.111006 0.465828 0.000000 
500.00 1343.15 29.258884 9.897449 9.174636 0.000000 0.000000 0.198479 0.094440 0.429894 0.000000 
500.00 1333.15 27.358089 9.025130 6.019428 0.000000 0.000000 1.381500 0.000000 0.119825 1.504377 
500.00 1323.15 15.262954 5.997859 5.730197 0.000000 0.000000 0.076369 0.000000 0.156738 0.034555 
