Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 100.115188 49.2754 1.35641 14.6636 2.46535 9.78672 0.188717 6.99696 10.6332 2.13197 0.328542 0.155662 2.01739
500.00 1513.15 100.115833 49.2751 1.3564 14.6635 2.47176 9.78088 0.188716 6.99691 10.6332 2.13196 0.32854 0.155661 2.01738
500.00 1503.15 100.116518 49.2747 1.35639 14.6634 2.47857 9.77467 0.188715 6.99686 10.6331 2.13194 0.328538 0.15566 2.01737
500.00 1493.15 100.117244 49.2744 1.35639 14.6633 2.48579 9.76809 0.188714 6.99681 10.633 2.13193 0.328536 0.155658 2.01735
500.00 1483.15 100.118012 49.274 1.35637 14.6632 2.49342 9.76112 0.188712 6.99676 10.6329 2.13191 0.328533 0.155657 2.01734
500.00 1473.15 100.118823 49.2736 1.35636 14.6631 2.50149 9.75376 0.188711 6.9967 10.6329 2.13189 0.32853 0.155656 2.01732
500.00 1463.15 100.119680 49.2732 1.35635 14.663 2.51001 9.74599 0.188709 6.99664 10.6328 2.13188 0.328528 0.155655 2.0173
500.00 1453.15 100.120583 49.2727 1.35634 14.6628 2.519 9.73781 0.188707 6.99658 10.6327 2.13186 0.328525 0.155653 2.01729
500.00 1443.15 100.121534 49.2723 1.35633 14.6627 2.52845 9.72918 0.188705 6.99651 10.6326 2.13184 0.328521 0.155652 2.01727
500.00 1433.15 100.122535 49.2718 1.35631 14.6626 2.53841 9.72011 0.188704 6.99644 10.6325 2.13182 0.328518 0.15565 2.01725
500.00 1423.15 100.123587 49.2713 1.3563 14.6624 2.54887 9.71057 0.188702 6.99637 10.6324 2.13179 0.328515 0.155649 2.01723
500.00 1413.15 100.124692 49.2707 1.35628 14.6622 2.55985 9.70055 0.188699 6.99629 10.6322 2.13177 0.328511 0.155647 2.0172
