Title: Hr

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 0.183977 -1.71094e-011 6.02694e-012 1.86751e-011 -3.62884e-011 8.94223e-010 1.17052e-013 0 -5.67639e-011 7.01281e-013 -4.44123e-014 7.86309e-013 100
500.00 1513.15 0.179872 -7.53306e-013 0 7.37502e-014 0 0 0 0 1.75774e-013 0 0 0 100
500.00 1503.15 0.175691 -3.20358e-012 0 -1.76179e-013 0 0 0 0 -2.49171e-013 0 0 0 100
500.00 1493.15 0.171431 -2.55358e-012 0 -3.86907e-013 0 0 0 0 1.13494e-013 0 0 0 100
500.00 1483.15 0.167092 -5.61407e-013 0 -5.55736e-013 0 0 0 0 3.9299e-013 0 0 0 100
500.00 1473.15 0.162671 1.53777e-012 0 -7.33938e-013 0 0 0 0 -2.54163e-013 0 0 0 100
500.00 1463.15 0.158165 6.58991e-012 0 8.10759e-013 0 0 0 0 1.3839e-013 0 0 0 100
500.00 1453.15 0.153574 3.39347e-013 0 6.62241e-013 0 0 0 0 4.43419e-013 0 0 0 100
500.00 1443.15 0.148894 1.96007e-012 0 3.86075e-013 0 0 0 0 -4.90024e-014 0 0 0 100
500.00 1433.15 0.144124 5.78557e-013 0 1.53405e-013 0 0 0 0 3.8812e-013 0 0 0 100
500.00 1423.15 0.139260 3.89195e-012 0 -9.52575e-014 0 0 0 0 -2.61961e-013 0 0 0 100
500.00 1413.15 0.134302 -8.53693e-013 0 -2.96323e-013 0 0 0 0 7.24355e-014 0 0 0 100
