Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.115114 99.892483 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.222631 
500.00 1513.15 100.115771 99.897347 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.218424 
500.00 1503.15 100.116469 99.902330 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.214139 
500.00 1493.15 100.117208 99.907436 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.209773 
500.00 1483.15 100.117991 99.912666 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.205324 
500.00 1473.15 100.118818 99.918026 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.200792 
500.00 1463.15 100.119691 99.923519 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.196172 
500.00 1453.15 100.120611 99.929148 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.191463 
500.00 1443.15 100.121581 99.934917 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.186664 
500.00 1433.15 100.122601 99.940830 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.181771 
500.00 1423.15 100.123673 99.946891 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.176782 
500.00 1413.15 100.124160 99.717072 0.234281 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.172808 
500.00 1403.15 99.889713 98.890714 0.827487 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.171512 
500.00 1393.15 99.062080 98.089798 0.802364 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.169919 
500.00 1383.15 98.259588 97.312945 0.778607 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.168037 
500.00 1373.15 97.486600 90.671437 0.000000 0.000000 6.561054 0.000000 0.000000 0.000000 0.000000 0.000000 0.254109 
500.00 1363.15 90.925738 82.760297 0.762493 0.000000 3.517393 3.493965 0.000000 0.000000 0.000000 0.000000 0.391590 
500.00 1353.15 83.151770 75.196303 1.063102 0.000000 2.410175 3.953625 0.000000 0.000000 0.000000 0.000000 0.528565 
500.00 1343.15 75.897674 58.737856 0.301793 0.000000 5.556570 5.351023 0.000000 5.195201 0.000000 0.000000 0.755230 
500.00 1333.15 59.532800 52.193957 0.411172 0.000000 1.806452 3.082174 0.000000 1.171998 0.000000 0.000000 0.867047 
500.00 1323.15 53.091466 46.184919 0.000000 1.001170 0.820912 3.202395 0.000000 0.904183 0.000000 0.000000 0.977888 
500.00 1313.15 47.185537 41.389554 0.000000 0.896169 0.407040 2.754269 0.000000 0.668467 0.000000 0.000000 1.070037 
500.00 1303.15 42.477466 37.585751 0.000000 0.690430 0.258720 2.287669 0.000000 0.509547 0.000000 0.000000 1.145348 
500.00 1293.15 38.745678 34.480937 0.000000 0.543991 0.170445 1.942305 0.000000 0.399529 0.000000 0.000000 1.208472 
500.00 1283.15 35.701655 31.890951 0.000000 0.435414 0.117133 1.675667 0.000000 0.320110 0.000000 0.000000 1.262381 
500.00 1273.15 33.163874 29.693830 0.000000 0.352386 0.084857 1.462876 0.000000 0.260849 0.000000 0.000000 1.309076 
500.00 1263.15 31.012170 27.805476 0.000000 0.287338 0.065567 1.288394 0.000000 0.215441 0.000000 0.000000 1.349954 
500.00 1253.15 29.163716 26.165484 0.000000 0.235487 0.054320 1.142478 0.000000 0.179911 0.000000 0.000000 1.386036 
500.00 1243.15 27.559046 24.728981 0.000000 0.193628 0.048030 1.018669 0.000000 0.151641 0.000000 0.000000 1.418097 
500.00 1233.15 26.154003 23.461673 0.000000 0.159516 0.044749 0.912487 0.000000 0.128837 0.000000 0.000000 1.446741 
500.00 1223.15 24.914860 22.336725 0.000000 0.131518 0.043241 0.820690 0.000000 0.110235 0.000000 0.000000 1.472450 
500.00 1213.15 23.815234 21.332728 0.000000 0.108409 0.042728 0.740835 0.000000 0.094915 0.000000 0.000000 1.495620 
500.00 1203.15 22.834093 20.432336 0.000000 0.089247 0.042725 0.671016 0.000000 0.082192 0.000000 0.000000 1.516577 
500.00 1193.15 21.954401 19.621316 0.000000 0.073294 0.042935 0.609710 0.000000 0.071550 0.000000 0.000000 1.535596 
500.00 1183.15 21.162188 18.887868 0.000000 0.059967 0.043183 0.555671 0.000000 0.062590 0.000000 0.000000 1.552910 
500.00 1173.15 20.445877 18.222119 0.000000 0.048799 0.043370 0.507870 0.000000 0.055004 0.000000 0.000000 1.568715 
500.00 1163.15 19.795760 17.597867 0.000000 0.042420 0.040794 0.467930 0.000000 0.048638 0.000000 0.014759 1.583351 
500.00 1153.15 19.187027 17.030225 0.000000 0.033739 0.041220 0.429232 0.000000 0.043042 0.000000 0.012820 1.596749 
500.00 1143.15 18.632682 16.511447 0.000000 0.026604 0.041306 0.394932 0.000000 0.038255 0.000000 0.011083 1.609055 
500.00 1133.15 18.126125 16.035996 0.000000 0.020575 0.041244 0.364283 0.000000 0.034136 0.000000 0.009509 1.620383 
500.00 1123.15 17.661930 15.599130 0.000000 0.015467 0.041051 0.336807 0.000000 0.030577 0.000000 0.008065 1.630833 
500.00 1113.15 17.235454 15.196776 0.000000 0.011127 0.040746 0.312099 0.000000 0.027490 0.000000 0.006722 1.640492 
500.00 1103.15 16.842708 14.825419 0.000000 0.007430 0.040349 0.289812 0.000000 0.024806 0.000000 0.005455 1.649437 
500.00 1093.15 16.480252 14.482011 0.000000 0.004273 0.039877 0.269650 0.000000 0.022463 0.000000 0.004243 1.657735 
500.00 1083.15 16.144213 14.125635 0.038644 0.000000 0.020124 0.276754 0.000000 0.000000 0.009993 0.006297 1.666766 
500.00 1073.15 15.796908 13.795330 0.036914 0.000000 0.017329 0.257559 0.000000 0.000000 0.009287 0.005300 1.675188 
500.00 1063.15 15.475070 13.492259 0.032535 0.000000 0.017279 0.237587 0.000000 0.000000 0.008359 0.004117 1.682935 
500.00 1053.15 15.179785 13.213847 0.028692 0.000000 0.017046 0.219605 0.000000 0.000000 0.007555 0.002973 1.690067 
500.00 1043.15 14.908543 12.957847 0.025324 0.000000 0.016664 0.203362 0.000000 0.000000 0.006855 0.001852 1.696638 
500.00 1033.15 14.659148 12.722295 0.022372 0.000000 0.016161 0.188645 0.000000 0.000000 0.006243 0.000735 1.702698 
500.00 1023.15 14.429109 11.490291 0.037364 0.000000 0.036076 0.427958 0.668252 0.000000 0.009017 0.026014 1.734137 
