Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 rhm-oxide_0 
500.00 1523.15 98.020346 36.021034 36.021034 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.021007 35.997142 35.997142 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.021710 35.973283 35.973283 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.022455 35.949458 35.949458 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.022430 35.878737 34.824633 0.000000 0.000000 0.000000 1.054104 0.000000 
500.00 1473.15 95.211093 34.736533 33.285422 0.000000 0.000000 0.000000 1.451111 0.000000 
500.00 1463.15 91.344673 33.201871 31.850117 0.000000 0.000000 0.000000 1.351755 0.000000 
500.00 1453.15 87.741521 31.645870 28.803268 0.507089 0.300249 0.000000 2.035265 0.000000 
500.00 1443.15 79.684165 28.447417 24.978757 0.275383 1.380780 0.000000 1.812497 0.000000 
500.00 1433.15 69.481101 24.644805 21.565823 0.000000 0.855885 0.611879 1.611219 0.000000 
500.00 1423.15 60.431459 21.289922 18.688596 0.000000 0.480748 0.699171 1.421407 0.000000 
500.00 1413.15 52.815302 18.468841 16.388662 0.000000 0.357230 0.554696 1.168253 0.000000 
500.00 1403.15 46.742033 16.208049 14.487854 0.000000 0.271814 0.451610 0.996771 0.000000 
500.00 1393.15 41.738173 14.335024 12.866170 0.000000 0.210638 0.375622 0.882593 0.000000 
500.00 1383.15 37.486069 12.732634 11.431709 0.000000 0.165918 0.318386 0.816621 0.000000 
500.00 1373.15 33.744859 11.309045 10.087096 0.000000 0.134061 0.275376 0.812512 0.000000 
500.00 1363.15 30.264430 9.950794 8.518313 0.000000 0.127772 0.248615 1.056095 0.000000 
500.00 1353.15 26.275812 8.385436 7.030936 0.000000 0.218578 0.124286 1.011636 0.000000 
500.00 1343.15 22.546282 6.968644 6.457931 0.000000 0.170749 0.045383 0.294581 0.000000 
500.00 1333.15 21.074707 6.412758 6.083610 0.000000 0.140772 0.033441 0.154935 0.000000 
500.00 1323.15 20.110782 5.967685 4.919623 0.000000 0.567789 0.000000 0.241529 0.238743 
500.00 1313.15 16.486618 4.867069 4.436504 0.000000 0.255628 0.000000 0.095148 0.079788 
