Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.020346 1.0000000000000000 1.000000 265.359495 -1163199.020779 36.021034 -197.731790 2447.843549 146.371226 -7.007 0.000 2.721197 0.000000 2.026 0 0.000
500.00 1513.15 98.021007 1.0000000000000000 1.000000 264.396622 -1164672.428890 35.997142 -197.882425 2447.991831 146.374622 -7.116 0.000 2.723022 0.000000 2.067 0 0.000
500.00 1503.15 98.021710 1.0000000000000000 1.000000 263.427386 -1166146.502964 35.973283 -198.034328 2448.149238 146.378226 -7.225 0.000 2.724847 0.000000 2.109 0 0.000
500.00 1493.15 98.022455 1.0000000000000000 1.000000 262.451700 -1167621.267577 35.949458 -198.187571 2448.316050 146.382045 -7.336 0.000 2.726674 0.000000 2.151 0 0.000
500.00 1483.15 98.022430 0.9713132386855971 0.970620 260.830674 -1170032.331121 35.878737 -193.047026 2416.048937 145.613754 -7.449 0.000 2.733998 2.667619 2.159 0 0.000
500.00 1473.15 95.211093 0.9593845730391284 0.958225 252.107110 -1133989.182334 34.736533 -184.360101 2347.389141 138.240846 -7.563 0.000 2.744266 2.664881 2.148 0 0.000
500.00 1463.15 91.344673 0.9606075848455077 0.959287 240.913637 -1083211.217557 33.201871 -175.511491 2272.649838 132.630963 -7.679 0.000 2.754978 2.661938 2.135 0 0.000
500.00 1453.15 87.741521 0.9081982743904123 0.910175 229.287417 -1037614.604454 31.645870 -160.888427 2132.165620 125.726330 -7.796 0.000 2.766585 2.833609 2.154 0 0.000
500.00 1443.15 79.684165 0.8719748861858905 0.878068 206.460717 -935150.685595 28.447417 -141.893827 1916.090449 112.657125 -7.915 0.000 2.781667 2.941071 2.165 0 0.000
500.00 1433.15 69.481101 0.8697767931415470 0.875066 179.230709 -805269.608373 24.644805 -123.302714 1690.982727 97.652493 -8.035 0.000 2.802260 2.938650 2.137 0 0.000
500.00 1423.15 60.431459 0.8739893548366332 0.877814 155.210608 -690165.331320 21.289922 -107.077921 1497.987538 84.495449 -8.157 0.000 2.826133 2.927356 2.092 0 0.000
500.00 1413.15 52.815302 0.8850264467509598 0.887368 135.068461 -593426.120406 18.468841 -93.706629 1340.516302 73.540423 -8.281 0.000 2.852151 2.919154 2.037 0 0.000
500.00 1403.15 46.742033 0.8929652293162581 0.893868 118.960761 -516474.045429 16.208049 -82.526494 1213.423725 64.797727 -8.407 0.000 2.880966 2.908404 1.969 0 0.000
500.00 1393.15 41.738173 0.8981477722683252 0.897534 105.654302 -453190.092742 14.335024 -72.847933 1107.599295 57.593576 -8.535 0.000 2.913613 2.894180 1.885 0 0.000
500.00 1383.15 37.486069 0.9002375482395976 0.897828 94.315284 -399478.853230 12.732634 -64.137646 1016.639084 51.471570 -8.664 0.000 2.951997 2.874649 1.778 0 0.000
500.00 1373.15 33.744859 0.8969789741670197 0.891949 84.296136 -352250.813412 11.309045 -55.816536 934.998140 46.075681 -8.795 0.000 3.000708 2.844988 1.633 0 0.000
500.00 1363.15 30.264430 0.8683965926506564 0.856044 74.800375 -308447.754241 9.950794 -46.023112 851.395460 40.947138 -8.929 0.000 3.085297 2.780422 1.362 0 0.000
500.00 1353.15 26.275812 0.8580759139013041 0.838470 64.115778 -257590.192446 8.385436 -36.019985 763.680610 35.292663 -9.064 0.000 3.206776 2.753173 0.999 0 0.000
500.00 1343.15 22.546282 0.9346869178112509 0.926713 54.655937 -209406.736803 6.968644 -31.097037 702.564096 30.433926 -9.201 0.000 3.263230 2.883357 0.872 0 0.000
500.00 1333.15 21.074707 0.9535863455326596 0.948673 50.754426 -191144.735944 6.412758 -28.570039 672.670318 28.418274 -9.340 0.000 3.303393 2.971774 0.799 0 0.000
500.00 1323.15 20.110782 0.8194567664205164 0.824377 47.329329 -180583.623845 5.967685 -22.989921 565.719915 26.105786 -9.481 0.000 3.349833 3.464361 0.736 0 0.000
500.00 1313.15 16.486618 0.9103891306069856 0.911535 38.865893 -142724.772975 4.867069 -19.793297 492.002766 21.690702 -9.625 0.000 3.383123 3.431267 0.695 0 0.000
