Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.115128 1.0000000000000000 1.000000 274.528461 -1166143.778958 37.754775 -372.202188 3675.824829 147.145217 -7.007 0.000 2.598748 0.000000 1.893 0.384388 0.000
500.00 1513.15 98.115771 1.0000000000000000 1.000000 273.560476 -1167624.595267 37.718600 -371.137573 3673.152156 147.145097 -7.116 0.000 2.601257 0.000000 1.933 0.383497 0.000
500.00 1503.15 98.116454 1.0000000000000000 1.000000 272.586118 -1169106.022225 37.682486 -370.075943 3670.422060 147.145174 -7.225 0.000 2.603768 0.000000 1.974 0.382596 0.000
500.00 1493.15 98.117177 1.0000000000000000 1.000000 271.605298 -1170588.083628 37.646434 -369.017371 3667.634812 147.145456 -7.336 0.000 2.606281 0.000000 2.015 0.381687 0.000
500.00 1483.15 98.117943 1.0000000000000000 1.000000 270.617927 -1172070.804278 37.610446 -367.961931 3664.790697 147.145948 -7.449 0.000 2.608795 0.000000 2.056 0.380767 0.000
500.00 1473.15 98.118752 1.0000000000000000 1.000000 269.639931 -1173530.558074 37.574523 -366.909700 3661.890012 143.691047 -7.563 0.000 2.611311 0.000000 2.099 0.379839 0.000
500.00 1463.15 98.119606 1.0000000000000000 1.000000 268.662751 -1174980.070670 37.538667 -365.860759 3658.933065 143.683070 -7.679 0.000 2.613828 0.000000 2.141 0.378901 0.000
500.00 1453.15 98.120505 1.0000000000000000 1.000000 267.678967 -1176430.226708 37.502879 -364.815194 3655.920181 143.674743 -7.796 0.000 2.616346 0.000000 2.185 0.377955 0.000
500.00 1443.15 98.121453 1.0000000000000000 1.000000 266.688488 -1177881.049201 37.467161 -363.773092 3652.851695 143.666065 -7.915 0.000 2.618865 0.000000 2.229 0.376998 0.000
500.00 1433.15 98.122450 1.0000000000000000 1.000000 265.691222 -1179332.562325 37.431514 -362.734545 3649.727960 143.657031 -8.035 0.000 2.621386 0.000000 2.273 0.376033 0.000
500.00 1423.15 98.123498 1.0000000000000000 1.000000 264.687075 -1180784.791481 37.395941 -361.699649 3646.549343 143.647641 -8.157 0.000 2.623908 0.000000 2.319 0.375058 0.000
500.00 1413.15 98.123751 0.9852460560271862 0.988072 263.274541 -1182791.194571 37.293562 -359.118852 3622.256503 143.063898 -8.281 0.000 2.623592 3.254528 2.380 0.38034 0.000
500.00 1403.15 96.678958 0.9539228910902103 0.962558 257.700712 -1167644.179939 36.589102 -352.572738 3540.061642 139.675382 -8.407 0.000 2.618584 3.251671 2.454 0.401817 0.000
500.00 1393.15 92.224066 0.9308865133717108 0.939316 244.883596 -1114520.111385 34.974976 -341.367095 3391.308329 132.264687 -8.535 0.000 2.613194 3.003157 2.511 0.446334 0.000
500.00 1383.15 85.850747 0.9331931646801328 0.941206 227.699443 -1034337.414934 32.640271 -329.780682 3237.660174 122.700747 -8.664 0.000 2.607818 2.988659 2.566 0.493802 0.000
500.00 1373.15 80.116114 0.9378075609289464 0.945451 212.284413 -962150.730459 30.535592 -319.415928 3102.085154 114.162763 -8.795 0.000 2.602484 2.991343 2.621 0.54139 0.000
500.00 1363.15 75.134429 0.9417793771726081 0.949105 198.866371 -899677.950630 28.706010 -310.164131 2983.019799 106.746148 -8.929 0.000 2.597173 2.994128 2.676 0.588987 0.000
500.00 1353.15 70.761110 0.9452133627110730 0.952267 187.064667 -845051.680996 27.099063 -301.822081 2877.337809 100.237394 -9.064 0.000 2.591859 2.997072 2.733 0.63651 0.000
500.00 1343.15 67.040717 0.8233013827263711 0.868258 174.496203 -802331.133725 25.579981 -286.794119 2561.572356 91.651167 -9.201 0.000 2.485128 3.515166 3.277 0.752049 0.000
500.00 1333.15 55.224885 0.9226602380349299 0.939139 146.753329 -685391.461563 22.089488 -276.835204 2360.156588 77.418394 -9.340 0.000 2.456185 3.176975 3.445 0.821537 0.000
500.00 1323.15 50.977727 0.9311399591608309 0.945941 135.743162 -637729.250271 20.644677 -269.378104 2251.561718 71.431555 -9.481 0.000 2.430654 3.145395 3.598 0.888387 0.000
500.00 1313.15 47.486977 0.9378876018496738 0.951335 126.631693 -598246.094285 19.442964 -262.825217 2161.613016 66.491899 -9.625 0.000 2.407851 3.117240 3.738 0.952844 0.000
500.00 1303.15 44.554300 0.9356618451757086 0.938390 118.861446 -564931.926479 18.602867 -689.315397 2260.493479 62.246892 -9.771 0.000 2.388061 2.501067 3.886 1.00001 0.000
500.00 1293.15 41.721142 0.9192148618351411 0.885105 111.273640 -532225.579689 18.261383 -2251.474949 2838.990205 58.020212 -9.919 0.000 2.372711 1.606394 4.081 1.00004 0.000
