Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.091659 48.5773 1.40175 15.5817 2.47422 9.60047 0.19492 7.15127 11.2167 2.28919 0.336114 0.156996 1.01945
500.00 1513.15 98.092293 48.577 1.40174 15.5816 2.48066 9.59459 0.194918 7.15122 11.2166 2.28917 0.336112 0.156995 1.01945
500.00 1503.15 98.092967 48.5767 1.40173 15.5814 2.4875 9.58836 0.194917 7.15118 11.2165 2.28916 0.33611 0.156994 1.01944
500.00 1493.15 98.093681 48.5763 1.40172 15.5813 2.49475 9.58175 0.194916 7.15112 11.2164 2.28914 0.336107 0.156993 1.01943
500.00 1483.15 98.094437 48.5759 1.40171 15.5812 2.50242 9.57476 0.194914 7.15107 11.2163 2.28912 0.336105 0.156992 1.01943
500.00 1473.15 98.095235 48.5755 1.4017 15.5811 2.51052 9.56737 0.194913 7.15101 11.2162 2.2891 0.336102 0.15699 1.01942
500.00 1463.15 98.096077 48.5751 1.40169 15.5809 2.51907 9.55958 0.194911 7.15095 11.2161 2.28908 0.336099 0.156989 1.01941
500.00 1453.15 98.096965 48.5747 1.40167 15.5808 2.52808 9.55136 0.194909 7.15088 11.216 2.28906 0.336096 0.156988 1.0194
500.00 1443.15 98.097900 48.5742 1.40166 15.5807 2.53757 9.54271 0.194907 7.15082 11.2159 2.28904 0.336093 0.156986 1.01939
500.00 1433.15 98.098884 48.5737 1.40165 15.5805 2.54755 9.53361 0.194905 7.15074 11.2158 2.28902 0.336089 0.156984 1.01938
500.00 1423.15 98.099918 48.5732 1.40163 15.5803 2.55805 9.52404 0.194903 7.15067 11.2157 2.28899 0.336086 0.156983 1.01937
500.00 1413.15 98.101409 48.5725 1.40161 15.5801 2.57318 9.51024 0.1949 7.15056 11.2155 2.28896 0.336081 0.15698 1.01935
500.00 1403.15 98.099882 48.5732 1.40163 15.5803 2.55768 9.52437 0.194903 7.15067 11.2157 2.28899 0.336086 0.156983 1.01937
500.00 1393.15 98.098160 48.5741 1.40166 15.5806 2.54021 9.5403 0.194907 7.1508 11.2159 2.28903 0.336092 0.156986 1.01939
500.00 1383.15 98.096532 48.5749 1.40168 15.5809 2.52369 9.55537 0.19491 7.15092 11.2161 2.28907 0.336098 0.156988 1.0194
500.00 1373.15 98.094982 48.5757 1.4017 15.5811 2.50795 9.56971 0.194913 7.15103 11.2163 2.28911 0.336103 0.156991 1.01942
500.00 1363.15 98.093478 48.5764 1.40172 15.5814 2.49269 9.58363 0.194916 7.15114 11.2164 2.28914 0.336108 0.156993 1.01944
500.00 1353.15 98.091965 48.5772 1.40175 15.5816 2.47733 9.59763 0.194919 7.15125 11.2166 2.28918 0.336113 0.156996 1.01945
500.00 1343.15 98.253458 48.4973 1.39944 15.556 4.11379 8.10568 0.194599 7.13949 11.1982 2.28542 0.335561 0.156737 1.01778
500.00 1333.15 98.273583 48.4874 1.39916 15.5528 4.31735 7.9201 0.194559 7.13803 11.1959 2.28495 0.335492 0.156705 1.01757
500.00 1323.15 98.300187 48.4743 1.39878 15.5486 4.58631 7.6749 0.194506 7.1361 11.1929 2.28433 0.335401 0.156663 1.01729
500.00 1313.15 98.322140 48.4634 1.39846 15.5451 4.80814 7.47265 0.194463 7.13451 11.1904 2.28382 0.335326 0.156628 1.01706
500.00 1303.15 98.323368 48.4628 1.39845 15.5449 4.82055 7.46135 0.19446 7.13442 11.1902 2.28379 0.335322 0.156626 1.01705
500.00 1293.15 98.320764 48.4641 1.39848 15.5453 4.79424 7.48533 0.194466 7.13461 11.1905 2.28385 0.335331 0.15663 1.01708
500.00 1283.15 98.315499 48.4667 1.39856 15.5462 4.74105 7.53382 0.194476 7.13499 11.1911 2.28397 0.335349 0.156639 1.01713
