Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 water 
500.00 1523.15 98.119589 98.119589 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.120232 98.120232 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.120915 98.120915 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.121638 98.121638 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.122403 98.122403 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.123212 98.123212 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.124066 98.124066 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.124965 98.124965 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.125913 98.125913 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.126910 98.126910 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.127957 98.127957 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.127139 97.472701 0.654439 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 97.472720 91.913631 0.572795 0.000000 3.395746 1.590548 0.000000 0.000000 
500.00 1393.15 91.914212 85.257152 0.810726 0.000000 2.960949 2.885386 0.000000 0.000000 
500.00 1383.15 85.257927 79.545526 0.713544 0.000000 2.506921 2.491936 0.000000 0.000000 
500.00 1373.15 79.546471 74.585977 0.638418 0.000000 2.143127 2.178949 0.000000 0.000000 
500.00 1363.15 74.587069 70.233857 0.580602 0.000000 1.846287 1.926323 0.000000 0.000000 
500.00 1353.15 70.235072 66.378290 0.536961 0.000000 1.600028 1.719792 0.000000 0.000000 
500.00 1343.15 66.545930 54.248487 0.000000 0.000000 4.483479 2.611890 5.202074 0.000000 
500.00 1333.15 54.277028 50.136134 0.000000 0.441263 1.157190 1.682147 0.860294 0.000000 
500.00 1323.15 50.159356 46.696538 0.000000 0.453546 0.792363 1.550815 0.666095 0.000000 
500.00 1313.15 46.715566 43.804572 0.000000 0.387797 0.601654 1.389564 0.531979 0.000000 
500.00 1303.15 43.821553 40.496622 0.000000 0.541770 0.373764 1.876215 0.489182 0.044001 
500.00 1293.15 40.555244 37.230033 0.000000 0.563193 0.212640 2.016528 0.423221 0.109629 
