Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.119589 1.0000000000000000 1.000000 274.689350 -1165697.059278 37.699407 -371.878908 3697.162577 147.307416 -7.007 0.000 2.602683 0.000000 1.854 0.385217 0.000
500.00 1513.15 98.120232 1.0000000000000000 1.000000 273.720305 -1167179.500476 37.663019 -370.812056 3694.489863 147.307295 -7.116 0.000 2.605214 0.000000 1.893 0.384309 0.000
500.00 1503.15 98.120915 1.0000000000000000 1.000000 272.744880 -1168662.552572 37.626692 -369.748189 3691.759724 147.307371 -7.225 0.000 2.607748 0.000000 1.934 0.383392 0.000
500.00 1493.15 98.121638 1.0000000000000000 1.000000 271.762987 -1170146.239384 37.590426 -368.687379 3688.972433 147.307652 -7.336 0.000 2.610283 0.000000 1.974 0.382465 0.000
500.00 1483.15 98.122403 1.0000000000000000 1.000000 270.774536 -1171630.585740 37.554225 -367.629701 3686.128275 147.308143 -7.449 0.000 2.612819 0.000000 2.016 0.381529 0.000
500.00 1473.15 98.123212 1.0000000000000000 1.000000 269.795126 -1173092.449576 37.518088 -366.575232 3683.227545 143.923957 -7.563 0.000 2.615357 0.000000 2.057 0.380584 0.000
500.00 1463.15 98.124066 1.0000000000000000 1.000000 268.816370 -1174544.296564 37.482018 -365.524054 3680.270554 143.916152 -7.679 0.000 2.617897 0.000000 2.100 0.379629 0.000
500.00 1453.15 98.124965 1.0000000000000000 1.000000 267.830999 -1175996.789171 37.446016 -364.476250 3677.257625 143.908010 -7.796 0.000 2.620438 0.000000 2.143 0.378665 0.000
500.00 1443.15 98.125913 1.0000000000000000 1.000000 266.838921 -1177449.950557 37.410085 -363.431909 3674.189095 143.899527 -7.915 0.000 2.622980 0.000000 2.187 0.377691 0.000
500.00 1433.15 98.126910 1.0000000000000000 1.000000 265.840045 -1178903.805052 37.374225 -362.391124 3671.065316 143.890701 -8.035 0.000 2.625524 0.000000 2.231 0.376708 0.000
500.00 1423.15 98.127957 1.0000000000000000 1.000000 264.834274 -1180358.378215 37.338438 -361.353990 3667.886658 143.881529 -8.157 0.000 2.628068 0.000000 2.276 0.375715 0.000
500.00 1413.15 98.127139 0.9933307046416713 0.994701 263.636493 -1182043.005084 37.287994 -359.912616 3650.744031 143.532073 -8.281 0.000 2.627976 3.312112 2.344 0.375937 0.000
500.00 1403.15 97.472720 0.9429677373415993 0.950878 259.624921 -1177596.947820 36.845772 -351.374426 3561.447750 140.765164 -8.407 0.000 2.623418 3.071417 2.406 0.407691 0.000
500.00 1393.15 91.914212 0.9275731085352913 0.935964 244.051564 -1109062.032126 34.791075 -338.993336 3400.959772 131.877122 -8.535 0.000 2.618207 2.988058 2.458 0.456048 0.000
500.00 1383.15 85.257927 0.9329985956717314 0.940965 226.201166 -1024977.178168 32.351714 -327.313187 3244.843556 121.964972 -8.664 0.000 2.613035 2.990947 2.510 0.504654 0.000
500.00 1373.15 79.546471 0.9376403006334929 0.945242 210.851525 -953090.891284 30.256989 -317.011874 3109.328923 113.456667 -8.795 0.000 2.607886 2.993983 2.562 0.55334 0.000
500.00 1363.15 74.587069 0.9416358429405957 0.948925 197.495942 -890908.865654 28.437010 -307.822851 2990.289327 106.068330 -8.929 0.000 2.602738 2.997235 2.615 0.601978 0.000
500.00 1353.15 70.235072 0.9450875199755729 0.952114 185.753624 -836563.898340 26.839319 -299.543380 2884.584397 99.586259 -9.064 0.000 2.597561 3.000832 2.669 0.650468 0.000
500.00 1343.15 66.545930 0.8152036844103766 0.862993 173.114329 -794478.937465 25.325249 -284.412180 2552.643879 90.831432 -9.201 0.000 2.482143 3.544195 3.250 0.770094 0.000
500.00 1333.15 54.277028 0.9237081678631730 0.940113 144.466514 -674167.663613 21.737274 -274.634901 2348.289414 76.201310 -9.340 0.000 2.453386 3.180932 3.415 0.839441 0.000
500.00 1323.15 50.159356 0.9309636606217684 0.945766 133.774389 -627984.320992 20.336085 -267.266998 2241.888897 70.383015 -9.481 0.000 2.427917 3.139695 3.564 0.907616 0.000
500.00 1313.15 46.715566 0.9376868567291815 0.951145 124.781893 -588907.466052 19.148321 -260.755838 2153.179048 65.504654 -9.625 0.000 2.405150 3.111717 3.702 0.973345 0.000
500.00 1303.15 43.821553 0.9241256521090012 0.913532 117.015665 -556057.590678 18.575266 -1299.246990 2500.764168 61.192928 -9.771 0.000 2.386492 2.070108 3.873 1.00001 0.000
500.00 1293.15 40.555244 0.9180078723251263 0.869036 108.458381 -517535.718225 18.066424 -2830.912592 3067.110964 56.464962 -9.919 0.000 2.371283 1.405385 4.065 1.00004 0.000
