Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 99.933458 48.8104 1.41041 15.1484 2.46534 9.87653 0.193435 7.07186 10.5234 2.16565 0.341931 0.157802 1.83482
500.00 1513.15 99.938249 48.8081 1.41035 15.1477 2.47166 9.87026 0.193426 7.07152 10.5229 2.16554 0.341915 0.157794 1.83888
500.00 1503.15 99.943157 48.8057 1.41028 15.1469 2.47838 9.86362 0.193416 7.07117 10.5224 2.16544 0.341898 0.157787 1.84302
500.00 1493.15 99.948185 48.8033 1.41021 15.1462 2.4855 9.8566 0.193407 7.07082 10.5218 2.16533 0.341881 0.157779 1.84723
500.00 1483.15 99.953336 48.8007 1.41013 15.1454 2.49305 9.84919 0.193397 7.07045 10.5213 2.16522 0.341863 0.157771 1.85152
500.00 1473.15 99.958614 48.7982 1.41006 15.1446 2.50102 9.84138 0.193386 7.07008 10.5207 2.1651 0.341845 0.157762 1.85589
500.00 1463.15 99.964022 48.7955 1.40998 15.1438 2.50944 9.83314 0.193376 7.0697 10.5202 2.16498 0.341827 0.157754 1.86034
500.00 1453.15 99.969564 48.7928 1.40991 15.1429 2.51832 9.82448 0.193365 7.06931 10.5196 2.16486 0.341808 0.157745 1.86488
500.00 1443.15 99.975243 48.79 1.40983 15.1421 2.52768 9.81538 0.193354 7.0689 10.519 2.16474 0.341789 0.157736 1.8695
500.00 1433.15 99.981064 48.7872 1.40974 15.1412 2.53752 9.80582 0.193343 7.06849 10.5184 2.16462 0.341769 0.157727 1.87421
500.00 1423.15 99.987030 48.7843 1.40966 15.1403 2.54788 9.79578 0.193332 7.06807 10.5178 2.16449 0.341748 0.157717 1.87902
500.00 1413.15 99.993145 48.7813 1.40957 15.1393 2.55875 9.78525 0.19332 7.06764 10.5171 2.16435 0.341727 0.157708 1.88391
500.00 1403.15 99.261090 48.8507 1.41997 15.251 2.56796 9.73777 0.19262 6.8055 10.5918 2.18032 0.344248 0.158871 1.89924
500.00 1393.15 98.444843 48.9313 1.43174 15.3775 2.57572 9.67749 0.191712 6.51648 10.6763 2.19839 0.347102 0.160188 1.91613
500.00 1383.15 97.641100 49.014 1.44353 15.504 2.58208 9.6083 0.190678 6.23554 10.7607 2.21649 0.349959 0.161507 1.93324
500.00 1373.15 91.699149 49.0524 1.46974 16.1475 2.58904 9.82538 0.202621 5.75064 10.0949 2.34972 0.372636 0.171972 1.97342
500.00 1363.15 87.161506 49.1729 1.47531 16.6653 2.58546 9.92875 0.211894 5.32464 9.58896 2.46262 0.392035 0.180925 2.01115
500.00 1353.15 79.126949 49.5995 1.55274 16.485 2.66343 10.3077 0.226278 4.88387 9.00307 2.61234 0.430112 0.199296 2.03668
500.00 1343.15 63.367538 53.014 1.23869 16.7148 2.19724 8.13038 0.274533 4.22721 8.2388 3.01161 0.532697 0.248861 2.1711
500.00 1333.15 53.065058 54.6755 1.14158 16.5951 2.02848 7.33303 0.331544 3.7862 7.66329 3.28264 0.629578 0.297177 2.23591
500.00 1323.15 42.831070 56.0509 1.06418 16.3302 1.8954 6.64278 0.451323 3.33301 7.23039 3.57095 0.766788 0.368184 2.29589
500.00 1313.15 36.521580 57.4535 1.02443 15.9778 1.76746 6.04684 0.529294 2.94567 6.93006 3.67589 0.883551 0.431791 2.33367
500.00 1303.15 31.388108 58.7151 0.995999 15.6281 1.64445 5.506 0.615859 2.62531 6.69273 3.70504 1.00721 0.50241 2.36179
500.00 1293.15 27.179230 59.8466 0.976975 15.2933 1.52623 5.01333 0.711229 2.35698 6.50877 3.66749 1.13672 0.580212 2.38211
500.00 1283.15 23.720943 60.8568 0.965374 14.9808 1.41326 4.56411 0.814919 2.12967 6.36819 3.57538 1.27025 0.664801 2.39639
500.00 1273.15 20.876086 61.754 0.959277 14.6939 1.3062 4.15478 0.925971 1.93505 6.26146 3.44202 1.40576 0.755396 2.40615
500.00 1263.15 18.530111 62.547 0.956959 14.4328 1.20563 3.78227 1.0432 1.76671 6.18019 3.28023 1.54125 0.851031 2.41274
500.00 1253.15 16.586383 63.2447 0.956985 14.1959 1.1119 3.4437 1.16545 1.6197 6.11755 3.10099 1.67513 0.950762 2.41721
500.00 1243.15 14.964934 63.8562 0.958237 13.9807 1.02507 3.13619 1.29173 1.49018 6.06839 2.91295 1.80621 1.05378 2.42038
500.00 1233.15 13.550272 64.5181 0.960248 13.8096 0.943021 2.85979 1.42659 1.37059 5.94005 2.72618 1.93914 1.083 2.42365
500.00 1223.15 12.336813 65.1603 0.962128 13.665 0.867123 2.61004 1.56691 1.26242 5.78296 2.54254 2.07012 1.08344 2.42697
500.00 1213.15 11.302588 65.7374 0.9633 13.5343 0.797786 2.38325 1.71028 1.16563 5.63163 2.36359 2.19661 1.08586 2.43034
500.00 1203.15 10.412149 66.2551 0.963495 13.4154 0.7345 2.17715 1.85655 1.07855 5.48525 2.19134 2.31848 1.09019 2.43399
500.00 1193.15 9.638005 66.7183 0.962547 13.3066 0.67676 1.98969 2.00567 0.999845 5.34347 2.02698 2.43565 1.09645 2.43809
500.00 1183.15 8.958707 67.131 0.960362 13.2063 0.624083 1.81904 2.15775 0.928424 5.20627 1.87115 2.54811 1.10475 2.44278
500.00 1173.15 8.357382 67.4963 0.956892 13.1135 0.576019 1.66359 2.313 0.863393 5.07385 1.72412 2.65589 1.11523 2.44816
500.00 1163.15 7.432680 68.3713 0.916879 12.9928 0.524164 1.49631 2.10099 0.77556 4.86594 1.58198 2.85545 1.09049 2.42813
500.00 1153.15 6.504472 69.0073 0.856462 12.9161 0.482115 1.35887 1.99579 0.697922 4.67146 1.44593 3.0776 1.07655 2.41398
500.00 1143.15 5.652560 69.582 0.800452 12.8573 0.442564 1.23029 1.88803 0.62809 4.4808 1.31618 3.31137 1.06466 2.39825
500.00 1133.15 4.865770 70.0943 0.748527 12.8164 0.405479 1.11047 1.7794 0.565283 4.29453 1.19288 3.55673 1.05493 2.38108
500.00 1123.15 4.134622 70.5437 0.70038 12.7928 0.370819 0.999311 1.67131 0.508804 4.11332 1.07623 3.81326 1.04748 2.3626
500.00 1113.15 3.450902 70.9305 0.655712 12.7859 0.338532 0.896629 1.56494 0.458038 3.93794 0.966399 4.08006 1.04243 2.34299
500.00 1103.15 2.807274 71.2557 0.614236 12.7947 0.308564 0.802229 1.46129 0.412433 3.76928 0.863585 4.35573 1.03988 2.32243
500.00 1093.15 2.196936 71.5214 0.575678 12.8178 0.280853 0.715876 1.3612 0.371496 3.6083 0.767947 4.63831 1.03999 2.30113
500.00 1083.15 1.613333 71.7306 0.539772 12.8536 0.255334 0.637292 1.26535 0.334779 3.456 0.679599 4.92538 1.04291 2.27936
500.00 1073.15 0.644843 72.1601 0.499972 12.7259 0.238402 0.584765 1.19997 0.303013 3.36249 0.615736 4.98824 1.04787 2.27357
500.00 1063.15 0.362395 1.63728 0.0929234 0.0157499 0.0783138 0.0242013 1.53965 1.21611 51.5938 4.49994e-006 0.0140461 43.5152 0.27264
500.00 1053.15 0.361897 1.59663 0.0852044 0.014619 0.0754844 0.0227639 1.48345 1.20233 51.6631 3.78531e-006 0.0130619 43.5752 0.268178
500.00 1043.15 0.361427 1.55828 0.0781059 0.0135598 0.0728912 0.0214407 1.4298 1.18946 51.7287 3.17629e-006 0.0121366 43.6318 0.263811
500.00 1033.15 0.360983 1.52211 0.0715758 0.0125677 0.070519 0.0202217 1.37855 1.17749 51.7907 2.65825e-006 0.0112669 43.6854 0.259528
500.00 1023.15 0.360565 1.48803 0.0655669 0.0116384 0.0683544 0.0190977 1.32956 1.16642 51.8495 2.21849e-006 0.0104497 43.7361 0.255321
500.00 1013.15 0.360171 1.45594 0.0600365 0.0107682 0.0663854 0.0180607 1.28271 1.15626 51.905 1.84598e-006 0.00968214 43.7839 0.25118
500.00 1003.15 0.359569 1.39915 0.0549017 0.00969459 0.0645384 0.0170469 1.24076 1.10988 51.9908 1.49919e-006 0.00873084 43.8572 0.247349
500.00 993.15 0.358903 1.33442 0.0501438 0.00863303 0.0628248 0.0160864 1.19946 1.05208 52.0864 1.21003e-006 0.0077877 43.9386 0.243573
500.00 983.15 0.358277 1.2742 0.0456287 0.00770144 0.0612919 0.0152062 1.15695 1.00051 52.1764 9.81627e-007 0.00695846 44.0154 0.239712
500.00 973.15 0.357925 1.24702 0.0397423 0.00713608 0.0603553 0.0145373 1.10682 0.99697 52.2269 8.16503e-007 0.00645601 44.0587 0.23536
500.00 963.15 0.357600 1.22188 0.0346027 0.00660081 0.0595383 0.0139124 1.06006 0.993856 52.2737 6.75387e-007 0.00597887 44.0987 0.231109
500.00 953.15 0.357299 1.19864 0.0301116 0.00609481 0.0588404 0.0133286 1.01637 0.991204 52.3171 5.55369e-007 0.00552661 44.1359 0.226942
500.00 943.15 0.357021 1.17717 0.026185 0.00561725 0.0582617 0.0127834 0.975434 0.989048 52.3573 4.53828e-007 0.00509874 44.1703 0.222844
