Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.039009 47.7384 1.43678 15.8156 2.54432 9.94868 0.200838 7.29332 11.1246 2.36426 0.351493 0.16167 1.02
500.00 1513.15 98.039662 47.7381 1.43677 15.8155 2.55095 9.94263 0.200837 7.29327 11.1245 2.36425 0.35149 0.161669 1.02
500.00 1503.15 98.040355 47.7378 1.43676 15.8154 2.55799 9.93621 0.200836 7.29322 11.1244 2.36423 0.351488 0.161668 1.01999
500.00 1493.15 98.041090 47.7374 1.43674 15.8153 2.56545 9.9294 0.200834 7.29317 11.1243 2.36421 0.351485 0.161667 1.01998
500.00 1483.15 98.041868 47.7371 1.43673 15.8152 2.57335 9.9222 0.200833 7.29311 11.1242 2.36419 0.351482 0.161666 1.01997
500.00 1473.15 98.042690 47.7367 1.43672 15.815 2.58169 9.91459 0.200831 7.29305 11.1241 2.36417 0.35148 0.161664 1.01996
500.00 1463.15 98.043557 47.7362 1.43671 15.8149 2.5905 9.90656 0.200829 7.29298 11.124 2.36415 0.351476 0.161663 1.01995
500.00 1453.15 98.044471 47.7358 1.43669 15.8148 2.59978 9.89809 0.200827 7.29292 11.1239 2.36413 0.351473 0.161661 1.01995
500.00 1443.15 98.045433 47.7353 1.43668 15.8146 2.60955 9.88918 0.200825 7.29284 11.1238 2.36411 0.35147 0.16166 1.01994
500.00 1433.15 98.046446 47.7348 1.43667 15.8144 2.61983 9.8798 0.200823 7.29277 11.1237 2.36408 0.351466 0.161658 1.01992
500.00 1423.15 98.047510 47.7343 1.43665 15.8143 2.63064 9.86995 0.200821 7.29269 11.1236 2.36406 0.351462 0.161656 1.01991
500.00 1413.15 98.045439 47.7353 1.43668 15.8146 2.60961 9.88912 0.200825 7.29284 11.1238 2.36411 0.35147 0.16166 1.01994
500.00 1403.15 98.044908 47.7356 1.43669 15.8147 2.60422 9.89405 0.200826 7.29288 11.1239 2.36412 0.351472 0.161661 1.01994
500.00 1393.15 98.043277 47.7364 1.43671 15.815 2.58766 9.90915 0.20083 7.293 11.1241 2.36416 0.351477 0.161663 1.01996
500.00 1383.15 98.041772 47.7371 1.43673 15.8152 2.57238 9.92309 0.200833 7.29312 11.1242 2.3642 0.351483 0.161666 1.01997
500.00 1373.15 98.040383 47.7378 1.43675 15.8154 2.55828 9.93595 0.200836 7.29322 11.1244 2.36423 0.351488 0.161668 1.01999
500.00 1363.15 98.039084 47.7384 1.43677 15.8156 2.54508 9.94798 0.200838 7.29332 11.1245 2.36426 0.351492 0.16167 1.02
500.00 1353.15 98.037814 47.739 1.43679 15.8158 2.53218 9.95975 0.200841 7.29341 11.1247 2.36429 0.351497 0.161672 1.02001
500.00 1343.15 98.226798 47.6472 1.43403 15.7854 4.44764 8.21265 0.200454 7.27938 11.1033 2.35974 0.350821 0.161361 1.01805
500.00 1333.15 98.245814 47.638 1.43375 15.7824 4.63997 8.03723 0.200416 7.27797 11.1011 2.35929 0.350753 0.16133 1.01786
500.00 1323.15 98.260435 47.6309 1.43354 15.78 4.78779 7.9024 0.200386 7.27689 11.0995 2.35894 0.350701 0.161306 1.0177
500.00 1313.15 98.282524 47.6202 1.43322 15.7765 5.01104 7.69877 0.200341 7.27525 11.097 2.3584 0.350622 0.16127 1.01747
500.00 1303.15 98.295184 47.614 1.43303 15.7744 5.13896 7.5821 0.200315 7.27431 11.0956 2.3581 0.350577 0.161249 1.01734
500.00 1293.15 98.298446 47.6125 1.43298 15.7739 5.17191 7.55204 0.200308 7.27407 11.0952 2.35802 0.350565 0.161244 1.01731
500.00 1283.15 98.295691 47.6138 1.43302 15.7743 5.14408 7.57743 0.200314 7.27428 11.0955 2.35809 0.350575 0.161248 1.01734
500.00 1273.15 98.288546 47.6172 1.43313 15.7755 5.07189 7.64327 0.200329 7.27481 11.0963 2.35826 0.3506 0.16126 1.01741
500.00 1263.15 98.278044 47.6223 1.43328 15.7772 4.96578 7.74006 0.20035 7.27558 11.0975 2.35851 0.350638 0.161277 1.01752
500.00 1253.15 98.266066 47.6281 1.43346 15.7791 4.84472 7.85048 0.200374 7.27647 11.0988 2.3588 0.350681 0.161297 1.01765
