Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.044077 36.121613 36.121613 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.044737 36.097932 36.097932 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.045437 36.074284 36.074284 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.046179 36.050670 36.050670 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.046964 36.027090 36.027090 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.047232 35.968700 35.193698 0.000000 0.000000 0.000000 0.775001 0.000000 0.000000 0.000000 
500.00 1463.15 98.046992 35.881267 33.707127 0.000000 0.000000 0.000000 2.174140 0.000000 0.000000 0.000000 
500.00 1453.15 98.042476 35.545714 29.875333 0.260176 1.167976 0.000000 4.242229 0.000000 0.000000 0.000000 
500.00 1443.15 98.036808 35.084789 25.185310 0.297939 2.668306 0.490094 6.443140 0.000000 0.000000 0.000000 
500.00 1433.15 98.032563 34.617577 20.652697 0.000000 3.299830 2.086044 8.579007 0.000000 0.000000 0.000000 
500.00 1423.15 98.027024 34.277705 17.171093 0.000000 3.871267 2.890845 10.344500 0.000000 0.000000 0.000000 
500.00 1413.15 98.021028 33.981057 14.130167 0.000000 4.325066 3.573880 11.951943 0.000000 0.000000 0.000000 
500.00 1403.15 98.013066 33.704934 11.254103 0.000000 4.692856 4.178350 13.579625 0.000000 0.000000 0.000000 
500.00 1393.15 98.001616 33.438165 8.442684 0.000000 5.018162 4.721320 15.255999 0.000000 0.000000 0.000000 
500.00 1383.15 97.996165 33.261075 6.801446 0.000000 5.320617 5.095358 16.043654 0.000000 0.000000 0.000000 
500.00 1373.15 97.996244 33.139888 5.855655 0.000000 5.580315 5.383346 16.320573 0.000000 0.000000 0.000000 
500.00 1363.15 97.999035 33.037479 5.140854 0.000000 5.814086 5.659015 16.423524 0.000000 0.000000 0.000000 
500.00 1353.15 98.003724 32.941421 4.514634 0.000000 6.033686 5.951947 16.441155 0.000000 0.000000 0.000000 
500.00 1343.15 98.006409 32.842825 3.770038 0.163524 6.269880 6.159259 16.480124 0.000000 0.000000 0.000000 
500.00 1333.15 98.144183 32.834256 1.925189 0.224576 7.523257 5.103213 16.595374 1.408012 0.000000 0.054634 
500.00 1323.15 98.130237 32.788804 1.581875 0.261279 7.484807 5.219743 16.793454 1.383335 0.000000 0.064311 
500.00 1313.15 98.117086 32.747961 1.295757 0.287932 7.438807 5.335588 16.959712 1.357892 0.000000 0.072274 
500.00 1303.15 98.104720 32.710673 1.052358 0.307343 7.389139 5.448589 17.101788 1.332486 0.000000 0.078971 
500.00 1293.15 98.093086 32.676170 0.841579 0.321427 7.338106 5.557796 17.225082 1.307470 0.000000 0.084710 
500.00 1283.15 98.082115 32.643803 0.656195 0.331522 7.287087 5.662913 17.333411 1.282967 0.000000 0.089709 
500.00 1273.15 98.071735 32.613184 0.490922 0.338585 7.236910 5.763999 17.429664 1.258975 0.000000 0.094129 
500.00 1263.15 98.057861 32.557825 0.144285 0.346166 7.173291 5.970044 17.617782 1.131965 0.070916 0.103376 
500.00 1253.15 98.052450 32.528752 0.000000 0.349716 7.140272 6.052555 17.697843 1.075099 0.106118 0.107149 
500.00 1243.15 98.053208 32.518814 0.000000 0.352149 7.130003 6.044499 17.699545 1.070394 0.115074 0.107149 
