Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.115128 49.777 1.37023 14.8129 2.49751 9.88002 0.190592 7.06823 10.7415 2.15369 0.331855 0.157264 1.01921
500.00 1513.15 98.115771 49.7767 1.37022 14.8128 2.50403 9.87407 0.190591 7.06818 10.7414 2.15368 0.331853 0.157263 1.0192
500.00 1503.15 98.116454 49.7764 1.37021 14.8127 2.51096 9.86775 0.19059 7.06813 10.7413 2.15367 0.331851 0.157262 1.0192
500.00 1493.15 98.117177 49.776 1.3702 14.8126 2.5183 9.86106 0.190588 7.06808 10.7412 2.15365 0.331848 0.157261 1.01919
500.00 1483.15 98.117943 49.7756 1.37019 14.8125 2.52607 9.85398 0.190587 7.06802 10.7412 2.15363 0.331846 0.15726 1.01918
500.00 1473.15 98.118752 49.7752 1.37018 14.8124 2.53428 9.84649 0.190585 7.06797 10.7411 2.15361 0.331843 0.157258 1.01917
500.00 1463.15 98.119606 49.7748 1.37016 14.8122 2.54294 9.83859 0.190584 7.0679 10.741 2.1536 0.33184 0.157257 1.01916
500.00 1453.15 98.120505 49.7743 1.37015 14.8121 2.55207 9.83026 0.190582 7.06784 10.7409 2.15358 0.331837 0.157256 1.01915
500.00 1443.15 98.121453 49.7738 1.37014 14.8119 2.56169 9.82149 0.19058 7.06777 10.7408 2.15356 0.331834 0.157254 1.01915
500.00 1433.15 98.122450 49.7733 1.37012 14.8118 2.5718 9.81227 0.190578 7.0677 10.7407 2.15353 0.33183 0.157252 1.01913
500.00 1423.15 98.123498 49.7728 1.37011 14.8116 2.58243 9.80257 0.190576 7.06762 10.7405 2.15351 0.331827 0.157251 1.01912
500.00 1413.15 98.123751 49.7727 1.37011 14.8116 2.58501 9.80023 0.190576 7.06761 10.7405 2.15351 0.331826 0.15725 1.01912
500.00 1403.15 98.124709 49.7722 1.37009 14.8115 2.59472 9.79137 0.190574 7.06754 10.7404 2.15348 0.331823 0.157249 1.01911
500.00 1393.15 98.122637 49.7732 1.37012 14.8118 2.5737 9.81053 0.190578 7.06769 10.7406 2.15353 0.33183 0.157252 1.01913
500.00 1383.15 98.120217 49.7745 1.37016 14.8121 2.54915 9.83293 0.190583 7.06786 10.7409 2.15358 0.331838 0.157256 1.01916
500.00 1373.15 98.117837 49.7757 1.37019 14.8125 2.52499 9.85496 0.190587 7.06803 10.7412 2.15363 0.331846 0.15726 1.01918
500.00 1363.15 98.115463 49.7769 1.37022 14.8129 2.50091 9.87692 0.190592 7.0682 10.7414 2.15369 0.331854 0.157264 1.01921
500.00 1353.15 98.113050 49.7781 1.37026 14.8132 2.47642 9.89925 0.190596 7.06838 10.7417 2.15374 0.331862 0.157268 1.01923
500.00 1343.15 98.277107 49.695 1.36797 14.7885 4.13846 8.38348 0.190278 7.05658 10.7238 2.15014 0.331308 0.157005 1.01753
500.00 1333.15 98.298243 49.6843 1.36767 14.7853 4.35219 8.18857 0.190237 7.05506 10.7215 2.14968 0.331237 0.156971 1.01731
500.00 1323.15 98.312976 49.6769 1.36747 14.7831 4.50112 8.05275 0.190209 7.054 10.7198 2.14936 0.331187 0.156948 1.01716
500.00 1313.15 98.321548 49.6725 1.36735 14.7818 4.58774 7.97375 0.190192 7.05339 10.7189 2.14917 0.331158 0.156934 1.01707
500.00 1303.15 98.323750 49.6714 1.36732 14.7815 4.60999 7.95346 0.190188 7.05323 10.7187 2.14912 0.331151 0.156931 1.01705
500.00 1293.15 98.321635 49.6725 1.36735 14.7818 4.58862 7.97295 0.190192 7.05338 10.7189 2.14917 0.331158 0.156934 1.01707
500.00 1283.15 98.316509 49.6751 1.36742 14.7826 4.53682 8.02019 0.190202 7.05375 10.7195 2.14928 0.331175 0.156942 1.01712
500.00 1273.15 98.309305 49.6787 1.36752 14.7836 4.46402 8.08658 0.190216 7.05427 10.7202 2.14944 0.3312 0.156954 1.0172
500.00 1263.15 98.300711 49.6831 1.36764 14.7849 4.37714 8.16581 0.190233 7.05488 10.7212 2.14963 0.331229 0.156967 1.01729
500.00 1253.15 98.291227 49.6879 1.36777 14.7864 4.28126 8.25326 0.190251 7.05556 10.7222 2.14984 0.33126 0.156982 1.01738
500.00 1243.15 98.281215 49.6929 1.36791 14.7879 4.18001 8.34559 0.19027 7.05628 10.7233 2.15005 0.331294 0.156998 1.01749
500.00 1233.15 98.270928 49.6981 1.36805 14.7894 4.07596 8.44048 0.19029 7.05702 10.7244 2.15028 0.331329 0.157015 1.01759
500.00 1223.15 98.260367 49.7035 1.3682 14.791 3.96913 8.53792 0.190311 7.05778 10.7256 2.15051 0.331365 0.157032 1.0177
