Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.115128 49.777 1.37023 14.8129 2.49751 9.88002 0.190592 7.06823 10.7415 2.15369 0.331855 0.157264 1.01921
500.00 1513.15 98.115771 49.7767 1.37022 14.8128 2.50403 9.87407 0.190591 7.06818 10.7414 2.15368 0.331853 0.157263 1.0192
500.00 1503.15 98.116454 49.7764 1.37021 14.8127 2.51096 9.86775 0.19059 7.06813 10.7413 2.15367 0.331851 0.157262 1.0192
500.00 1493.15 98.117177 49.776 1.3702 14.8126 2.5183 9.86106 0.190588 7.06808 10.7412 2.15365 0.331848 0.157261 1.01919
500.00 1483.15 98.117943 49.7756 1.37019 14.8125 2.52607 9.85398 0.190587 7.06802 10.7412 2.15363 0.331846 0.15726 1.01918
500.00 1473.15 98.118752 49.7752 1.37018 14.8124 2.53428 9.84649 0.190585 7.06797 10.7411 2.15361 0.331843 0.157258 1.01917
500.00 1463.15 98.119606 49.7748 1.37016 14.8122 2.54294 9.83859 0.190584 7.0679 10.741 2.1536 0.33184 0.157257 1.01916
500.00 1453.15 98.120505 49.7743 1.37015 14.8121 2.55207 9.83026 0.190582 7.06784 10.7409 2.15358 0.331837 0.157256 1.01915
500.00 1443.15 98.121453 49.7738 1.37014 14.8119 2.56169 9.82149 0.19058 7.06777 10.7408 2.15356 0.331834 0.157254 1.01915
500.00 1433.15 98.122450 49.7733 1.37012 14.8118 2.5718 9.81227 0.190578 7.0677 10.7407 2.15353 0.33183 0.157252 1.01913
500.00 1423.15 98.123498 49.7728 1.37011 14.8116 2.58243 9.80257 0.190576 7.06762 10.7405 2.15351 0.331827 0.157251 1.01912
500.00 1413.15 96.676039 49.7917 1.3841 14.9755 2.59367 9.82968 0.192548 6.86667 10.6515 2.18381 0.336795 0.159605 1.03438
500.00 1403.15 92.184455 49.7919 1.42114 15.4616 2.60414 9.99175 0.20167 6.42766 10.2127 2.28207 0.353205 0.167382 1.08478
500.00 1393.15 85.668061 49.9579 1.49836 15.4327 2.6703 10.3352 0.213488 6.01374 9.76961 2.38242 0.378833 0.180114 1.1673
500.00 1383.15 79.655039 50.1568 1.57575 15.3533 2.73396 10.6539 0.225093 5.61858 9.34939 2.47821 0.405906 0.19371 1.25541
500.00 1373.15 74.288120 50.378 1.64707 15.2857 2.78716 10.917 0.236089 5.23969 8.95219 2.56976 0.43356 0.207705 1.34611
500.00 1363.15 69.440418 50.6291 1.71129 15.2311 2.8292 11.1191 0.246377 4.87578 8.57591 2.65783 0.462006 0.222205 1.44008
500.00 1353.15 65.015321 50.9198 1.76693 15.1912 2.85897 11.2531 0.255794 4.52571 8.21852 2.74313 0.491475 0.237329 1.5381
500.00 1343.15 52.506153 54.3452 1.22501 16.0542 2.20078 8.06485 0.356149 3.93612 7.80508 3.20898 0.605245 0.29387 1.90454
500.00 1333.15 48.093770 55.4373 1.13531 16.0972 2.05331 7.3759 0.388824 3.57837 7.52522 3.35094 0.657502 0.320832 2.07927
500.00 1323.15 44.419032 56.4094 1.05766 16.1024 1.92109 6.77533 0.420991 3.2703 7.26648 3.4693 0.708303 0.347374 2.25129
500.00 1313.15 39.044684 57.7011 1.0093 15.8375 1.79423 6.19113 0.478938 2.91838 6.98062 3.57279 0.795811 0.395188 2.32501
500.00 1303.15 33.873594 59.021 0.97858 15.4791 1.67103 5.64412 0.552052 2.59652 6.73002 3.61597 0.90166 0.455517 2.35443
500.00 1293.15 29.610147 60.2173 0.956665 15.1326 1.55299 5.14647 0.63154 2.32673 6.52918 3.5973 1.01183 0.521105 2.37633
500.00 1283.15 26.078882 61.2993 0.941778 14.8056 1.44027 4.69272 0.717055 2.09802 6.369 3.52711 1.12513 0.591666 2.39232
500.00 1273.15 23.146355 62.2752 0.932223 14.5022 1.33331 4.2788 0.807903 1.9021 6.24082 3.41681 1.24011 0.666628 2.40381
500.00 1263.15 20.703917 63.1531 0.926472 14.2235 1.23255 3.90138 0.903211 1.73264 6.13698 3.27755 1.35536 0.74527 2.41199
500.00 1253.15 18.660712 63.9409 0.92324 13.9686 1.13828 3.55746 1.00211 1.58471 6.05117 3.11912 1.46971 0.826871 2.41785
500.00 1243.15 16.941257 64.6466 0.921501 13.7356 1.05058 3.2442 1.10381 1.45449 5.97849 2.94953 1.58225 0.910794 2.42215
500.00 1233.15 15.483812 65.2777 0.920472 13.5223 0.969343 2.95894 1.20771 1.33898 5.91533 2.77487 1.69235 0.996525 2.42546
500.00 1223.15 14.218667 65.8936 0.91973 13.3359 0.893597 2.70023 1.31517 1.23417 5.82341 2.6011 1.80157 1.05294 2.42852
