Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 apatite water 
500.00 1523.15 98.115128 98.115128 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.115771 98.115771 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.116454 98.116454 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.117177 98.117177 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.117943 98.117943 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.118752 98.118752 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.119606 98.119606 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.120505 98.120505 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.121453 98.121453 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.122450 98.122450 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.123498 98.123498 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.123751 96.676039 0.246975 0.000000 1.200738 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.124709 92.184455 0.294700 0.000000 5.645554 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.122637 85.668061 1.016100 0.000000 8.844482 2.593994 0.000000 0.000000 0.000000 
500.00 1383.15 98.120217 79.655039 1.749643 0.000000 11.559607 5.155928 0.000000 0.000000 0.000000 
500.00 1373.15 98.117837 74.288120 2.435426 0.000000 13.971056 7.423233 0.000000 0.000000 0.000000 
500.00 1363.15 98.115463 69.440418 3.095101 0.000000 16.132212 9.447733 0.000000 0.000000 0.000000 
500.00 1353.15 98.113050 65.015321 3.750021 0.000000 18.078162 11.269546 0.000000 0.000000 0.000000 
500.00 1343.15 98.277107 52.506153 0.000000 4.699423 21.951526 14.066460 5.053544 0.000000 0.000000 
500.00 1333.15 98.298243 48.093770 0.000000 5.584621 22.747743 16.027804 5.844306 0.000000 0.000000 
500.00 1323.15 98.312976 44.419032 0.000000 6.386290 23.275091 17.793105 6.439459 0.000000 0.000000 
500.00 1313.15 98.321548 39.044684 0.000000 7.634577 23.569145 21.013832 6.967102 0.000000 0.092208 
500.00 1303.15 98.323750 33.873594 0.000000 8.861912 23.715712 24.328393 7.341668 0.000000 0.202470 
500.00 1293.15 98.321635 29.610147 0.000000 9.904280 23.790661 27.143809 7.576373 0.000000 0.296364 
500.00 1283.15 98.316509 26.078882 0.000000 10.806646 23.822430 29.523531 7.708911 0.000000 0.376109 
500.00 1273.15 98.309305 23.146355 0.000000 11.602542 23.824440 31.525887 7.766475 0.000000 0.443606 
500.00 1263.15 98.300711 20.703917 0.000000 12.316710 23.803687 33.206476 7.769297 0.000000 0.500624 
500.00 1253.15 98.291227 18.660712 0.000000 12.967222 23.764722 34.617281 7.732478 0.000000 0.548812 
500.00 1243.15 98.281215 16.941257 0.000000 13.567203 23.711222 35.804717 7.667158 0.000000 0.589658 
500.00 1233.15 98.270928 15.483812 0.000000 14.126250 23.646464 36.808536 7.581420 0.000000 0.624446 
500.00 1223.15 98.260367 14.218667 0.000000 14.657947 23.571822 37.667472 7.479136 0.010820 0.654503 
