Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.192143 49.5462 1.36162 15.4921 2.49455 9.66309 0.199914 7.27899 11.1827 2.27085 0.349519 0.160502 0
500.00 1513.15 98.192784 49.5459 1.36161 15.492 2.50104 9.65717 0.199913 7.27895 11.1826 2.27084 0.349517 0.160501 0
500.00 1503.15 98.193464 49.5456 1.3616 15.4919 2.50793 9.65088 0.199911 7.2789 11.1825 2.27082 0.349514 0.160499 0
500.00 1493.15 98.194184 49.5452 1.36159 15.4918 2.51524 9.64422 0.19991 7.27884 11.1824 2.27081 0.349512 0.160498 0
500.00 1483.15 98.064838 49.5461 1.36338 15.4684 2.52596 9.65028 0.200174 7.28844 11.1761 2.27055 0.349908 0.16071 0
500.00 1473.15 94.236559 49.5706 1.41877 14.766 2.62574 10.0449 0.208306 7.58453 10.9961 2.25599 0.361854 0.167239 0
500.00 1463.15 90.688823 49.5792 1.47427 14.0729 2.72574 10.4403 0.216454 7.88124 10.8284 2.23427 0.373504 0.173781 0
500.00 1453.15 82.757199 49.5629 1.60459 13.4966 2.87551 11.1373 0.234354 7.77989 10.4412 2.2723 0.405018 0.190437 0
500.00 1443.15 69.800433 49.2542 1.87563 12.9073 3.12568 12.2907 0.277864 7.18889 9.9935 2.38889 0.471498 0.225787 0
500.00 1433.15 60.256337 48.9105 2.14713 12.3141 3.36326 13.4096 0.321875 6.65193 9.60521 2.47834 0.536501 0.261549 0
500.00 1423.15 52.958147 48.5349 2.41832 11.7219 3.5893 14.5011 0.366233 6.1675 9.26025 2.54319 0.599622 0.297593 0
500.00 1413.15 47.174719 48.1259 2.69082 11.1279 3.80648 15.5754 0.411131 5.72787 8.95407 2.58545 0.660863 0.334077 0
500.00 1403.15 42.459052 47.6807 2.96634 10.5292 4.017 16.6418 0.456793 5.32699 8.68346 2.60641 0.720126 0.371181 0
500.00 1393.15 38.521777 47.1955 3.24682 9.92253 4.22279 17.7095 0.503482 4.95999 8.44636 2.60679 0.777175 0.409119 0
500.00 1383.15 35.166143 46.6647 3.53455 9.30422 4.42566 18.7883 0.551525 4.62297 8.24178 2.58667 0.83156 0.448158 0
500.00 1373.15 32.251745 46.0799 3.83252 8.66906 4.62751 19.8905 0.601363 4.31276 8.06995 2.54537 0.882481 0.488656 0
500.00 1363.15 29.672057 45.4277 4.14507 8.00894 4.83069 21.0335 0.653646 4.02696 7.93286 2.481 0.928467 0.531139 0
500.00 1353.15 27.336688 44.6837 4.47949 7.30889 5.0388 22.2472 0.709486 3.76423 7.83583 2.38928 0.966533 0.576515 0
500.00 1343.15 25.144388 43.7918 4.8517 6.53311 5.25951 23.5988 0.771345 3.52557 7.79306 2.2593 0.989077 0.62678 0
500.00 1333.15 22.840365 42.5193 5.32498 5.52831 5.52378 25.3686 0.849155 3.32435 7.86695 2.04435 0.960221 0.690006 0
500.00 1323.15 19.449864 39.6094 6.23625 3.62257 5.95876 29.033 0.99718 3.19514 8.38163 1.54015 0.615566 0.810288 0
500.00 1313.15 17.665077 37.8449 6.84526 2.69662 6.18787 31.1798 1.09793 2.94196 8.57928 1.30022 0.434054 0.892156 0
500.00 1303.15 14.478853 38.9756 5.03796 2.63503 6.30635 32.2547 1.262 2.32364 8.26526 1.44235 0.408567 1.08848 0
500.00 1293.15 14.104168 38.6772 4.92754 2.24999 6.41561 32.8581 1.28952 2.37952 8.42362 1.33358 0.327888 1.1174 0
500.00 1283.15 11.468281 38.18 4.3716 1.95978 6.58058 34.4981 1.5382 1.60343 8.17381 1.44231 0.277898 1.37423 0
500.00 1273.15 11.252470 38.0099 4.23942 1.68895 6.67701 34.9076 1.56121 1.63118 8.29031 1.36439 0.22944 1.40058 0
