Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 rhm-oxide_0 
500.00 1523.15 98.192143 36.279179 36.279179 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.192784 36.255837 36.255837 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.193464 36.232527 36.232527 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.194184 36.209250 36.209250 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.194912 36.183838 36.135078 0.000000 0.000000 0.000000 0.048760 0.000000 
500.00 1473.15 98.065570 36.047824 34.611105 0.000000 0.000000 0.000000 1.436719 0.000000 
500.00 1463.15 94.237312 34.528693 33.195903 0.000000 0.000000 0.000000 1.332789 0.000000 
500.00 1453.15 90.686633 32.937386 30.180762 0.144290 0.881353 0.000000 1.730982 0.000000 
500.00 1443.15 82.753980 29.710294 25.308024 0.000000 1.160487 0.965148 2.276635 0.000000 
500.00 1433.15 69.798336 24.961368 21.715580 0.000000 0.883753 0.652214 1.709820 0.000000 
500.00 1423.15 60.255061 21.449966 18.965578 0.000000 0.678719 0.474544 1.331125 0.000000 
500.00 1413.15 52.957444 18.754715 16.783635 0.000000 0.538585 0.357627 1.074868 0.000000 
500.00 1403.15 47.174427 16.611426 15.001993 0.000000 0.438562 0.277081 0.893789 0.000000 
500.00 1393.15 42.459054 14.858012 13.512029 0.000000 0.364795 0.219480 0.761707 0.000000 
500.00 1383.15 38.521986 13.389184 12.239825 0.000000 0.309048 0.176954 0.663357 0.000000 
500.00 1373.15 35.166482 12.133066 11.132527 0.000000 0.266211 0.144634 0.589695 0.000000 
500.00 1363.15 32.252140 11.038051 10.149832 0.000000 0.233062 0.119339 0.535818 0.000000 
500.00 1353.15 29.672411 10.064479 9.257134 0.000000 0.207721 0.098797 0.500826 0.000000 
500.00 1343.15 27.336826 9.177541 8.414652 0.000000 0.189875 0.080947 0.492067 0.000000 
500.00 1333.15 25.143659 8.333005 7.518669 0.000000 0.185641 0.061699 0.566996 0.000000 
500.00 1323.15 22.835592 7.403198 6.170877 0.000000 0.218694 0.062916 0.950712 0.000000 
500.00 1313.15 19.448629 6.101723 5.482087 0.000000 0.136526 0.099024 0.384086 0.000000 
500.00 1303.15 17.681520 5.384874 4.511152 0.000000 0.019737 0.521330 0.095701 0.236953 
500.00 1293.15 14.483737 4.500677 4.366285 0.000000 0.000000 0.000000 0.116756 0.017636 
500.00 1283.15 14.109555 4.269444 3.520808 0.000000 0.197880 0.354744 0.100447 0.095564 
500.00 1273.15 11.473247 3.514981 3.439054 0.000000 0.000000 0.000000 0.063226 0.012702 
