Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 98.192143 1.0000000000000000 1.000000 265.587876 -1170906.548305 36.279179 -200.684543 2390.939960 146.425044 -7.007 0.000 2.706570 0.000000 2.155 0 0.000
500.00 1513.15 98.192784 1.0000000000000000 1.000000 264.624587 -1172380.167149 36.255837 -200.876798 2391.083411 146.428329 -7.116 0.000 2.708330 0.000000 2.197 0 0.000
500.00 1503.15 98.193464 1.0000000000000000 1.000000 263.654932 -1173854.429536 36.232527 -201.070279 2391.235689 146.431816 -7.225 0.000 2.710092 0.000000 2.240 0 0.000
500.00 1493.15 98.194184 1.0000000000000000 1.000000 262.678821 -1175329.359218 36.209250 -201.265057 2391.397065 146.435511 -7.336 0.000 2.711854 0.000000 2.283 0 0.000
500.00 1483.15 98.194912 0.9986753508706999 0.998652 261.666716 -1176848.072091 36.183838 -201.216335 2390.068088 146.403712 -7.449 0.000 2.713841 2.667614 2.326 0 0.000
500.00 1473.15 98.065570 0.9609545812010081 0.960144 259.515969 -1177775.882249 36.047824 -194.065591 2345.215916 142.014945 -7.563 0.000 2.722726 2.665108 2.323 0 0.000
500.00 1463.15 94.237312 0.9623451836038437 0.961401 248.407049 -1127536.333945 34.528693 -185.407708 2271.380795 136.461990 -7.679 0.000 2.731928 2.662452 2.318 0 0.000
500.00 1453.15 90.686633 0.9125622549763098 0.916307 236.911229 -1082657.664895 32.937386 -170.940033 2141.639771 129.746180 -7.796 0.000 2.742051 2.876502 2.334 0 0.000
500.00 1443.15 82.753980 0.8434691968981939 0.851827 213.964317 -982778.858880 29.710294 -146.933893 1898.947441 116.292433 -7.915 0.000 2.758036 2.942470 2.339 0 0.000
500.00 1433.15 69.798336 0.8632918784315362 0.869968 179.932819 -817401.011805 24.961368 -126.457712 1639.230288 97.742355 -8.035 0.000 2.774797 2.939810 2.337 0 0.000
500.00 1423.15 60.255061 0.8788995657718234 0.884178 154.784668 -696075.870882 21.449966 -110.721418 1444.994118 84.048675 -8.157 0.000 2.792330 2.937107 2.329 0 0.000
500.00 1413.15 52.957444 0.8908043058505392 0.894902 135.495111 -603657.347787 18.754715 -98.172807 1294.236897 73.559233 -8.281 0.000 2.810757 2.933785 2.314 0 0.000
500.00 1403.15 47.174427 0.9000438275540561 0.903113 120.170522 -530680.475210 16.611426 -87.849359 1173.365154 65.241839 -8.407 0.000 2.830227 2.929836 2.293 0 0.000
500.00 1393.15 42.459054 0.9072688399419776 0.909410 107.649220 -471373.599879 14.858012 -79.134680 1073.874637 58.461597 -8.535 0.000 2.850925 2.925206 2.265 0 0.000
500.00 1383.15 38.521986 0.9128849862456423 0.914158 97.176928 -422009.462340 13.389184 -71.611936 990.148602 52.805479 -8.664 0.000 2.873092 2.919752 2.230 0 0.000
500.00 1373.15 35.166482 0.9171160635305385 0.917536 88.239306 -380059.560511 12.133066 -64.983272 918.292663 47.991482 -8.795 0.000 2.897073 2.913165 2.186 0 0.000
500.00 1363.15 32.252140 0.9200027233899426 0.919531 80.468050 -343723.559050 11.038051 -59.019735 855.459970 43.817525 -8.929 0.000 2.923404 2.904785 2.132 0 0.000
500.00 1353.15 29.672411 0.9212830156899036 0.919783 73.581924 -311638.656292 10.064479 -53.520100 799.393081 40.129241 -9.064 0.000 2.953040 2.893093 2.064 0 0.000
500.00 1343.15 27.336826 0.9197991083515418 0.916874 67.337538 -282653.009910 9.177541 -48.243287 747.926959 36.792720 -9.201 0.000 2.988167 2.873862 1.976 0 0.000
500.00 1333.15 25.143659 0.9083946128062859 0.902276 61.431752 -255504.592028 8.333005 -42.546454 697.146225 33.636760 -9.340 0.000 3.037820 2.828432 1.833 0 0.000
500.00 1323.15 22.835592 0.8517346341671170 0.833542 55.013008 -227087.787041 7.403198 -33.953555 632.808767 30.175588 -9.481 0.000 3.151880 2.747438 1.470 0 0.000
500.00 1313.15 19.448629 0.9082942024272642 0.898449 46.427731 -184022.825021 6.101723 -28.450373 572.695567 25.717358 -9.625 0.000 3.222327 2.878387 1.288 0 0.000
500.00 1303.15 17.681520 0.8188692851155748 0.837745 41.293039 -163276.827272 5.384874 -23.506197 462.217402 22.590436 -9.771 0.000 3.209569 3.665545 1.410 0 0.000
500.00 1293.15 14.483737 0.9737934321935111 0.970140 34.260417 -131836.626906 4.500677 -21.839976 421.425609 19.134532 -9.919 0.000 3.230244 2.824334 1.392 0 0.000
500.00 1283.15 14.109555 0.8128024097856211 0.824653 32.589202 -128335.285563 4.269444 -18.027746 363.770560 17.917380 -10.069 0.000 3.257286 3.528117 1.353 0 0.000
500.00 1273.15 11.473247 0.9807571623490988 0.978399 26.787377 -101524.008035 3.514981 -16.794858 329.698460 15.035341 -10.221 0.000 3.271967 2.907753 1.355 0 0.000
