Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.074491 48.6686 1.37671 15.8715 2.57296 10.2624 0.196891 7.4265 10.8979 2.21842 0.347797 0.160286 0
500.00 1513.15 98.075154 48.6683 1.3767 15.8714 2.5797 10.2562 0.19689 7.42645 10.8979 2.2184 0.347795 0.160285 0
500.00 1503.15 98.075858 48.6679 1.37669 15.8713 2.58684 10.2497 0.196888 7.42639 10.8978 2.21838 0.347792 0.160284 0
500.00 1493.15 98.076604 48.6676 1.37668 15.8712 2.59442 10.2428 0.196887 7.42634 10.8977 2.21837 0.347789 0.160283 0
500.00 1483.15 98.076993 48.6674 1.37667 15.8711 2.59837 10.2392 0.196886 7.42631 10.8977 2.21836 0.347788 0.160282 0
500.00 1473.15 98.076429 48.6677 1.37668 15.8712 2.59264 10.2444 0.196887 7.42635 10.8977 2.21837 0.34779 0.160283 0
500.00 1463.15 98.075813 48.668 1.37669 15.8713 2.58638 10.2501 0.196889 7.4264 10.8978 2.21839 0.347792 0.160284 0
500.00 1453.15 98.068908 48.6714 1.37679 15.8724 2.51629 10.3141 0.196902 7.42692 10.8986 2.21854 0.347817 0.160295 0
500.00 1443.15 98.064317 48.6737 1.37685 15.8732 2.46968 10.3566 0.196912 7.42727 10.8991 2.21865 0.347833 0.160303 0
500.00 1433.15 98.057370 48.6771 1.37695 15.8743 2.39914 10.421 0.196926 7.42779 10.8998 2.2188 0.347858 0.160314 0
500.00 1423.15 98.050479 48.6805 1.37705 15.8754 2.32916 10.4848 0.196939 7.42832 10.9006 2.21896 0.347882 0.160326 0
500.00 1413.15 98.042902 48.6843 1.37715 15.8766 2.25221 10.555 0.196955 7.42889 10.9015 2.21913 0.347909 0.160338 0
500.00 1403.15 98.033543 48.6889 1.37728 15.8781 2.15713 10.6418 0.196973 7.4296 10.9025 2.21934 0.347942 0.160353 0
500.00 1393.15 98.024477 48.6934 1.37741 15.8796 2.06502 10.7258 0.196992 7.43029 10.9035 2.21955 0.347974 0.160368 0
500.00 1383.15 98.020639 48.6954 1.37747 15.8802 2.02602 10.7614 0.196999 7.43058 10.9039 2.21963 0.347988 0.160374 0
500.00 1373.15 98.020647 48.6954 1.37746 15.8802 2.0261 10.7614 0.196999 7.43058 10.9039 2.21963 0.347988 0.160374 0
500.00 1363.15 98.023045 48.6942 1.37743 15.8798 2.05047 10.7391 0.196994 7.4304 10.9037 2.21958 0.347979 0.16037 0
500.00 1353.15 98.027313 48.692 1.37737 15.8791 2.09384 10.6995 0.196986 7.43007 10.9032 2.21948 0.347964 0.160363 0
500.00 1343.15 98.030284 48.6906 1.37733 15.8787 2.12402 10.672 0.19698 7.42985 10.9029 2.21942 0.347954 0.160359 0
