Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
500.00 1523.15 98.074491 36.051889 36.051889 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.075154 36.028323 36.028323 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.075858 36.004791 36.004791 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.076604 35.981293 35.981293 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.076993 35.937752 35.486464 0.000000 0.000000 0.000000 0.451287 
500.00 1473.15 98.076429 35.848507 33.936330 0.000000 0.000000 0.000000 1.912177 
500.00 1463.15 98.075813 35.760991 32.454992 0.000000 0.000000 0.000000 3.305999 
500.00 1453.15 98.068908 35.592934 29.568650 0.587793 0.000000 0.000000 5.436492 
500.00 1443.15 98.064317 35.008174 23.970211 0.000000 2.468559 0.530581 8.038823 
500.00 1433.15 98.057370 34.604371 19.819683 0.000000 3.429152 1.278652 10.076884 
500.00 1423.15 98.050479 34.267269 16.370877 0.000000 4.211340 1.862006 11.823046 
500.00 1413.15 98.042902 33.971935 13.345579 0.000000 4.876832 2.330398 13.419125 
500.00 1403.15 98.033543 33.700792 10.549893 0.000000 5.467718 2.718398 14.964784 
500.00 1393.15 98.024477 33.473828 8.291482 0.000000 5.939170 3.075302 16.167874 
500.00 1383.15 98.020639 33.319938 6.943938 0.000000 6.237589 3.413982 16.724430 
500.00 1373.15 98.020647 33.204698 6.062177 0.000000 6.459021 3.724658 16.958842 
500.00 1363.15 98.023045 33.105151 5.372258 0.000000 6.667512 4.013417 17.051964 
500.00 1353.15 98.027313 33.010744 4.759045 0.000000 6.897074 4.287664 17.066962 
500.00 1343.15 98.030284 32.912978 4.044096 0.134222 7.078094 4.567137 17.089429 
