Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 99.862135 48.2775 1.39403 14.7952 2.5106 9.7548 0.195205 7.44562 10.9635 2.33199 0.353231 0.156012 1.8224
500.00 1513.15 99.866988 48.2751 1.39397 14.7944 2.51699 9.74847 0.195196 7.44525 10.9629 2.33187 0.353214 0.156005 1.82652
500.00 1503.15 99.871960 48.2727 1.3939 14.7937 2.52378 9.74176 0.195186 7.44488 10.9624 2.33176 0.353196 0.155997 1.83072
500.00 1493.15 99.877054 48.2703 1.39383 14.7929 2.53098 9.73467 0.195176 7.4445 10.9618 2.33164 0.353178 0.155989 1.83499
500.00 1483.15 99.882272 48.2678 1.39375 14.7922 2.5386 9.72718 0.195166 7.44411 10.9613 2.33152 0.35316 0.155981 1.83934
500.00 1473.15 99.887620 48.2652 1.39368 14.7914 2.54666 9.71928 0.195156 7.44372 10.9607 2.33139 0.353141 0.155972 1.84377
500.00 1463.15 99.893099 48.2625 1.3936 14.7906 2.55517 9.71097 0.195145 7.44331 10.9601 2.33126 0.353121 0.155964 1.84829
500.00 1453.15 99.898714 48.2598 1.39352 14.7897 2.56415 9.70221 0.195134 7.44289 10.9594 2.33113 0.353101 0.155955 1.85289
500.00 1443.15 99.904469 48.257 1.39344 14.7889 2.57361 9.69301 0.195123 7.44246 10.9588 2.331 0.353081 0.155946 1.85759
500.00 1433.15 99.910368 48.2542 1.39336 14.788 2.58356 9.68335 0.195111 7.44202 10.9582 2.33086 0.35306 0.155937 1.86237
500.00 1423.15 99.916413 48.2513 1.39328 14.7871 2.59402 9.67321 0.195099 7.44157 10.9575 2.33072 0.353039 0.155927 1.86724
500.00 1413.15 99.321631 48.3027 1.40162 14.8757 2.60467 9.63765 0.194562 7.22517 11.0206 2.34468 0.355153 0.156861 1.88068
500.00 1403.15 98.498725 48.3773 1.41333 15 2.61427 9.58535 0.193712 6.92884 11.109 2.36427 0.35812 0.158172 1.89772
500.00 1393.15 96.665600 48.4317 1.42979 15.2233 2.62506 9.58664 0.195187 6.59853 11.0572 2.40733 0.364911 0.161171 1.91909
500.00 1383.15 91.433503 48.4488 1.45368 15.7876 2.63844 9.77776 0.205372 6.13063 10.5089 2.53612 0.385793 0.170394 1.95653
500.00 1373.15 86.595352 48.5361 1.45988 16.3283 2.64213 9.91848 0.215482 5.67893 9.96965 2.6677 0.407347 0.179914 1.9961
500.00 1363.15 82.093427 48.6989 1.44663 16.8463 2.63572 10.0031 0.225424 5.24329 9.44075 2.80253 0.429683 0.18978 2.03789
500.00 1353.15 73.701411 49.1688 1.51562 16.5667 2.73043 10.4221 0.241597 4.78871 8.81687 2.99576 0.476249 0.21139 2.06579
500.00 1343.15 57.707573 52.876 1.16848 16.7977 2.20283 7.94643 0.298026 4.0971 8.01551 3.50883 0.602124 0.269977 2.21699
500.00 1333.15 49.567978 54.5538 1.08366 16.6238 2.03887 7.19329 0.331387 3.67915 7.45551 3.75663 0.693662 0.31431 2.27593
500.00 1323.15 41.773487 55.9984 1.00942 16.4056 1.89284 6.51475 0.387626 3.31429 6.97331 3.99272 0.810609 0.372957 2.32747
500.00 1313.15 33.213332 56.9778 0.933791 16.1602 1.77493 5.90524 0.55233 2.96595 6.58841 4.29574 0.9928 0.46908 2.38372
500.00 1303.15 27.510608 57.9604 0.8942 15.8491 1.65903 5.37405 0.708586 2.6653 6.33768 4.40249 1.16309 0.566316 2.41975
500.00 1293.15 23.177003 58.9443 0.875434 15.5097 1.54247 4.88644 0.841076 2.40058 6.17646 4.3763 1.33406 0.672206 2.44089
500.00 1283.15 19.613490 59.7827 0.866149 15.1983 1.42902 4.43878 0.993889 2.17786 6.07707 4.27187 1.51546 0.794336 2.4546
500.00 1273.15 16.707372 60.4786 0.864427 14.919 1.32012 4.02958 1.16677 1.98885 6.03013 4.10441 1.70296 0.932505 2.46266
500.00 1263.15 14.351468 61.0383 0.868258 14.6717 1.21723 3.65759 1.3583 1.82701 6.02577 3.89159 1.89178 1.08558 2.46686
500.00 1253.15 12.324516 61.7168 0.876454 14.5071 1.11666 3.32684 1.58169 1.67563 5.87693 3.66004 2.09134 1.09987 2.4706
500.00 1243.15 10.632385 62.44 0.887973 14.3535 1.01973 3.01575 1.74764 1.53333 5.72646 3.40824 2.29501 1.10418 2.4682
500.00 1233.15 9.178010 63.2409 0.900764 14.2045 0.925881 2.71854 1.82406 1.39674 5.57051 3.14844 2.5085 1.10268 2.45847
500.00 1223.15 7.951781 64.0006 0.912368 14.0757 0.839376 2.44685 1.87347 1.27334 5.41352 2.89419 2.72388 1.10021 2.44655
500.00 1213.15 6.909792 64.7183 0.922048 13.9641 0.760245 2.1997 1.89951 1.1617 5.25445 2.65038 2.93971 1.09681 2.43311
500.00 1203.15 6.016132 65.3942 0.929369 13.8669 0.688248 1.97571 1.9058 1.06057 5.09331 2.41979 3.15476 1.09265 2.41866
500.00 1193.15 5.241872 66.029 0.934114 13.7819 0.622986 1.77329 1.89572 0.968857 4.93076 2.20374 3.36806 1.08799 2.40355
500.00 1183.15 4.563893 66.6238 0.936212 13.7071 0.563979 1.59074 1.87226 0.885598 4.76779 2.00264 3.57877 1.08312 2.38805
500.00 1173.15 3.963740 67.1797 0.935686 13.6407 0.510717 1.42637 1.83807 0.809941 4.6055 1.81635 3.78622 1.07833 2.37237
500.00 1163.15 3.426616 67.6983 0.932612 13.5815 0.462693 1.27855 1.79538 0.741126 4.44501 1.64441 3.98983 1.07391 2.35665
500.00 1153.15 2.681724 68.1704 0.885937 13.5821 0.420335 1.14617 1.70486 0.668269 4.2553 1.476 4.2913 1.06453 2.33485
500.00 1143.15 1.960102 68.5807 0.835472 13.6057 0.381524 1.02516 1.60636 0.601403 4.06599 1.3176 4.61272 1.05591 2.31141
500.00 1133.15 1.290516 68.9321 0.787925 13.642 0.34597 0.915014 1.50865 0.541568 3.88377 1.17097 4.93529 1.0492 2.28759
500.00 1123.15 0.659958 69.2287 0.743031 13.6879 0.313568 0.815383 1.4133 0.488067 3.71 1.03622 5.25551 1.04452 2.26375
500.00 1113.15 0.000000 ---
500.00 1103.15 0.000000 ---
500.00 1093.15 0.000000 ---
500.00 1083.15 0.000000 ---
