Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.121971 99.862135 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.259836 
500.00 1513.15 100.122623 99.866988 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.255635 
500.00 1503.15 100.123314 99.871960 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.251355 
500.00 1493.15 100.124048 99.877054 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.246994 
500.00 1483.15 100.124824 99.882272 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.242552 
500.00 1473.15 100.125644 99.887620 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.238025 
500.00 1463.15 100.126510 99.893099 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.233411 
500.00 1453.15 100.127423 99.898714 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.228709 
500.00 1443.15 100.128384 99.904469 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.223915 
500.00 1433.15 100.129396 99.910368 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.219028 
500.00 1423.15 100.130459 99.916413 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.214046 
500.00 1413.15 100.129973 99.321631 0.596540 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.211802 
500.00 1403.15 100.128773 98.498725 1.419547 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.210501 
500.00 1393.15 100.128166 96.665600 2.070757 0.000000 1.167178 0.000000 0.000000 0.000000 0.000000 0.000000 0.224630 
500.00 1383.15 100.130545 91.433503 2.181310 0.000000 6.224933 0.000000 0.000000 0.000000 0.000000 0.000000 0.290799 
500.00 1373.15 100.133736 86.595352 2.340581 0.000000 10.846604 0.000000 0.000000 0.000000 0.000000 0.000000 0.351200 
500.00 1363.15 100.137587 82.093427 2.552654 0.000000 15.077416 0.007341 0.000000 0.000000 0.000000 0.000000 0.406750 
500.00 1353.15 100.134545 73.701411 3.801739 0.000000 17.797391 4.276790 0.000000 0.000000 0.000000 0.000000 0.557213 
