Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 100.121971 0.9974048032405903 0.914696 289.453714 -1187270.483529 43.157517 -7792.283969 7569.226263 152.150751 -7.007 0.000 2.529692 0.070579 1.540 0.999758 0.000
500.00 1513.15 100.122623 0.9974467846841135 0.916445 288.451816 -1188802.954535 43.030994 -7625.500688 7532.398133 152.147456 -7.116 0.000 2.532410 0.071100 1.576 0.999754 0.000
500.00 1503.15 100.123314 0.9974895494114863 0.918211 287.443324 -1190336.041938 42.904303 -7458.111060 7494.700613 152.144362 -7.225 0.000 2.535129 0.071630 1.612 0.99975 0.000
500.00 1493.15 100.124048 0.9975331168487397 0.919994 286.428147 -1191869.770488 42.777446 -7290.105512 7456.106571 152.141475 -7.336 0.000 2.537849 0.072169 1.649 0.999746 0.000
500.00 1483.15 100.124824 0.9975775069949812 0.921794 285.406191 -1193404.165958 42.650423 -7121.474379 7416.587606 152.138801 -7.449 0.000 2.540569 0.072718 1.686 0.999742 0.000
500.00 1473.15 100.125644 0.9976227405803230 0.923611 284.392330 -1194917.154124 42.523238 -6952.207537 7376.113838 148.907324 -7.563 0.000 2.543291 0.073277 1.724 0.999737 0.000
500.00 1463.15 100.126510 0.9976688392478132 0.925446 283.378555 -1196420.628426 42.395891 -6782.293985 7334.653683 148.896735 -7.679 0.000 2.546014 0.073846 1.762 0.999733 0.000
500.00 1453.15 100.127423 0.9977158248694006 0.927298 282.357923 -1197924.762501 42.268387 -6611.723756 7292.174407 148.885834 -7.796 0.000 2.548737 0.074425 1.801 0.999728 0.000
500.00 1443.15 100.128384 0.9977637199241698 0.929167 281.330339 -1199429.580754 42.140727 -6440.486940 7248.641713 148.874617 -7.915 0.000 2.551461 0.075015 1.840 0.999723 0.000
500.00 1433.15 100.129396 0.9978125475437193 0.931055 280.295707 -1200935.108774 42.012915 -6268.573628 7204.019618 148.863082 -8.035 0.000 2.554185 0.075616 1.880 0.999718 0.000
500.00 1423.15 100.130459 0.9978623315273342 0.932961 279.253928 -1202441.373394 41.884956 -6095.973938 7158.270357 148.851225 -8.157 0.000 2.556909 0.076229 1.920 0.999712 0.000
500.00 1413.15 100.129973 0.9919270768460953 0.929692 278.035559 -1204160.838782 41.775669 -5995.542417 7125.240672 148.524799 -8.281 0.000 2.557297 0.275214 1.978 0.999717 0.000
500.00 1403.15 100.128773 0.9837204891922085 0.924492 276.749519 -1205951.431933 41.672537 -5919.966723 7096.140909 148.080589 -8.407 0.000 2.556687 0.518032 2.044 0.999727 0.000
500.00 1393.15 100.128166 0.9654186615056737 0.907412 275.181198 -1208132.893146 41.686095 -6236.228891 7200.511633 147.288539 -8.535 0.000 2.555501 0.897126 2.113 0.999729 0.000
500.00 1383.15 100.130545 0.9131429643029795 0.851339 272.681597 -1211643.669559 42.087482 -7857.479044 7756.486003 145.314810 -8.664 0.000 2.551820 1.390018 2.192 0.99971 0.000
500.00 1373.15 100.133736 0.8647969727667494 0.801171 270.304405 -1214974.551815 42.437208 -9309.967931 8265.155536 143.481000 -8.795 0.000 2.546963 1.604502 2.278 0.999711 0.000
500.00 1363.15 100.137587 0.8198063166600080 0.755889 268.030567 -1218151.443570 42.744100 -10619.667123 8734.308295 141.767103 -8.929 0.000 2.540821 1.729314 2.372 0.999728 0.000
500.00 1353.15 100.134545 0.7360238322141217 0.659145 264.971390 -1222255.151444 44.053544 -14245.646383 10066.553990 139.035975 -9.064 0.000 2.538131 1.760346 2.467 0.99971 0.000
