Title: Hr

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 100.115114 47.6766 1.34865 15.548 2.50578 10.0665 0.192898 7.27514 10.6758 2.17319 0.34066 0.156991 2.03977
500.00 1513.15 100.115771 47.6763 1.34864 15.5479 2.51232 10.0605 0.192897 7.2751 10.6757 2.17318 0.340658 0.15699 2.03976
500.00 1503.15 100.116469 47.676 1.34863 15.5478 2.51925 10.0542 0.192895 7.27504 10.6757 2.17317 0.340655 0.156989 2.03974
500.00 1493.15 100.117208 47.6756 1.34862 15.5477 2.52661 10.0475 0.192894 7.27499 10.6756 2.17315 0.340653 0.156987 2.03973
500.00 1483.15 100.117991 47.6753 1.34861 15.5476 2.53439 10.0404 0.192892 7.27493 10.6755 2.17313 0.34065 0.156986 2.03971
500.00 1473.15 100.118818 47.6749 1.3486 15.5474 2.54261 10.0329 0.192891 7.27487 10.6754 2.17311 0.340647 0.156985 2.0397
500.00 1463.15 100.119691 47.6745 1.34859 15.5473 2.55129 10.0249 0.192889 7.27481 10.6753 2.1731 0.340644 0.156984 2.03968
500.00 1453.15 100.120611 47.674 1.34858 15.5472 2.56045 10.0166 0.192887 7.27474 10.6752 2.17308 0.340641 0.156982 2.03966
500.00 1443.15 100.121581 47.6736 1.34857 15.547 2.57008 10.0078 0.192885 7.27467 10.6751 2.17305 0.340638 0.156981 2.03964
500.00 1433.15 100.122601 47.6731 1.34855 15.5468 2.58022 9.99854 0.192883 7.2746 10.675 2.17303 0.340635 0.156979 2.03962
500.00 1423.15 100.123673 47.6726 1.34854 15.5467 2.59088 9.98882 0.192881 7.27452 10.6749 2.17301 0.340631 0.156977 2.0396
500.00 1413.15 100.124160 47.6723 1.34853 15.5466 2.59573 9.9844 0.19288 7.27449 10.6749 2.173 0.340629 0.156977 2.03959
500.00 1403.15 100.122962 47.6729 1.34855 15.5468 2.58382 9.99526 0.192883 7.27457 10.675 2.17302 0.340633 0.156978 2.03961
500.00 1393.15 100.121666 47.6735 1.34856 15.547 2.57093 10.007 0.192885 7.27467 10.6751 2.17305 0.340638 0.15698 2.03964
500.00 1383.15 100.120257 47.6742 1.34858 15.5472 2.55692 10.0198 0.192888 7.27477 10.6753 2.17308 0.340643 0.156983 2.03967
500.00 1373.15 100.124655 47.6721 1.34852 15.5465 2.60066 9.97991 0.192879 7.27445 10.6748 2.17299 0.340628 0.156976 2.03958
500.00 1363.15 100.122581 47.6731 1.34855 15.5469 2.58003 9.99873 0.192883 7.2746 10.675 2.17303 0.340635 0.156979 2.03962
500.00 1353.15 100.118410 47.6751 1.34861 15.5475 2.53856 10.0366 0.192891 7.2749 10.6755 2.17312 0.340649 0.156986 2.0397
500.00 1343.15 100.282804 47.5969 1.3464 15.522 4.1706 8.54782 0.192575 7.26298 10.658 2.16956 0.34009 0.156728 2.03636
500.00 1333.15 100.311578 47.5833 1.34601 15.5176 4.45572 8.28774 0.19252 7.26089 10.6549 2.16894 0.339993 0.156683 2.03578
500.00 1323.15 100.350789 47.5647 1.34549 15.5115 4.84398 7.93358 0.192445 7.25806 10.6507 2.16809 0.33986 0.156622 2.03498
500.00 1313.15 100.372922 47.5542 1.34519 15.5081 5.063 7.73379 0.192402 7.25646 10.6484 2.16761 0.339785 0.156587 2.03453
500.00 1303.15 100.373227 47.554 1.34518 15.508 5.06602 7.73104 0.192402 7.25643 10.6484 2.16761 0.339784 0.156587 2.03453
