Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 water 
500.00 1523.15 100.115114 99.892483 0.000000 0.000000 0.000000 0.000000 0.000000 0.222631 
500.00 1513.15 100.115771 99.897347 0.000000 0.000000 0.000000 0.000000 0.000000 0.218424 
500.00 1503.15 100.116469 99.902330 0.000000 0.000000 0.000000 0.000000 0.000000 0.214139 
500.00 1493.15 100.117208 99.907436 0.000000 0.000000 0.000000 0.000000 0.000000 0.209773 
500.00 1483.15 100.117991 99.912666 0.000000 0.000000 0.000000 0.000000 0.000000 0.205324 
500.00 1473.15 100.118818 99.918026 0.000000 0.000000 0.000000 0.000000 0.000000 0.200792 
500.00 1463.15 100.119691 99.923519 0.000000 0.000000 0.000000 0.000000 0.000000 0.196172 
500.00 1453.15 100.120611 99.929148 0.000000 0.000000 0.000000 0.000000 0.000000 0.191463 
500.00 1443.15 100.121581 99.934917 0.000000 0.000000 0.000000 0.000000 0.000000 0.186664 
500.00 1433.15 100.122601 99.940830 0.000000 0.000000 0.000000 0.000000 0.000000 0.181771 
500.00 1423.15 100.123673 99.946891 0.000000 0.000000 0.000000 0.000000 0.000000 0.176782 
500.00 1413.15 100.124160 99.717072 0.234281 0.000000 0.000000 0.000000 0.000000 0.172808 
500.00 1403.15 100.122962 98.887705 1.063720 0.000000 0.000000 0.000000 0.000000 0.171538 
500.00 1393.15 100.121666 98.072620 1.878979 0.000000 0.000000 0.000000 0.000000 0.170067 
500.00 1383.15 100.120257 97.269985 2.681860 0.000000 0.000000 0.000000 0.000000 0.168413 
500.00 1373.15 100.124655 90.498750 2.568934 0.000000 6.799385 0.000000 0.000000 0.257586 
500.00 1363.15 100.122581 81.957284 3.660280 0.000000 10.367325 3.734025 0.000000 0.403666 
500.00 1353.15 100.118410 73.537083 4.947262 0.000000 13.084055 7.995294 0.000000 0.554716 
500.00 1343.15 100.282804 56.290390 4.792606 0.000000 18.787919 14.295795 5.307057 0.809038 
500.00 1333.15 100.311578 48.187025 5.153799 0.000000 21.000851 18.541055 6.469833 0.959015 
500.00 1323.15 100.350789 37.817954 2.058486 5.647543 22.155337 23.773143 7.730119 1.168208 
500.00 1313.15 100.372922 30.240618 0.000000 9.758924 22.534725 28.009157 8.501289 1.328210 
500.00 1303.15 100.373227 25.364004 0.000000 10.887251 22.621620 31.277039 8.786840 1.436472 
