Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 rhm-oxide_0 
500.00 1523.15 98.073529 98.073529 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.074172 98.074172 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.074855 98.074855 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.075578 98.075578 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.075833 96.134382 0.000000 0.000000 0.000000 1.941452 0.000000 
500.00 1473.15 96.135107 92.334504 0.000000 0.000000 0.000000 3.800602 0.000000 
500.00 1463.15 92.335248 88.809322 0.000000 0.000000 0.000000 3.525926 0.000000 
500.00 1453.15 88.806987 80.847534 0.606581 2.728499 0.000000 4.624373 0.000000 
500.00 1443.15 80.845364 68.999426 0.000000 3.890890 2.527366 5.427681 0.000000 
500.00 1433.15 68.997320 59.405982 0.000000 2.119610 2.886518 4.585211 0.000000 
500.00 1423.15 59.404635 52.059241 0.000000 1.538780 2.225216 3.581398 0.000000 
500.00 1413.15 52.058403 46.223161 0.000000 1.154912 1.772777 2.907554 0.000000 
500.00 1403.15 46.222662 41.446260 0.000000 0.889136 1.449592 2.437674 0.000000 
500.00 1393.15 41.445970 37.433768 0.000000 0.697994 1.211216 2.102992 0.000000 
500.00 1383.15 37.433572 33.980648 0.000000 0.556046 1.031433 1.865445 0.000000 
500.00 1373.15 33.980420 30.930748 0.000000 0.447661 0.894527 1.707484 0.000000 
500.00 1363.15 30.930292 28.138654 0.000000 0.362852 0.792518 1.636267 0.000000 
500.00 1353.15 28.137419 25.357380 0.000000 0.295648 0.731941 1.752450 0.000000 
500.00 1343.15 25.351551 21.328636 0.000000 0.372703 0.763220 2.886991 0.000000 
500.00 1333.15 21.326661 19.272821 0.000000 0.487461 0.375523 1.190856 0.000000 
500.00 1323.15 19.273139 18.098150 0.000000 0.414112 0.246273 0.514605 0.000000 
500.00 1313.15 18.110962 14.762064 0.000000 1.679718 0.171095 0.465758 1.032327 
500.00 1303.15 14.768742 13.269474 0.000000 0.702829 0.231193 0.230196 0.335049 
500.00 1293.15 13.275973 12.011307 0.000000 0.585511 0.249104 0.157156 0.272894 
